Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2380131803,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Dalvin Cook (15819822) (LOCKED),James Robinson (15819838) (LOCKED),Nelson Agholor (15820116) (LOCKED),Calvin Ridley (15820060) (LOCKED),Henry Ruggs III (15820138) (LOCKED),Rob Gronkowski (15820362),Jordan Wilkins (15820036) (LOCKED),Saints (15820541),,1. Column A lists all of your contest entries for this draftgroup
2380131804,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777) (LOCKED),Dalvin Cook (15819822) (LOCKED),Josh Jacobs (15819830) (LOCKED),A.J. Brown (15820064) (LOCKED),Corey Davis (15820118) (LOCKED),Andy Isabella (15820324) (LOCKED),Mo Alie-Cox (15820400) (LOCKED),James Robinson (15819838) (LOCKED),Saints (15820541),,2. Your current lineup is listed next to each entry (blank for reservations)
2380131805,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Mike Davis (15819834) (LOCKED),Nyheim Hines (15819886) (LOCKED),Nelson Agholor (15820116) (LOCKED),Hunter Renfrow (15820152) (LOCKED),Calvin Ridley (15820060) (LOCKED),Travis Kelce (15820352),Kenyan Drake (15819866) (LOCKED),Dolphins (15820540) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2380131806,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Daniel Jones (15819782) (LOCKED),Dalvin Cook (15819822) (LOCKED),Nyheim Hines (15819886) (LOCKED),Tee Higgins (15820128) (LOCKED),Sterling Shepard (15820104) (LOCKED),Darius Slayton (15820114) (LOCKED),Travis Kelce (15820352),Zack Moss (15819880) (LOCKED),Rams (15820542),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2380131807,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777) (LOCKED),Mike Davis (15819834) (LOCKED),James Robinson (15819838) (LOCKED),A.J. Brown (15820064) (LOCKED),Corey Davis (15820118) (LOCKED),Michael Pittman Jr. (15820120) (LOCKED),Travis Kelce (15820352),Brian Hill (15819990) (LOCKED),Giants (15820543) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2380131808,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777) (LOCKED),Dalvin Cook (15819822) (LOCKED),Wayne Gallman Jr. (15819876) (LOCKED),A.J. Brown (15820064) (LOCKED),Michael Pittman Jr. (15820120) (LOCKED),Robert Woods (15820084),Jonnu Smith (15820368) (LOCKED),Brian Hill (15819990) (LOCKED),Saints (15820541),,
2380131809,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Dalvin Cook (15819822) (LOCKED),Kareem Hunt (15819860) (LOCKED),Nelson Agholor (15820116) (LOCKED),Denzel Mims (15820174) (LOCKED),Calvin Ridley (15820060) (LOCKED),Darren Waller (15820354) (LOCKED),Wayne Gallman Jr. (15819876) (LOCKED),Bills (15820549) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2380131820,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Jared Goff (15819773),Mike Davis (15819834) (LOCKED),Nyheim Hines (15819886) (LOCKED),Cooper Kupp (15820068),Deebo Samuel (15820094),Robert Woods (15820084),Travis Kelce (15820352),Matt Breida (15820000) (LOCKED),Saints (15820541),,WR,Stefon Diggs (15820056) (LOCKED),Stefon Diggs,15820056,WR/FLEX,7600,In Progress,BUF,19.96
2380131821,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Josh Allen (15819765) (LOCKED),Mike Davis (15819834) (LOCKED),James Robinson (15819838) (LOCKED),Gabriel Davis (15820258) (LOCKED),Stefon Diggs (15820056) (LOCKED),Mike Williams (15820110) (LOCKED),Travis Kelce (15820352),Jordan Wilkins (15820036) (LOCKED),49ers (15820550),,WR,Michael Thomas (15820058),Michael Thomas,15820058,WR/FLEX,7400,NO@DEN 11/29/2020 04:05PM ET,NO,10.48
2380131822,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777) (LOCKED),Dalvin Cook (15819822) (LOCKED),James Robinson (15819838) (LOCKED),Corey Davis (15820118) (LOCKED),Tyreek Hill (15820054),T.Y. Hilton (15820154) (LOCKED),Jonnu Smith (15820368) (LOCKED),Brian Hill (15819990) (LOCKED),Rams (15820542),,RB,Josh Jacobs (15819830) (LOCKED),Josh Jacobs,15819830,RB/FLEX,7200,In Progress,LV,17.43
2380131823,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Justin Herbert (15819766) (LOCKED),Mike Davis (15819834) (LOCKED),Nyheim Hines (15819886) (LOCKED),Keenan Allen (15820052) (LOCKED),Stefon Diggs (15820056) (LOCKED),Mike Williams (15820110) (LOCKED),Tyler Eifert (15820404) (LOCKED),Frank Gore (15819898) (LOCKED),Saints (15820541),,QB,Justin Herbert (15819766) (LOCKED),Justin Herbert,15819766,QB,7200,In Progress,LAC,26.74
2380131824,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777) (LOCKED),Dalvin Cook (15819822) (LOCKED),Wayne Gallman Jr. (15819876) (LOCKED),A.J. Brown (15820064) (LOCKED),Corey Davis (15820118) (LOCKED),T.Y. Hilton (15820154) (LOCKED),Darren Waller (15820354) (LOCKED),Matt Breida (15820000) (LOCKED),Dolphins (15820540) (LOCKED),,RB,Nick Chubb (15819832) (LOCKED),Nick Chubb,15819832,RB/FLEX,7100,In Progress,CLE,17.2
2380131825,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Josh Allen (15819765) (LOCKED),Dalvin Cook (15819822) (LOCKED),Wayne Gallman Jr. (15819876) (LOCKED),Keenan Allen (15820052) (LOCKED),Cole Beasley (15820090) (LOCKED),Denzel Mims (15820174) (LOCKED),Dawson Knox (15820388) (LOCKED),Jordan Wilkins (15820036) (LOCKED),Saints (15820541),,WR,Calvin Ridley (15820060) (LOCKED),Calvin Ridley,15820060,WR/FLEX,7100,In Progress,ATL,19.34
2380131826,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Daniel Jones (15819782) (LOCKED),Dalvin Cook (15819822) (LOCKED),James Robinson (15819838) (LOCKED),Tyler Boyd (15820108) (LOCKED),Sterling Shepard (15820104) (LOCKED),Darius Slayton (15820114) (LOCKED),Darren Waller (15820354) (LOCKED),Kenyan Drake (15819866) (LOCKED),Vikings (15820556) (LOCKED),,TE,Travis Kelce (15820352),Travis Kelce,15820352,TE/FLEX,7000,KC@TB 11/29/2020 04:25PM ET,KC,20.88
2380131827,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Tom Brady (15819767),Mike Davis (15819834) (LOCKED),James Robinson (15819838) (LOCKED),Gabriel Davis (15820258) (LOCKED),Chris Godwin (15820078),Tyreek Hill (15820054),Rob Gronkowski (15820362),Nyheim Hines (15819886) (LOCKED),Dolphins (15820540) (LOCKED),,RB,Mike Davis (15819834) (LOCKED),Mike Davis,15819834,RB/FLEX,6900,In Progress,CAR,13.94
2380131828,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Josh Allen (15819765) (LOCKED),Dalvin Cook (15819822) (LOCKED),James Robinson (15819838) (LOCKED),Stefon Diggs (15820056) (LOCKED),Andy Isabella (15820324) (LOCKED),Mike Williams (15820110) (LOCKED),Dawson Knox (15820388) (LOCKED),Wayne Gallman Jr. (15819876) (LOCKED),Colts (15820545) (LOCKED),,WR,Adam Thielen (15820062) (LOCKED),Adam Thielen,15820062,WR/FLEX,6800,In Progress,MIN,19.21
2380131829,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Jared Goff (15819773),Dalvin Cook (15819822) (LOCKED),Nyheim Hines (15819886) (LOCKED),Richie James (15820172),Cooper Kupp (15820068),Robert Woods (15820084),Darren Waller (15820354) (LOCKED),Kenyan Drake (15819866) (LOCKED),Buccaneers (15820547),,QB,Lamar Jackson (15847525),Lamar Jackson,15847525,QB,6800,Postponed,BAL,20.94
2380131830,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Teddy Bridgewater (15819769) (LOCKED),Wayne Gallman Jr. (15819876) (LOCKED),James Robinson (15819838) (LOCKED),Robby Anderson (15820076) (LOCKED),Justin Jefferson (15820070) (LOCKED),DJ Moore (15820072) (LOCKED),Travis Kelce (15820352),Jordan Wilkins (15820036) (LOCKED),49ers (15820550),,WR,A.J. Brown (15820064) (LOCKED),A.J. Brown,15820064,WR/FLEX,6700,In Progress,TEN,17.25
2380131831,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Dalvin Cook (15819822) (LOCKED),Kareem Hunt (15819860) (LOCKED),Nelson Agholor (15820116) (LOCKED),Tee Higgins (15820128) (LOCKED),Henry Ruggs III (15820138) (LOCKED),Travis Kelce (15820352),Brian Hill (15819990) (LOCKED),Dolphins (15820540) (LOCKED),,QB,Tom Brady (15819767),Tom Brady,15819767,QB,6600,KC@TB 11/29/2020 04:25PM ET,TB,21.46
2380131832,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Daniel Jones (15819782) (LOCKED),Dalvin Cook (15819822) (LOCKED),Nyheim Hines (15819886) (LOCKED),Tyler Boyd (15820108) (LOCKED),Sterling Shepard (15820104) (LOCKED),Robert Woods (15820084),Evan Engram (15820360) (LOCKED),Kareem Hunt (15819860) (LOCKED),Dolphins (15820540) (LOCKED),,QB,Ben Roethlisberger (15847526),Ben Roethlisberger,15847526,QB,6600,Postponed,PIT,20.48
2380131833,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Jared Goff (15819773),Dalvin Cook (15819822) (LOCKED),James Robinson (15819838) (LOCKED),Deebo Samuel (15820094),Darius Slayton (15820114) (LOCKED),Robert Woods (15820084),Gerald Everett (15820380),Nyheim Hines (15819886) (LOCKED),Dolphins (15820540) (LOCKED),,WR,Julio Jones (15820066) (LOCKED),Julio Jones,15820066,WR/FLEX,6500,In Progress,ATL,17.46
2380131834,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Justin Herbert (15819766) (LOCKED),Dalvin Cook (15819822) (LOCKED),Nyheim Hines (15819886) (LOCKED),Keenan Allen (15820052) (LOCKED),Denzel Mims (15820174) (LOCKED),Mike Williams (15820110) (LOCKED),Dawson Knox (15820388) (LOCKED),Kenyan Drake (15819866) (LOCKED),Rams (15820542),,QB,Cam Newton (15819768) (LOCKED),Cam Newton,15819768,QB,6400,In Progress,NE,20.3
2380131835,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Kirk Cousins (15819772) (LOCKED),Kareem Hunt (15819860) (LOCKED),Josh Jacobs (15819830) (LOCKED),Justin Jefferson (15820070) (LOCKED),Olabisi Johnson (15820192) (LOCKED),DJ Moore (15820072) (LOCKED),Travis Kelce (15820352),Zack Moss (15819880) (LOCKED),Saints (15820541),,WR,Cooper Kupp (15820068),Cooper Kupp,15820068,WR/FLEX,6400,SF@LAR 11/29/2020 04:05PM ET,LAR,15.95
2380131836,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Josh Allen (15819765) (LOCKED),Mike Davis (15819834) (LOCKED),Nyheim Hines (15819886) (LOCKED),Keenan Allen (15820052) (LOCKED),Stefon Diggs (15820056) (LOCKED),Denzel Mims (15820174) (LOCKED),Dawson Knox (15820388) (LOCKED),Clyde Edwards-Helaire (15819836),Raiders (15820557) (LOCKED),,RB,Clyde Edwards-Helaire (15819836),Clyde Edwards-Helaire,15819836,RB/FLEX,6400,KC@TB 11/29/2020 04:25PM ET,KC,15.37
2380131837,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Justin Herbert (15819766) (LOCKED),Dalvin Cook (15819822) (LOCKED),Kareem Hunt (15819860) (LOCKED),Keenan Allen (15820052) (LOCKED),Gabriel Davis (15820258) (LOCKED),Mike Williams (15820110) (LOCKED),Hayden Hurst (15820370) (LOCKED),Jordan Wilkins (15820036) (LOCKED),Saints (15820541),,RB,James Robinson (15819838) (LOCKED),James Robinson,15819838,RB/FLEX,6300,In Progress,JAX,18.41
2380131838,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Dalvin Cook (15819822) (LOCKED),James Robinson (15819838) (LOCKED),Nelson Agholor (15820116) (LOCKED),Russell Gage (15820126) (LOCKED),Hunter Renfrow (15820152) (LOCKED),Travis Kelce (15820352),Zack Moss (15819880) (LOCKED),Colts (15820545) (LOCKED),,QB,Teddy Bridgewater (15819769) (LOCKED),Teddy Bridgewater,15819769,QB,6300,In Progress,CAR,19.47
2380131839,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Dalvin Cook (15819822) (LOCKED),Nyheim Hines (15819886) (LOCKED),Keelan Cole Sr. (15820166) (LOCKED),Mecole Hardman (15820144),Tyreek Hill (15820054),Rob Gronkowski (15820362),Devin Singletary (15819900) (LOCKED),Rams (15820542),,WR,Justin Jefferson (15820070) (LOCKED),Justin Jefferson,15820070,WR/FLEX,6300,In Progress,MIN,16.78
2380131840,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Daniel Jones (15819782) (LOCKED),Dalvin Cook (15819822) (LOCKED),Brian Hill (15819990) (LOCKED),Tyler Boyd (15820108) (LOCKED),Cooper Kupp (15820068),Darius Slayton (15820114) (LOCKED),Evan Engram (15820360) (LOCKED),Clyde Edwards-Helaire (15819836),Saints (15820541),,RB,Joe Mixon (15819840) (LOCKED),Joe Mixon,15819840,RB/FLEX,6200,In Progress,CIN,17.27
2380131841,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Matt Ryan (15819774) (LOCKED),Dalvin Cook (15819822) (LOCKED),Nyheim Hines (15819886) (LOCKED),Calvin Ridley (15820060) (LOCKED),Henry Ruggs III (15820138) (LOCKED),Robert Woods (15820084),Hayden Hurst (15820370) (LOCKED),Clyde Edwards-Helaire (15819836),Patriots (15820553) (LOCKED),,WR,DJ Moore (15820072) (LOCKED),DJ Moore,15820072,WR/FLEX,6200,In Progress,CAR,14.94
2380131842,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777) (LOCKED),Dalvin Cook (15819822) (LOCKED),James Robinson (15819838) (LOCKED),A.J. Brown (15820064) (LOCKED),Gabriel Davis (15820258) (LOCKED),Cooper Kupp (15820068),Jonnu Smith (15820368) (LOCKED),Jordan Wilkins (15820036) (LOCKED),Dolphins (15820540) (LOCKED),,QB,Taysom Hill (15819770),Taysom Hill,15819770,QB,6200,NO@DEN 11/29/2020 04:05PM ET,NO,7.07
2380131843,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Matt Ryan (15819774) (LOCKED),Mike Davis (15819834) (LOCKED),James Robinson (15819838) (LOCKED),Nelson Agholor (15820116) (LOCKED),A.J. Brown (15820064) (LOCKED),Calvin Ridley (15820060) (LOCKED),Hayden Hurst (15820370) (LOCKED),Nyheim Hines (15819886) (LOCKED),Rams (15820542),,RB,James Conner (15847531),James Conner,15847531,RB/FLEX,6200,Postponed,PIT,14.3
2380131844,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Tom Brady (15819767),Dalvin Cook (15819822) (LOCKED),James Robinson (15819838) (LOCKED),Antonio Brown (15820086),Tyreek Hill (15820054),Andy Isabella (15820324) (LOCKED),Rob Gronkowski (15820362),Jordan Wilkins (15820036) (LOCKED),49ers (15820550),,WR,Diontae Johnson (15847553),Diontae Johnson,15847553,WR/FLEX,6200,Postponed,PIT,14.78
2380131845,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Tom Brady (15819767),Dalvin Cook (15819822) (LOCKED),Nyheim Hines (15819886) (LOCKED),Antonio Brown (15820086),Mecole Hardman (15820144),Robert Woods (15820084),Rob Gronkowski (15820362),Kenyan Drake (15819866) (LOCKED),Saints (15820541),,QB,Philip Rivers (15819771) (LOCKED),Philip Rivers,15819771,QB,6100,In Progress,IND,16.40
2380131846,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Justin Herbert (15819766) (LOCKED),Mike Davis (15819834) (LOCKED),Brian Hill (15819990) (LOCKED),Keenan Allen (15820052) (LOCKED),Stefon Diggs (15820056) (LOCKED),Jalen Guyton (15820188) (LOCKED),Travis Kelce (15820352),Jordan Wilkins (15820036) (LOCKED),Falcons (15820558) (LOCKED),,RB,Austin Ekeler (15819844) (LOCKED),Austin Ekeler,15819844,RB/FLEX,6100,In Progress,LAC,15.55
2380131847,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777) (LOCKED),Mike Davis (15819834) (LOCKED),Wayne Gallman Jr. (15819876) (LOCKED),A.J. Brown (15820064) (LOCKED),Gabriel Davis (15820258) (LOCKED),T.Y. Hilton (15820154) (LOCKED),Travis Kelce (15820352),Derrick Henry (15819828) (LOCKED),Saints (15820541),,QB,Kirk Cousins (15819772) (LOCKED),Kirk Cousins,15819772,QB,6100,In Progress,MIN,18.32
2380131848,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Dalvin Cook (15819822) (LOCKED),Nyheim Hines (15819886) (LOCKED),Nelson Agholor (15820116) (LOCKED),A.J. Brown (15820064) (LOCKED),Olamide Zaccheaus (15820158) (LOCKED),Darren Waller (15820354) (LOCKED),Clyde Edwards-Helaire (15819836),Chargers (15820555) (LOCKED),,WR,Robby Anderson (15820076) (LOCKED),Robby Anderson,15820076,WR/FLEX,6100,In Progress,CAR,15.37
2380131849,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Dalvin Cook (15819822) (LOCKED),Brian Hill (15819990) (LOCKED),Antonio Brown (15820086),Mecole Hardman (15820144),Tyreek Hill (15820054),Tyler Eifert (15820404) (LOCKED),Jordan Wilkins (15820036) (LOCKED),Dolphins (15820540) (LOCKED),,RB,Ronald Jones II (15819842),Ronald Jones II,15819842,RB/FLEX,6100,KC@TB 11/29/2020 04:25PM ET,TB,13.98
2380131850,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778) (LOCKED),Mike Davis (15819834) (LOCKED),James Robinson (15819838) (LOCKED),Nelson Agholor (15820116) (LOCKED),Russell Gage (15820126) (LOCKED),DeAndre Hopkins (15820050) (LOCKED),Darren Waller (15820354) (LOCKED),Nyheim Hines (15819886) (LOCKED),Bills (15820549) (LOCKED),,WR,Mike Evans (15820074),Mike Evans,15820074,WR/FLEX,6100,KC@TB 11/29/2020 04:25PM ET,TB,14.66
