Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Status
17,Tyrod Taylor,BUF,CIN,7,23,16.8,2.8,"This game has one of the lower totals of the week at just 39 points, including an implied team total for the Bills of just 17.8 points. That's not ideal when talking about your starting fantasy quarterback. Granted, Taylor has a solid floor with his legs, but it hurts not having a legitimate receiver to throw to, outside of Charles Clay. The Bengals have kept tight ends in check this season as well, meaning it'll be even tougher on him. The Bengals did allow Deshaun Watson to scamper for a long touchdown run against them back in Week 2, so there's hope for him, though that was without their best linebacker, Vontaze Burfict, on the field. Taylor is just a QB2 in this game."
18,Jay Cutler,MIA,TEN,11,26,18.9,3.2,"It's been a nightmare scenario for those in 2QB leagues who added Jay Cutler, as he's been awful in two prime matchups. The odd part is that he's completed a career-high 67 percent of his passes to this point, but nothing that's led to points. This is another matchup to exploit for most quarterbacks, and despite what he's done to you the last few weeks, he's back on the QB2 radar with some upside. They've allowed a league-high 11 passing touchdowns, including eight in the last two weeks to Russell Wilson and Deshaun Watson. They also stop the run very well, so the air will be one of their only ways to move the ball. It's never easy trusting Cutler, but he's in a great spot to succeed against a pass-rush that is nearly non-existent. "
19,DeShone Kizer,CLE,NYJ,7,25,20.1,3.2,"DeShone Kizer looksâ€¦ like a rookie who was forced to play too soon. He was pulled in Week 4 for backup Kevin Hogan, leaving you with zero confidence to start him despite the solid matchup. With that being said, head coach Hue Jackson made it clear that Kizer would be the starter going into this game. The Jets allowed both Tyrod Taylor and Derek Carr to walk all over them, but held Jay Cutler and Blake Bortles in check over the last two weeks. The two who succeeded had better offensive lines and Kizer has already been sacked 11 times, though he's dropped back to pass more than most. Kizer should offer a solid floor in 2QB formats while playing at home, but nothing more. He lacks the wide receivers to have a true breakout performance.  "
20,Sam Bradford,MIN,CHI,11,29,20.3,4.1,"Bradford practiced in a limited capacity on Thursday and Friday, which suggests that he will make his return to action after being out since Week 1. It's a Monday night game against the Bears, so unless there's clear word by Sunday, you can't possibly start Bradford absent having Case Keenum on your bench. If Bradford does play, it's difficult to know what to expect. He was incredible against the Saints in Week 1, but it's unclear whether that was simply a product of the matchup or whether Bradford had truly taken a step forward. The Bears are middle of the road against opposing quarterbacks, so the safe play would be to consider Bradford a low-end QB2 if he does wind up making the start."
21,Jared Goff,LAR,SEA,12,27,20.1,2.8,"Goff looks entirely comfortable and composed in Sean McVay's offense, as he's now thrown five touchdown passes and no interceptions in consecutive victories over the 49ers and the Cowboys. But he's far from a fantasy stud at this point, and that's especially so when you factor in his upcoming schedule: vs. Seattle, at Jacksonville, vs. Arizona, Bye, at New York Giants, vs. Houston, and at Minnesota. Goff's upcoming schedule, plus his lack of explosiveness, makes him much more of a depth add than a savior at quarterback."
22,Brian Hoyer,SF,IND,4,26,20.0,3.0,"It's hard not to at least consider playing a quarterback against the Colts, as they've allowed each of the four quarterbacks they've played to score at least 15.9 fantasy points, including 47.7 over the last two weeks to DeShone Kizer and Russell Wilson. They both scored a rushing touchdown, something Hoyer won't do, but he's still in play in 2QB formats. In the three games he's struggled in, they were against the Panthers, Seahawks, and Cardinals - shocker. He should be able to post a minimum of 250 yards and a touchdown in this contest. "
23,Josh McCown,NYJ,CLE,3,27,21.9,3.7,"Before Myles Garrett enters the picture, the Browns have allowed multiple passing touchdowns in 24 of their last 30 games. Their lack of pass rush has been obvious, but with Garrett in the picture, McCown will be on the run. He's already been sacked 12 times through four games, including five times just last week. McCown is fine in 2QB leagues, but don't get cute and use him as a streamer in standard leagues. "
24,Case Keenum,MIN,CHI,14,31,25.6,3.9
25,Blake Bortles,JAC,PIT,10,28,23.9,2.5
26,Mitch Trubisky,CHI,MIN,16,29,25.5,2.7,"Trubisky will make his first career start on Monday night at home, but he's walking into a tough situation. The Vikings have allowed the 10th-fewest fantasy points to opposing quarterbacks and an average of just 268 yards passing, which includes matchups with Drew Brees, Ben Roethlisberger, Jameis Winston, and Matthew Stafford. Trubisky looked comfortable in the preseason, but it's anyone's guess how this game will turn out. If you own Trubisky, it's impossible to start him in his first week unless you have no other options."
27,Joe Flacco,BAL,OAK,11,29,25.5,2.4,"It's been a brutal start to the season for Joe Flacco and it's unlikely to get better any time soon. The Ravens offensive line is in shambles and their run game cannot get anything going. The Raiders have one of the best pass rushes in football, so it's got to be in the gameplan to get the ball out of his hands as quick as possible. Most teams have been able to carve up the Raiders defense through the air, as Josh McCown, Kirk Cousins, and Trevor Siemian have combined to throw six touchdowns the last three weeks. They also may be without starting cornerback David Amerson, who suffered a concussion in Week 4. Flacco is nothing more than a QB2, and a risky one at that, simply because he doesn't have enough protection to get the ball downfield to guys like Mike Wallace and Breshad Perriman. "
28,EJ Manuel,OAK,BAL,19,30,27.0,2.2
29,Matt Cassel,TEN,MIA,20,30,26.9,2.0
30,Mike Glennon,CHI,MIN,29,31,30.0,0.8
