Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
1769832918,Straight Cash Free Contest Series presented by Straight Talk Wireless,82064595,$0,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,1. Column A lists all of your contest entries for this draftgroup
1769832919,AutoNation Free Football Challenge,82064632,$0,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,2. Your current lineup is listed next to each entry (blank for reservations)
1769832940,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
1769832941,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
1769832942,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,5. For faster processing only include entries you are changing in the file you upload
1769832943,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,
1769832944,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1769832955,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,James Conner (13887998),James Conner,13887998,RB/FLEX,7500,PIT@ARI 12/08/2019 04:25PM ET,PIT,16.4
1769832956,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Lamar Jackson (13887921),Lamar Jackson,13887921,QB,7400,BAL@BUF 12/08/2019 01:00PM ET,BAL,29.16
1769832957,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,DeAndre Hopkins (13888224),DeAndre Hopkins,13888224,WR/FLEX,7400,DEN@HOU 12/08/2019 01:00PM ET,HOU,18.93
1769832958,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Chris Godwin (13888226),Chris Godwin,13888226,WR/FLEX,7300,IND@TB 12/08/2019 01:00PM ET,TB,21.49
1769832959,NFL $200K First Down [20 Entry Max],82150789,$1,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Le'Veon Bell (13888000),Le'Veon Bell,13888000,RB/FLEX,7200,MIA@NYJ 12/08/2019 01:00PM ET,NYJ,14.93
1769823985,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Mike Evans (13888228),Mike Evans,13888228,WR/FLEX,7200,IND@TB 12/08/2019 01:00PM ET,TB,19.05
1769823986,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Julian Edelman (13888230),Julian Edelman,13888230,WR/FLEX,7100,KC@NE 12/08/2019 04:25PM ET,NE,18.27
1769823987,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,DJ Moore (13888232),DJ Moore,13888232,WR/FLEX,7000,CAR@ATL 12/08/2019 01:00PM ET,CAR,17.25
1769823988,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Alvin Kamara (13888002),Alvin Kamara,13888002,RB/FLEX,7000,SF@NO 12/08/2019 01:00PM ET,NO,17.96
1769823989,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Patrick Mahomes (13887922),Patrick Mahomes,13887922,QB,7000,KC@NE 12/08/2019 04:25PM ET,KC,23.59
1769823990,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,DeVante Parker (13888234),DeVante Parker,13888234,WR/FLEX,6900,MIA@NYJ 12/08/2019 01:00PM ET,MIA,15.03
1769823991,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Aaron Rodgers (13887923),Aaron Rodgers,13887923,QB,6800,WAS@GB 12/08/2019 01:00PM ET,GB,19.93
1769823992,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,T.Y. Hilton (13888236),T.Y. Hilton,13888236,WR/FLEX,6800,IND@TB 12/08/2019 01:00PM ET,IND,14.69
1769823993,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Calvin Ridley (13888240),Calvin Ridley,13888240,WR/FLEX,6700,CAR@ATL 12/08/2019 01:00PM ET,ATL,15.37
1769823994,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Aaron Jones (13888004),Aaron Jones,13888004,RB/FLEX,6700,WAS@GB 12/08/2019 01:00PM ET,GB,19.35
1769823995,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Kirk Cousins (13887924),Kirk Cousins,13887924,QB,6700,DET@MIN 12/08/2019 01:00PM ET,MIN,19.27
1769823996,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Adam Thielen (13888238),Adam Thielen,13888238,WR/FLEX,6700,DET@MIN 12/08/2019 01:00PM ET,MIN,13.9
1769823997,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Kenny Golladay (13888242),Kenny Golladay,13888242,WR/FLEX,6700,DET@MIN 12/08/2019 01:00PM ET,DET,17.5
1769823998,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Matt Ryan (13887925),Matt Ryan,13887925,QB,6600,CAR@ATL 12/08/2019 01:00PM ET,ATL,21.50
1769823999,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Kareem Hunt (13888006),Kareem Hunt,13888006,RB/FLEX,6600,CIN@CLE 12/08/2019 01:00PM ET,CLE,14.08
1769824000,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Keenan Allen (13888244),Keenan Allen,13888244,WR/FLEX,6600,LAC@JAX 12/08/2019 04:05PM ET,LAC,16.71
1769824001,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Jarvis Landry (13888248),Jarvis Landry,13888248,WR/FLEX,6500,CIN@CLE 12/08/2019 01:00PM ET,CLE,16.16
1769824002,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Deshaun Watson (13887926),Deshaun Watson,13887926,QB,6500,DEN@HOU 12/08/2019 01:00PM ET,HOU,23.83
1769824003,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,JuJu Smith-Schuster (13888246),JuJu Smith-Schuster,13888246,WR/FLEX,6500,PIT@ARI 12/08/2019 04:25PM ET,PIT,11.04
1769824004,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Josh Jacobs (13888008),Josh Jacobs,13888008,RB/FLEX,6500,TEN@OAK 12/08/2019 04:25PM ET,OAK,16.22
1769824005,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Courtland Sutton (13888250),Courtland Sutton,13888250,WR/FLEX,6400,DEN@HOU 12/08/2019 01:00PM ET,DEN,15.82
1769824006,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Jameis Winston (13887927),Jameis Winston,13887927,QB,6400,IND@TB 12/08/2019 01:00PM ET,TB,21.78
1769824007,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Melvin Gordon III (13888010),Melvin Gordon III,13888010,RB/FLEX,6400,LAC@JAX 12/08/2019 04:05PM ET,LAC,13.89
1769824008,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Baker Mayfield (13887928),Baker Mayfield,13887928,QB,6300,CIN@CLE 12/08/2019 01:00PM ET,CLE,16.01
1769824009,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,Odell Beckham Jr. (13888252),Odell Beckham Jr.,13888252,WR/FLEX,6300,CIN@CLE 12/08/2019 01:00PM ET,CLE,13.02
1769824010,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Austin Ekeler (13888012),Austin Ekeler,13888012,RB/FLEX,6300,LAC@JAX 12/08/2019 04:05PM ET,LAC,20.23
1769824011,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Josh Allen (13887929),Josh Allen,13887929,QB,6200,BAL@BUF 12/08/2019 01:00PM ET,BUF,20.97
1769824012,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,DJ Chark Jr. (13888254),DJ Chark Jr.,13888254,WR/FLEX,6200,LAC@JAX 12/08/2019 04:05PM ET,JAX,17.26
1769824013,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,TE,Travis Kelce (13888518),Travis Kelce,13888518,TE/FLEX,6200,KC@NE 12/08/2019 04:25PM ET,KC,15.61
1769824014,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,WR,John Brown (13888256),John Brown,13888256,WR/FLEX,6100,BAL@BUF 12/08/2019 01:00PM ET,BUF,15.89
1769824015,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Jacoby Brissett (13887931),Jacoby Brissett,13887931,QB,6100,IND@TB 12/08/2019 01:00PM ET,IND,16.9
1769824016,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,RB,Benny Snell Jr. (13888014),Benny Snell Jr.,13888014,RB/FLEX,6100,PIT@ARI 12/08/2019 04:25PM ET,PIT,4.36
1769824017,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Tom Brady (13887930),Tom Brady,13887930,QB,6100,KC@NE 12/08/2019 04:25PM ET,NE,19.16
1769824018,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,TE,Austin Hooper (13888520),Austin Hooper,13888520,TE/FLEX,6000,CAR@ATL 12/08/2019 01:00PM ET,ATL,17.87
1769824019,NFL $3M Millionaire [$1M to 1st + $50K NFL Team Win Bonus],82150790,$20,Kirk Cousins (13887924),Christian McCaffrey (13887988),Jaylen Samuels (13888036),Kenny Golladay (13888242),Olabisi Johnson (13888338),Adam Thielen (13888238),Irv Smith Jr. (13888554),Sammy Watkins (13888300),Panthers (13888727),,QB,Sam Darnold (13887932),Sam Darnold,13887932,QB,6000,MIA@NYJ 12/08/2019 01:00PM ET,NYJ,17.10
