Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2365050503,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Duke Johnson (15783392) (LOCKED),Miles Sanders (15783350) (LOCKED),Michael Gallup (15783660),Justin Jefferson (15783584),Adam Thielen (15783576),T.J. Hockenson (15783878) (LOCKED),Aaron Jones (15783346),Chargers (15784045),,1. Column A lists all of your contest entries for this draftgroup
2365050504,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),James Conner (15783356) (LOCKED),Mike Davis (15783352) (LOCKED),Amari Cooper (15783610),Justin Jefferson (15783584),Adam Thielen (15783576),Dallas Goedert (15783886) (LOCKED),Duke Johnson (15783392) (LOCKED),Ravens (15784046) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2365050505,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),Duke Johnson (15783392) (LOCKED),Miles Sanders (15783350) (LOCKED),Tee Higgins (15783590) (LOCKED),Terry McLaurin (15783572) (LOCKED),Cam Sims (15783688) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Dalvin Cook (15783342),Colts (15784050),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2365050506,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),James Conner (15783356) (LOCKED),Mike Davis (15783352) (LOCKED),KJ Hamler (15783672),Tee Higgins (15783590) (LOCKED),Terry McLaurin (15783572) (LOCKED),Logan Thomas (15783896) (LOCKED),Dalvin Cook (15783342),Texans (15784058) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2365050507,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Mike Davis (15783352) (LOCKED),Miles Sanders (15783350) (LOCKED),Justin Jefferson (15783584),CeeDee Lamb (15783618),Adam Thielen (15783576),Mark Andrews (15783866) (LOCKED),Giovani Bernard (15783390) (LOCKED),Broncos (15784060),,5. For faster processing only include entries you are changing in the file you upload
2365050508,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),Mike Davis (15783352) (LOCKED),Aaron Jones (15783346),Tyler Boyd (15783600) (LOCKED),Terry McLaurin (15783572) (LOCKED),Cam Sims (15783688) (LOCKED),Dallas Goedert (15783886) (LOCKED),Dalvin Cook (15783342),Jaguars (15784064) (LOCKED),,
2365050509,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Deshaun Watson (15783282) (LOCKED),James Conner (15783356) (LOCKED),Miles Sanders (15783350) (LOCKED),Brandin Cooks (15783614) (LOCKED),Will Fuller V (15783578) (LOCKED),Jakobi Meyers (15783620) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Aaron Jones (15783346),Bengals (15784061) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2365050520,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,P.J. Walker (15783309) (LOCKED),Duke Johnson (15783392) (LOCKED),Miles Sanders (15783350) (LOCKED),Robby Anderson (15783586) (LOCKED),Tyler Boyd (15783600) (LOCKED),DJ Moore (15783604) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Dalvin Cook (15783342),Titans (15784059) (LOCKED),,WR,A.J. Brown (15783568) (LOCKED),A.J. Brown,15783568,WR/FLEX,7200,In Progress,TEN,17.4
2365050521,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Deshaun Watson (15783282) (LOCKED),Mike Davis (15783352) (LOCKED),Alvin Kamara (15783340) (LOCKED),Randall Cobb (15783668) (LOCKED),Brandin Cooks (15783614) (LOCKED),Jakobi Meyers (15783620) (LOCKED),Dallas Goedert (15783886) (LOCKED),James Conner (15783356) (LOCKED),Dolphins (15784047),,WR,Calvin Ridley (15783570) (LOCKED),Calvin Ridley,15783570,WR/FLEX,7000,In Progress,ATL,20.01
2365050522,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),James Conner (15783356) (LOCKED),Miles Sanders (15783350) (LOCKED),Amari Cooper (15783610),Justin Jefferson (15783584),Denzel Mims (15783690),T.J. Hockenson (15783878) (LOCKED),Dalvin Cook (15783342),Broncos (15784060),,RB,Nick Chubb (15783348) (LOCKED),Nick Chubb,15783348,RB/FLEX,7000,In Progress,CLE,17.76
2365050523,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),Mike Davis (15783352) (LOCKED),Alvin Kamara (15783340) (LOCKED),Tyler Boyd (15783600) (LOCKED),Terry McLaurin (15783572) (LOCKED),Steven Sims Jr. (15783722) (LOCKED),Robert Tonyan (15783898),James Conner (15783356) (LOCKED),Dolphins (15784047),,QB,Aaron Rodgers (15783278),Aaron Rodgers,15783278,QB,7000,GB@IND 11/22/2020 04:25PM ET,GB,25.34
2365050524,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Matthew Stafford (15783288) (LOCKED),Duke Johnson (15783392) (LOCKED),Miles Sanders (15783350) (LOCKED),Robby Anderson (15783586) (LOCKED),Marvin Hall (15783656) (LOCKED),Marvin Jones Jr. (15783606) (LOCKED),Logan Thomas (15783896) (LOCKED),Dalvin Cook (15783342),Chargers (15784045),,RB,Miles Sanders (15783350) (LOCKED),Miles Sanders,15783350,RB/FLEX,6900,In Progress,PHI,16.33
2365050525,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Mike Davis (15783352) (LOCKED),Miles Sanders (15783350) (LOCKED),Michael Gallup (15783660),Terry McLaurin (15783572) (LOCKED),Adam Thielen (15783576),Irv Smith Jr. (15783894),James Conner (15783356) (LOCKED),Saints (15784049) (LOCKED),,WR,Terry McLaurin (15783572) (LOCKED),Terry McLaurin,15783572,WR/FLEX,6900,In Progress,WAS,18.3
2365050526,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Joe Burrow (15783293) (LOCKED),James Conner (15783356) (LOCKED),Mike Davis (15783352) (LOCKED),Tyler Boyd (15783600) (LOCKED),Tee Higgins (15783590) (LOCKED),Terry McLaurin (15783572) (LOCKED),Dallas Goedert (15783886) (LOCKED),Duke Johnson (15783392) (LOCKED),Vikings (15784048),,RB,Mike Davis (15783352) (LOCKED),Mike Davis,15783352,RB/FLEX,6800,Final,CAR,13.75
2365050527,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Joe Burrow (15783293) (LOCKED),Mike Davis (15783352) (LOCKED),Miles Sanders (15783350) (LOCKED),Tee Higgins (15783590) (LOCKED),Terry McLaurin (15783572) (LOCKED),Denzel Mims (15783690),Drew Sample (15783914) (LOCKED),Dalvin Cook (15783342),Patriots (15784052) (LOCKED),,QB,Justin Herbert (15783279),Justin Herbert,15783279,QB,6800,NYJ@LAC 11/22/2020 04:05PM ET,LAC,26.24
2365050528,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Giovani Bernard (15783390) (LOCKED),James Conner (15783356) (LOCKED),CeeDee Lamb (15783618),Jakobi Meyers (15783620) (LOCKED),Adam Thielen (15783576),T.J. Hockenson (15783878) (LOCKED),Dalvin Cook (15783342),Falcons (15784062) (LOCKED),,RB,Kareem Hunt (15783354) (LOCKED),Kareem Hunt,15783354,RB/FLEX,6700,In Progress,CLE,15.93
2365050529,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),Alvin Kamara (15783340) (LOCKED),Miles Sanders (15783350) (LOCKED),Terry McLaurin (15783572) (LOCKED),Jakobi Meyers (15783620) (LOCKED),Steven Sims Jr. (15783722) (LOCKED),Drew Sample (15783914) (LOCKED),Dalvin Cook (15783342),Jaguars (15784064) (LOCKED),,QB,Ben Roethlisberger (15783280) (LOCKED),Ben Roethlisberger,15783280,QB,6700,In Progress,PIT,20.79
2365050530,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Matthew Stafford (15783288) (LOCKED),James Conner (15783356) (LOCKED),Alvin Kamara (15783340) (LOCKED),Marvin Hall (15783656) (LOCKED),Marvin Jones Jr. (15783606) (LOCKED),DJ Moore (15783604) (LOCKED),Mark Andrews (15783866) (LOCKED),Duke Johnson (15783392) (LOCKED),Browns (15784051) (LOCKED),,QB,Drew Brees (15783281) (LOCKED),Drew Brees,15783281,QB,6600,In Progress,NO,19.22
2365050531,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,P.J. Walker (15783309) (LOCKED),James Conner (15783356) (LOCKED),Alvin Kamara (15783340) (LOCKED),KJ Hamler (15783672),DJ Moore (15783604) (LOCKED),Curtis Samuel (15783630) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Dalvin Cook (15783342),Bengals (15784061) (LOCKED),,RB,James Conner (15783356) (LOCKED),James Conner,15783356,RB/FLEX,6600,In Progress,PIT,14.46
2365050532,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Deshaun Watson (15783282) (LOCKED),Giovani Bernard (15783390) (LOCKED),Alvin Kamara (15783340) (LOCKED),Brandin Cooks (15783614) (LOCKED),Jakobi Meyers (15783620) (LOCKED),Adam Thielen (15783576),Jordan Akins (15784012) (LOCKED),Aaron Jones (15783346),Lions (15784057) (LOCKED),,QB,Deshaun Watson (15783282) (LOCKED),Deshaun Watson,15783282,QB,6500,In Progress,HOU,23.32
2365050533,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Alex Smith (15783298) (LOCKED),Alvin Kamara (15783340) (LOCKED),Miles Sanders (15783350) (LOCKED),A.J. Green (15783674) (LOCKED),Terry McLaurin (15783572) (LOCKED),Cam Sims (15783688) (LOCKED),Mark Andrews (15783866) (LOCKED),James Conner (15783356) (LOCKED),Vikings (15784048),,RB,Ezekiel Elliott (15783358),Ezekiel Elliott,15783358,RB/FLEX,6500,DAL@MIN 11/22/2020 04:25PM ET,DAL,16.78
2365050534,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),James Conner (15783356) (LOCKED),Mike Davis (15783352) (LOCKED),Brandin Cooks (15783614) (LOCKED),Michael Gallup (15783660),Justin Jefferson (15783584),Trey Burton (15783902),Dalvin Cook (15783342),Dolphins (15784047),,QB,Teddy Bridgewater (15783283) (LOCKED),Teddy Bridgewater,15783283,QB,6400,Final,CAR,19.47
2365050535,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Tua Tagovailoa (15783290),James Conner (15783356) (LOCKED),Mike Davis (15783352) (LOCKED),KJ Hamler (15783672),Jakobi Meyers (15783620) (LOCKED),DeVante Parker (15783598),Mike Gesicki (15783876),Dalvin Cook (15783342),Vikings (15784048),,RB,D'Andre Swift (15783362) (LOCKED),D'Andre Swift,15783362,RB/FLEX,6400,Final,DET,14.51
2365050536,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Joe Burrow (15783293) (LOCKED),Duke Johnson (15783392) (LOCKED),Miles Sanders (15783350) (LOCKED),Tyler Boyd (15783600) (LOCKED),A.J. Green (15783674) (LOCKED),Terry McLaurin (15783572) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Aaron Jones (15783346),Steelers (15784044) (LOCKED),,RB,James Robinson (15783360) (LOCKED),James Robinson,15783360,RB/FLEX,6400,In Progress,JAX,19.19
2365050537,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Matthew Stafford (15783288) (LOCKED),Giovani Bernard (15783390) (LOCKED),James Conner (15783356) (LOCKED),Robby Anderson (15783586) (LOCKED),Brandin Cooks (15783614) (LOCKED),Marvin Jones Jr. (15783606) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Dalvin Cook (15783342),Jets (15784065),,WR,JuJu Smith-Schuster (15783574) (LOCKED),JuJu Smith-Schuster,15783574,WR/FLEX,6400,In Progress,PIT,15.29
2365050538,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Tua Tagovailoa (15783290),James Conner (15783356) (LOCKED),Aaron Jones (15783346),Jakeem Grant (15783682),Jerry Jeudy (15783612),DeVante Parker (15783598),T.J. Hockenson (15783878) (LOCKED),Dalvin Cook (15783342),Lions (15784057) (LOCKED),,QB,Matt Ryan (15783284) (LOCKED),Matt Ryan,15783284,QB,6300,In Progress,ATL,20.85
2365050539,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Matthew Stafford (15783288) (LOCKED),Duke Johnson (15783392) (LOCKED),Alvin Kamara (15783340) (LOCKED),Robby Anderson (15783586) (LOCKED),Marvin Hall (15783656) (LOCKED),Jakobi Meyers (15783620) (LOCKED),T.J. Hockenson (15783878) (LOCKED),Aaron Jones (15783346),Vikings (15784048),,RB,Joe Mixon (15783364) (LOCKED),Joe Mixon,15783364,RB/FLEX,6300,In Progress,CIN,17.27
2365050540,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),James Conner (15783356) (LOCKED),Alvin Kamara (15783340) (LOCKED),Michael Gallup (15783660),Justin Jefferson (15783584),Jakobi Meyers (15783620) (LOCKED),Irv Smith Jr. (15783894),Duke Johnson (15783392) (LOCKED),Steelers (15784044) (LOCKED),,WR,Adam Thielen (15783576),Adam Thielen,15783576,WR/FLEX,6300,DAL@MIN 11/22/2020 04:25PM ET,MIN,17.42
2365050541,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Duke Johnson (15783392) (LOCKED),Miles Sanders (15783350) (LOCKED),Amari Cooper (15783610),Jakobi Meyers (15783620) (LOCKED),Adam Thielen (15783576),Robert Tonyan (15783898),Dalvin Cook (15783342),Lions (15784057) (LOCKED),,QB,Cam Newton (15783286) (LOCKED),Cam Newton,15783286,QB,6200,In Progress,NE,20.06
2365050542,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Mike Davis (15783352) (LOCKED),Miles Sanders (15783350) (LOCKED),Brandin Cooks (15783614) (LOCKED),Amari Cooper (15783610),Justin Jefferson (15783584),Irv Smith Jr. (15783894),Aaron Jones (15783346),WAS Football Team (15784053) (LOCKED),,WR,Will Fuller V (15783578) (LOCKED),Will Fuller V,15783578,WR/FLEX,6200,In Progress,HOU,16.87
2365050543,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Mike Davis (15783352) (LOCKED),Aaron Jones (15783346),Justin Jefferson (15783584),CeeDee Lamb (15783618),Denzel Mims (15783690),Dallas Goedert (15783886) (LOCKED),Dalvin Cook (15783342),Texans (15784058) (LOCKED),,QB,Kirk Cousins (15783285),Kirk Cousins,15783285,QB,6200,DAL@MIN 11/22/2020 04:25PM ET,MIN,17.36
2365050544,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Mike Davis (15783352) (LOCKED),Duke Johnson (15783392) (LOCKED),KJ Hamler (15783672),Justin Jefferson (15783584),Terry McLaurin (15783572) (LOCKED),Dalton Schultz (15783890),Dalvin Cook (15783342),Titans (15784059) (LOCKED),,RB,Alexander Mattison (15783366),Alexander Mattison,15783366,RB/FLEX,6200,DAL@MIN 11/22/2020 04:25PM ET,MIN,6.3
2365050545,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,P.J. Walker (15783309) (LOCKED),Aaron Jones (15783346),Miles Sanders (15783350) (LOCKED),Marvin Jones Jr. (15783606) (LOCKED),DJ Moore (15783604) (LOCKED),Curtis Samuel (15783630) (LOCKED),Logan Thomas (15783896) (LOCKED),Dalvin Cook (15783342),Patriots (15784052) (LOCKED),,QB,Ryan Tannehill (15783287) (LOCKED),Ryan Tannehill,15783287,QB,6100,In Progress,TEN,20.84
2365050546,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Deshaun Watson (15783282) (LOCKED),Giovani Bernard (15783390) (LOCKED),James Conner (15783356) (LOCKED),Randall Cobb (15783668) (LOCKED),Will Fuller V (15783578) (LOCKED),Jakobi Meyers (15783620) (LOCKED),Trey Burton (15783902),Dalvin Cook (15783342),Steelers (15784044) (LOCKED),,WR,Chase Claypool (15783580) (LOCKED),Chase Claypool,15783580,WR/FLEX,6100,In Progress,PIT,15.91
2365050547,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Ryan Tannehill (15783287) (LOCKED),James Conner (15783356) (LOCKED),Mike Davis (15783352) (LOCKED),A.J. Brown (15783568) (LOCKED),Corey Davis (15783624) (LOCKED),Jakobi Meyers (15783620) (LOCKED),Mark Andrews (15783866) (LOCKED),Duke Johnson (15783392) (LOCKED),Vikings (15784048),,RB,Austin Ekeler (15783368),Austin Ekeler,15783368,RB/FLEX,6100,NYJ@LAC 11/22/2020 04:05PM ET,LAC,15.55
2365050548,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Matthew Stafford (15783288) (LOCKED),Giovani Bernard (15783390) (LOCKED),Aaron Jones (15783346),Marvin Hall (15783656) (LOCKED),Marvin Jones Jr. (15783606) (LOCKED),Curtis Samuel (15783630) (LOCKED),Mark Andrews (15783866) (LOCKED),Dalvin Cook (15783342),Dolphins (15784047),,WR,Jamison Crowder (15783582),Jamison Crowder,15783582,WR/FLEX,6100,NYJ@LAC 11/22/2020 04:05PM ET,NYJ,19.78
2365050549,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Kirk Cousins (15783285),Mike Davis (15783352) (LOCKED),Alvin Kamara (15783340) (LOCKED),KJ Hamler (15783672),CeeDee Lamb (15783618),Adam Thielen (15783576),Irv Smith Jr. (15783894),Duke Johnson (15783392) (LOCKED),Chargers (15784045),,QB,Matthew Stafford (15783288) (LOCKED),Matthew Stafford,15783288,QB,6000,Final,DET,19.09
2365050550,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Deshaun Watson (15783282) (LOCKED),James Conner (15783356) (LOCKED),Mike Davis (15783352) (LOCKED),Damiere Byrd (15783680) (LOCKED),Brandin Cooks (15783614) (LOCKED),Will Fuller V (15783578) (LOCKED),Logan Thomas (15783896) (LOCKED),Dalvin Cook (15783342),WAS Football Team (15784053) (LOCKED),,WR,Robby Anderson (15783586) (LOCKED),Robby Anderson,15783586,WR/FLEX,6000,Final,CAR,15.75
2365050551,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],96625286,$20,Taysom Hill (15783312) (LOCKED),Mike Davis (15783352) (LOCKED),Miles Sanders (15783350) (LOCKED),KJ Hamler (15783672),Julio Jones (15783562) (LOCKED),Emmanuel Sanders (15783622) (LOCKED),Jared Cook (15783880) (LOCKED),Dalvin Cook (15783342),Broncos (15784060),,WR,Justin Jefferson (15783584),Justin Jefferson,15783584,WR/FLEX,6000,DAL@MIN 11/22/2020 04:25PM ET,MIN,16.69
