"RK","PLAYER NAME","OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"30","Julio Jones (ATL) Q ","at MIN"," 6.0","A-","13.1","-2.5","30% (4/13)"
"31","Jarvis Landry (CLE) Q ","at PIT"," 7.6","B-","13.0","+0.1","37% (6/16)"
"32","D.J. Chark Jr. (JAC) Q ","vs. DET"," 5.8","B","12.8","-2.0","21% (3/14)"
"33","T.Y. Hilton (IND) ","vs. CIN"," 5.2","C+","12.1","-4.4","36% (4/11)"
"34","Julian Edelman (NE) Q ","vs. DEN"," 5.0","C+","11.8","-1.9","26% (4/15)"
"35","Michael Gallup (DAL) ","vs. ARI"," 6.0","C+","11.7","-0.9","43% (7/16)"
"36","Brandin Cooks (HOU) ","at TEN"," 5.4","C+","11.7","-2.2","28% (4/14)"
"37","Tee Higgins (CIN) ","at IND"," 5.8","C+","11.6","+3.2","60% (3/5)"
"38","Mecole Hardman (KC) ","at BUF"," 5.2","C+","11.4","+1.3","50% (8/16)"
"39","John Brown (BUF) Q ","vs. KC"," 4.0","C+","11.0","0.0","42% (6/14)"
"40","Deebo Samuel (SF) ","vs. LAR"," 6.4","C","10.7","+1.9","61% (8/13)"
"41","Christian Kirk (ARI) ","at DAL"," 6.2","C","10.5","-1.1","46% (6/13)"
"42","Jerry Jeudy (DEN) ","at NE"," 7.6","C","10.4","+0.9","50% (2/4)"
"43","Brandon Aiyuk (SF) ","vs. LAR"," 5.4","C","10.3","+2.7","50% (2/4)"
"44","Golden Tate (NYG) ","vs. WAS"," 6.4","C","10.3","+0.3","42% (6/14)"
"45","Travis Fulgham (PHI) ","vs. BAL"," 4.6","C","10.1","+5.0","33% (2/6)"
"46","Cole Beasley (BUF) ","vs. KC"," 3.8","C","9.9","+2.5","80% (12/15)"
"47","Marvin Jones Jr. (DET) ","at JAC"," 8.4","C","9.9","+1.3","41% (5/12)"
"48","Keelan Cole (JAC) ","vs. DET"," 6.4","C","9.9","+1.8","53% (8/15)"
"49","Curtis Samuel (CAR) Q ","vs. CHI"," 4.6","C","9.8","-0.9","43% (7/16)"
"50","Russell Gage (ATL) Q ","at MIN"," 4.8","C","9.3","+0.8","50% (8/16)"
"51","Randall Cobb (HOU) ","at TEN"," 5.0","C-","9.2","+1.9","53% (8/15)"
"52","Preston Williams (MIA) ","vs. NYJ"," 7.8","C","9.1","-0.7","25% (2/8)"
"53","N'Keal Harry (NE) ","vs. DEN"," 4.2","C-","9.0","+0.4","63% (7/11)"
"54","Greg Ward (PHI) ","vs. BAL"," 3.2","C-","9.0","+2.0","63% (7/11)"
"55","Tim Patrick (DEN) ","at NE"," 6.6","C-","8.8","+1.8","63% (7/11)"
"56","Zach Pascal (IND) ","vs. CIN"," 7.4","D+","8.8","-0.3","37% (6/16)"
"57","Scotty Miller (TB) ","vs. GB"," 6.4","C-","8.6","+0.4","54% (6/11)"
"58","Marquez Valdes-Scantling (GB) ","at TB"," 4.8","C-","8.6","-2.0","26% (4/15)"
"59","Anthony Miller (CHI) ","at CAR"," 3.8","D+","8.2","+0.6","56% (9/16)"
"60","Darnell Mooney (CHI) ","at CAR"," 4.6","D","8.2","+1.9","60% (3/5)"
"61","Demarcus Robinson (KC) ","at BUF"," 4.6","D","8.1","-2.1","18% (3/16)"
"62","A.J. Green (CIN) ","at IND"," 5.8","D+","8.1","-6.8","0% (0/5)"
"63","James Washington (PIT) ","vs. CLE"," 6.6","D+","8.0","+1.7","42% (6/14)"
"64","Larry Fitzgerald (ARI) ","at DAL"," 8.8","D","7.9","-2.6","31% (5/16)"
"65","Damiere Byrd (NE) ","vs. DEN"," 4.8","D","7.8","+0.8","33% (5/15)"
"66","Andy Isabella (ARI) ","at DAL"," 7.8","D-","7.7","+1.1","33% (5/15)"
"67","Olamide Zaccheaus (ATL) ","at MIN"," 6.8","D-","7.6","+0.7","30% (4/13)"
"68","Kendrick Bourne (SF) ","vs. LAR"," 7.0","D-","7.5","+1.7","52% (9/17)"
"69","Gabriel Davis (BUF) ","vs. KC"," 4.2","D-","7.3","+4.8","100% (5/5)"
"70","Adam Humphries (TEN) ","vs. HOU"," 6.6","D-","7.0","+0.9","60% (6/10)"
"71","Jeff Smith (NYJ) ","at MIA"," 4.2","F","6.9","+0.9","33% (1/3)"
"72","Chris Conley (JAC) ","vs. DET"," 6.4","F","6.8","0.0","50% (8/16)"
"73","Isaiah Ford (MIA) ","vs. NYJ"," 8.0","F","6.7","+0.4","41% (5/12)"
"74","Danny Amendola (DET) ","at JAC"," 8.4","F","6.4","-0.4","31% (5/16)"
"75","Dontrelle Inman (WAS) ","at NYG"," 6.8","F","6.3","0.0","28% (2/7)"
"76","Cordarrelle Patterson (CHI) ","at CAR"," 4.2","F","6.3","-0.8","33% (5/15)"
"77","Miles Boykin (BAL) Q ","at PHI"," 6.2","F","6.2","-1.5","31% (5/16)"
"78","Josh Reynolds (LAR) ","at SF"," 6.4","F","6.0","+1.1","56% (9/16)"
"79","Kenny Stills (HOU) ","at TEN"," 5.8","F","6.0","-0.3","42% (6/14)"
"80","Cedrick Wilson (DAL) ","vs. ARI"," 6.0","F","5.9","+3.3","40% (4/10)"
"81","John Hightower (PHI) ","vs. BAL"," 4.0","F","5.8","-0.8","40% (2/5)"
"82","Willie Snead IV (BAL) ","at PHI"," 6.6","F","5.8","-0.5","25% (4/16)"
"83","Kalif Raymond (TEN) ","vs. HOU"," 6.2","F","5.8","+0.8","33% (4/12)"
"84","Tyler Johnson (TB) ","vs. GB"," 6.0","F","5.6","+0.6","25% (1/4)"
"85","Devin Duvernay (BAL) ","at PHI"," 6.0","F","5.5","+1.3","40% (2/5)"
"86","Isaiah Wright (WAS) ","at NYG"," 3.8","F","5.5","-1.1","25% (1/4)"
"87","Braxton Berrios (NYJ) ","at MIA"," 4.6","F","5.3","0.0","18% (3/16)"
"88","DaeSean Hamilton (DEN) ","at NE"," 6.8","F","5.3","-0.3","26% (4/15)"
"89","Breshad Perriman (NYJ) Q ","at MIA"," 4.2","F","5.2","+2.9","58% (7/12)"
"90","Olabisi Johnson (MIN) ","vs. ATL"," 6.6","F","5.2","-0.4","31% (5/16)"
"91","Van Jefferson (LAR) ","at SF"," 5.8","F","4.9","-1.9","20% (1/5)"
"92","Marcus Johnson (IND) ","vs. CIN"," 6.4","F","4.9","+1.4","46% (6/13)"
"93","Jakeem Grant (MIA) ","vs. NYJ"," 8.8","F","4.6","-0.7","50% (6/12)"
"94","Collin Johnson (JAC) ","vs. DET"," 6.2","F","4.5","+0.8","40% (2/5)"
"95","Isaiah McKenzie (BUF) ","vs. KC"," 3.0","F","4.2","+0.5","46% (7/15)"
"96","Trent Taylor (SF) ","vs. LAR"," 6.4","F","4.0","-1.4","20% (1/5)"
"97","Rashard Higgins (CLE) ","at PIT"," 7.6","F","3.8","-1.3","13% (2/15)"
"98","Corey Davis (TEN) COV-IR ","vs. HOU"," 6.6","F","3.7","-1.3","28% (4/14)"
"99","Chad Beebe (MIN) ","vs. ATL"," 6.6","F","3.6","-1.1","20% (1/5)"
"100","Darrius Shepherd (GB) ","at TB"," 5.0","F","3.5","-","-"
"101","Christian Blake (ATL) ","at MIN"," 6.0","F","3.4","-1.4","21% (3/14)"
"102","Jakobi Meyers (NE) ","vs. DEN"," 5.2","F","3.3","-0.8","38% (5/13)"
"103","Dante Pettis (SF) ","vs. LAR"," 6.4","F","3.2","-2.3","15% (2/13)"
"104","Mike Thomas (CIN) ","at IND"," 3.6","F","3.0","+0.4","26% (4/15)"
"105","Damion Ratley (FA) ","-","-","F","3.0","-0.8","20% (3/15)"
"106","Auden Tate (CIN) D ","at IND"," 4.6","F","2.8","-0.8","33% (4/12)"
"107","Byron Pringle (KC) ","at BUF"," 4.6","F","2.8","-0.5","18% (3/16)"
"108","Ray-Ray McCloud (PIT) ","vs. CLE"," 7.4","F","2.5","+1.1","20% (1/5)"
"109","Noah Brown (DAL) ","vs. ARI"," 6.4","F","2.5","+0.5","20% (2/10)"
"110","Antonio Gandy-Golden (WAS) ","at NYG"," 6.0","F","2.3","-1.4","20% (1/5)"
"111","C.J. Board (NYG) ","vs. WAS"," 6.8","F","2.2","+0.1","30% (3/10)"
"112","JJ Arcega-Whiteside (PHI) ","vs. BAL"," 4.0","F","2.1","-0.7","35% (5/14)"
"113","Malik Taylor (GB) ","at TB"," 5.0","F","2.0","-1.9","25% (1/4)"
"114","Justin Watson (TB) ","vs. GB","-","F","2.0","+0.5","28% (4/14)"
"115","Daurice Fountain (IND) ","vs. CIN"," 6.4","F","1.9","-","-"
"116","Equanimeous St. Brown (GB) ","at TB","-","F","1.8","0.0","0% (0/1)"
"117","Javon Wims (CHI) ","at CAR"," 4.2","F","1.8","-0.2","40% (6/15)"
"118","Seth Roberts (CAR) ","vs. CHI"," 4.6","F","1.8","+0.1","33% (5/15)"
"119","Ashton Dulin (IND) ","vs. CIN"," 6.4","F","1.7","-0.3","20% (3/15)"
"120","Ted Ginn Jr. (CHI) ","at CAR"," 4.2","F","1.7","-2.0","26% (4/15)"
"121","Quintez Cephus (DET) ","at JAC"," 8.4","F","1.7","-0.1","50% (2/4)"
"122","Sterling Shepard (NYG) IR ","vs. WAS"," 6.4","F","1.7","-2.0","25% (2/8)"
"123","Gunner Olszewski (NE) ","vs. DEN"," 6.0","F","1.5","-0.1","20% (1/5)"
"124","Marvin Hall (DET) ","at JAC"," 8.4","F","1.4","+1.3","54% (6/11)"
"125","Diontae Spencer (DEN) ","at NE"," 6.6","F","1.3","-0.5","21% (3/14)"
"126","Brandon Powell (ATL) ","at MIN"," 6.0","F","1.3","-0.5","14% (1/7)"
"127","KeeSean Johnson (ARI) ","at DAL"," 8.6","F","1.2","-1.5","25% (3/12)"
"128","John Ross (CIN) ","at IND","-","F","1.2","-4.0","12% (1/8)"
"129","Andre Roberts (BUF) ","vs. KC"," 4.0","F","1.1","-0.8","20% (3/15)"
"130","Chris Hogan (NYJ) IR ","at MIA"," 4.2","F","1.1","-1.2","42% (3/7)"
"131","Jaydon Mickens (TB) ","vs. GB"," 6.0","F","0.8","-0.9","20% (1/5)"
"132","Nick Westbrook-Ikhine (TEN) ","vs. HOU"," 6.2","F","0.7","-","-"
"133","Donovan Peoples-Jones (CLE) ","at PIT"," 7.6","F","0.6","-1.6","0% (0/2)"
"134","Cam Batson (TEN) ","vs. HOU"," 6.2","F","0.3","-4.3","0% (0/2)"
"135","Alex Erickson (CIN) ","at IND"," 4.6","F","0.3","-0.1","37% (6/16)"
"136","Isaiah Zuber (NE) ","vs. DEN"," 6.0","F","0.2","-","-"
"137","Tyrie Cleveland (DEN) ","at NE"," 6.6","F","0.1","-0.1","33% (1/3)"
"138","Denzel Mims (NYJ) ","at MIA","-","F","0.1","-","-"
"139","Pharoh Cooper (CAR) ","vs. CHI"," 4.6","F","0.1","+0.2","40% (6/15)"
"140","DeAndre Carter (HOU) ","at TEN"," 6.8","F","0.1","-0.5","25% (4/16)"
"141","James Proche (BAL) ","at PHI"," 5.8","F","0.1","-0.2","0% (0/5)"
"142","Cody Hollister (TEN) ","vs. HOU","-","F","0.1","-0.6","11% (1/9)"
"143","Cyril Grayson Jr. (TB) ","vs. GB"," 6.0","F","0.1","-","-"
"144","Dede Westbrook (JAC) ","vs. DET","-","F","0.1","-0.9","36% (4/11)"
"145","Trent Sherfield (ARI) ","at DAL"," 8.6","F","0.1","-1.1","6% (1/15)"
"146","Cam Sims (WAS) ","at NYG"," 5.8","F","0.1","+0.2","28% (2/7)"
"147","Tajae Sharpe (MIN) ","vs. ATL"," 6.6","F","0.1","+1.3","38% (5/13)"
"148","Mack Hollins (MIA) ","vs. NYJ"," 7.8","F","0.1","-1.9","0% (0/15)"
"149","Quez Watkins (PHI) ","vs. BAL"," 4.2","F","0.1","-1.9","0% (0/1)"
"150","Deon Cain (PIT) ","vs. CLE","-","F","0.1","-0.7","28% (2/7)"
"151","Keith Kirkwood (CAR) ","vs. CHI","-","F","0.1","-0.7","0% (0/8)"
"152","Taywan Taylor (CLE) ","at PIT"," 7.6","F","0.1","-0.3","0% (0/5)"
"153","Riley Ridley (CHI) ","at CAR","-","F","0.1","-0.2","33% (2/6)"
"154","Keke Coutee (HOU) ","at TEN"," 6.8","F","0.1","-0.9","36% (4/11)"
"155","Chris Moore (BAL) Q ","at PHI","-","F","0.1","-0.5","11% (1/9)"
