Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
22,Jared Goff,LAR,IND,15,27,22.7,2.7,"Things couldn't have gone much worse for Goff in his rookie season, as he threw just five touchdown passes and totaled a 63.6 passer rating. But the Rams have improved their offensive line, and added some juice to their receiving game with Sammy Watkins and Cooper Kupp.  The Colts allowed the eighth-most fantasy points to opposing quarterbacks last season, and will be playing without Vontae Davis in the opener. Goff is still only an option in two-QB leagues, but his owners couldn't have asked for much more heading into Week 1."
23,Joe Flacco,BAL,CIN,18,27,22.8,2.2,"Flacco has promised he will play Week 1, but that doesn't mean he will be 100%. We haven't even seen him so it is much better to hold off until we see him get a few reps."
24,Trevor Siemian,DEN,LAC,18,27,22.5,2.1
25,DeShone Kizer,CLE,PIT,18,29,23.9,2.8
26,Blake Bortles,JAC,HOU,20,30,25.9,1.8,"Try not to laugh too long that you miss the point. Bortles may be entirely incompetent as an NFL quarterback, but that isn't the case as a fantasy quarterback. In fact, he still finished as a top 10 QB last year despite the shoulder injury and all of the pick sixes. He is still the starting quarterback and until he losses his job, the fantasy potential will be knocking at your door. "
27,Josh McCown,NYJ,BUF,20,30,28.3,1.9
28,Mike Glennon,CHI,ATL,22,30,26.3,1.8,"If you're relying on Glennon as your fantasy starter in Week 1, something probably went wrong in your draft. But although he had a rough preseason until the third game where he righted the ship a bit, Glennon has been serviceable for most of his career. He has a 30-to-15 TD/INT ratio and an 84.6 passer rating in his career. Serviceable might be enough to get by in this one, as the Falcons allowed the second-most fantasy points to quarterbacks last season, and Glennon and the Bears will undoubtedly need a ton of points. But without much in the way of receivers after Cameron Meredith's injury, Glennon is nothing more than a desperation play in two-QB leagues."
29,Tom Savage,HOU,JAC,22,31,27.8,2.0
30,Scott Tolzien,IND,LAR,22,31,28.7,1.9
31,Deshaun Watson,HOU,JAC,29,33,31.4,1.3
32,Cody Kessler,CLE,PIT,31,33,31.6,0.7
33,Nathan Peterman,BUF,NYJ,31,34,32.6,1.0
34,Mitch Trubisky,CHI,ATL,32,35,33.8,1.2
35,Jimmy Garoppolo,NE,KC,31,35,33.9,1.2
36,Drew Stanton,ARI,DET,31,38,34.7,2.9
37,Derek Anderson,CAR,SF,31,39,35.0,4.0
38,Ryan Mallett,BAL,CIN,36,36,36.0,0.0
