Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2250440152,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tee Higgins (15512841),DJ Moore (15512789),Laviska Shenault Jr. (15512851),Tyler Eifert (15513135),Chris Carson (15512515),Ravens (15513305),,1. Column A lists all of your contest entries for this draftgroup
2259676322,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),DJ Chark Jr. (15512775),A.J. Green (15512793),Laviska Shenault Jr. (15512851),Jordan Akins (15513143),Mike Davis (15512527),Buccaneers (15513311),,2. Your current lineup is listed next to each entry (blank for reservations)
2259681202,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Justin Jefferson (15512803),DeVante Parker (15512785),Adam Thielen (15512759),Jordan Akins (15513143),Mike Davis (15512527),WAS Football Team (15513329),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2259681203,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Keelan Cole (15512845),DK Metcalf (15512747),Laviska Shenault Jr. (15512851),Drew Sample (15513137),Kenyan Drake (15512519),Bears (15513317),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2259681204,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Brandin Cooks (15512837),DJ Moore (15512789),Adam Thielen (15512759),Irv Smith Jr. (15513213),Chris Carson (15512515),Bears (15513317),,5. For faster processing only include entries you are changing in the file you upload
2259681205,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Cole Beasley (15512831),DJ Moore (15512789),Hunter Renfrow (15512833),Darren Waller (15513101),Chris Carson (15512515),Texans (15513326),,
2259681206,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tyler Boyd (15512773),Keelan Cole (15512845),DeVante Parker (15512785),Tyler Eifert (15513135),Mike Davis (15512527),Vikings (15513322),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2259681217,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Isaiah Ford (15512891),Reece Fountain (15513077),DK Metcalf (15512747),Greg Olsen (15513117),Kenyan Drake (15512519),Vikings (15513322),,QB,Josh Allen (15512428),Josh Allen,15512428,QB,7300,BUF@LV 10/04/2020 04:25PM ET,BUF,35.64
2259681218,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Joe Burrow (15512435),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tyler Boyd (15512773),Brandin Cooks (15512837),Laviska Shenault Jr. (15512851),Drew Sample (15513137),Mike Davis (15512527),Bills (15513308),,QB,Dak Prescott (15512429),Dak Prescott,15512429,QB,7200,CLE@DAL 10/04/2020 01:00PM ET,DAL,31.64
2259681219,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Chris Carson (15512515),Alvin Kamara (15512493),Will Fuller V (15512779),Hunter Renfrow (15512833),Adam Thielen (15512759),Kyle Rudolph (15513141),Mike Davis (15512527),Ravens (15513305),,RB,Austin Ekeler (15512501),Austin Ekeler,15512501,RB/FLEX,7100,LAC@TB 10/04/2020 01:00PM ET,LAC,19.93
2259681220,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Joe Burrow (15512435),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Chris Conley (15512889),A.J. Green (15512793),Tee Higgins (15512841),Darren Waller (15513101),Mike Davis (15512527),Colts (15513313),,QB,Kyler Murray (15512430),Kyler Murray,15512430,QB,7000,ARI@CAR 10/04/2020 01:00PM ET,ARI,28.38
2259681221,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Matthew Stafford (15512439),Chris Carson (15512515),Ezekiel Elliott (15512495),Brandin Cooks (15512837),Kenny Golladay (15512777),Tre'Quan Smith (15512815),T.J. Hockenson (15513107),Mike Davis (15512527),Ravens (15513305),,WR,Tyler Lockett (15512743),Tyler Lockett,15512743,WR/FLEX,7000,SEA@MIA 10/04/2020 01:00PM ET,SEA,25.63
2259681222,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Nelson Agholor (15512895),Tyler Lockett (15512743),David Moore (15512903),Mike Gesicki (15513103),Ronald Jones II (15512555),Panthers (15513324),,RB,Nick Chubb (15512503),Nick Chubb,15512503,RB/FLEX,7000,CLE@DAL 10/04/2020 01:00PM ET,CLE,20.97
2259681223,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Reece Fountain (15513077),Will Fuller V (15512779),Adam Thielen (15512759),Darren Fells (15513147),Chris Carson (15512515),Giants (15513325),,RB,James Conner (15512505),James Conner,15512505,RB/FLEX,6900,Postponed,PIT,18.23
2259681224,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Will Fuller V (15512779),Justin Jefferson (15512803),Tyler Lockett (15512743),Irv Smith Jr. (15513213),Ronald Jones II (15512555),Colts (15513313),,WR,Tyreek Hill (15512745),Tyreek Hill,15512745,WR/FLEX,6900,Postponed,KC,19.53
2259681225,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Mike Davis (15512527),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Stefon Diggs (15512749),Hunter Renfrow (15512833),Darren Waller (15513101),David Montgomery (15512535),Jaguars (15513318),,WR,DK Metcalf (15512747),DK Metcalf,15512747,WR/FLEX,6800,SEA@MIA 10/04/2020 01:00PM ET,SEA,20.57
2259681226,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Chris Carson (15512515),Alvin Kamara (15512493),Tyler Boyd (15512773),DJ Chark Jr. (15512775),Brandin Cooks (15512837),Tyler Eifert (15513135),Kenyan Drake (15512519),Bills (15513308),,RB,Josh Jacobs (15512507),Josh Jacobs,15512507,RB/FLEX,6800,BUF@LV 10/04/2020 04:25PM ET,LV,19.9
2259681227,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Chris Carson (15512515),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Justin Jefferson (15512803),Adam Thielen (15512759),Darren Fells (15513147),Kenyan Drake (15512519),Colts (15513313),,WR,Stefon Diggs (15512749),Stefon Diggs,15512749,WR/FLEX,6800,BUF@LV 10/04/2020 04:25PM ET,BUF,21.27
2259681228,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442),Mike Davis (15512527),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Amari Cooper (15512755),DeVante Parker (15512785),Austin Hooper (15513119),David Montgomery (15512535),Vikings (15513322),,TE,Travis Kelce (15513093),Travis Kelce,15513093,TE/FLEX,6800,Postponed,KC,18.57
2259681229,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Josh Allen (15512428),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Cole Beasley (15512831),John Brown (15512805),Hunter Renfrow (15512833),Jordan Akins (15513143),Mike Davis (15512527),Seahawks (15513312),,WR,Allen Robinson II (15512753),Allen Robinson II,15512753,WR/FLEX,6700,IND@CHI 10/04/2020 04:25PM ET,CHI,16.63
2259681230,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Randall Cobb (15512823),Brandin Cooks (15512837),Allen Robinson II (15512753),Irv Smith Jr. (15513213),Mike Davis (15512527),Seahawks (15513312),,WR,Amari Cooper (15512755),Amari Cooper,15512755,WR/FLEX,6700,CLE@DAL 10/04/2020 01:00PM ET,DAL,18.23
2259681231,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429),Chris Carson (15512515),Alvin Kamara (15512493),Brandin Cooks (15512837),Amari Cooper (15512755),CeeDee Lamb (15512799),Austin Hooper (15513119),Mike Davis (15512527),WAS Football Team (15513329),,QB,Jared Goff (15512431),Jared Goff,15512431,QB,6700,NYG@LAR 10/04/2020 04:05PM ET,LAR,22.24
2259681232,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Tom Brady (15512436),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Brandin Cooks (15512837),Mike Evans (15512765),Scotty Miller (15512863),Hunter Henry (15513109),Mike Davis (15512527),Raiders (15513323),,WR,Cooper Kupp (15512751),Cooper Kupp,15512751,WR/FLEX,6700,NYG@LAR 10/04/2020 04:05PM ET,LAR,16.9
2259681233,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Joe Burrow (15512435),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tyler Boyd (15512773),Reece Fountain (15513077),A.J. Green (15512793),Tyler Eifert (15513135),Chris Carson (15512515),Buccaneers (15513311),,RB,Jonathan Taylor (15512509),Jonathan Taylor,15512509,RB/FLEX,6600,IND@CHI 10/04/2020 04:25PM ET,IND,16.7
2259681234,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429),Chris Carson (15512515),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Reece Fountain (15513077),CeeDee Lamb (15512799),Dalton Schultz (15513113),Kenyan Drake (15512519),Ravens (15513305),,WR,JuJu Smith-Schuster (15512757),JuJu Smith-Schuster,15512757,WR/FLEX,6600,Postponed,PIT,17.67
2259681235,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Chris Carson (15512515),Alvin Kamara (15512493),DJ Chark Jr. (15512775),Keelan Cole (15512845),Tee Higgins (15512841),Darren Waller (15513101),Mike Davis (15512527),Seahawks (15513312),,QB,Deshaun Watson (15512432),Deshaun Watson,15512432,QB,6600,MIN@HOU 10/04/2020 01:00PM ET,HOU,18.53
2259681236,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Kenyan Drake (15512519),Alvin Kamara (15512493),DK Metcalf (15512747),David Moore (15512903),Laviska Shenault Jr. (15512851),Mike Gesicki (15513103),Devin Singletary (15512521),Giants (15513325),,WR,Adam Thielen (15512759),Adam Thielen,15512759,WR/FLEX,6600,MIN@HOU 10/04/2020 01:00PM ET,MIN,17.47
2259681237,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442),Kenyan Drake (15512519),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Jarvis Landry (15512809),DK Metcalf (15512747),Dalton Schultz (15513113),David Montgomery (15512535),Raiders (15513323),,QB,Ben Roethlisberger (15512433),Ben Roethlisberger,15512433,QB,6500,Postponed,PIT,21.16
2259681238,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Randall Cobb (15512823),Tee Higgins (15512841),Adam Thielen (15512759),Kyle Rudolph (15513141),David Montgomery (15512535),Rams (15513306),,WR,Keenan Allen (15512761),Keenan Allen,15512761,WR/FLEX,6500,LAC@TB 10/04/2020 01:00PM ET,LAC,19.5
2259681239,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Brandin Cooks (15512837),Will Fuller V (15512779),Laviska Shenault Jr. (15512851),Kyle Rudolph (15513141),David Montgomery (15512535),Ravens (15513305),,WR,Chris Godwin (15512763),Chris Godwin,15512763,WR/FLEX,6500,LAC@TB 10/04/2020 01:00PM ET,TB,15.65
2259681240,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Teddy Bridgewater (15512446),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Robby Anderson (15512797),Christian Kirk (15512853),DJ Moore (15512789),Logan Thomas (15513131),Chris Carson (15512515),Buccaneers (15513311),,RB,James Robinson (15512511),James Robinson,15512511,RB/FLEX,6500,JAX@CIN 10/04/2020 01:00PM ET,JAX,21.63
2259681241,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Ronald Jones II (15512555),Alvin Kamara (15512493),Brandin Cooks (15512837),DK Metcalf (15512747),DeVante Parker (15512785),Greg Olsen (15513117),David Montgomery (15512535),Panthers (15513324),,WR,Mike Evans (15512765),Mike Evans,15512765,WR/FLEX,6400,LAC@TB 10/04/2020 01:00PM ET,TB,15.93
2259681242,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Mike Davis (15512527),Ezekiel Elliott (15512495),DJ Chark Jr. (15512775),Tee Higgins (15512841),DK Metcalf (15512747),Tyler Eifert (15513135),Devin Singletary (15512521),Rams (15513306),,QB,Cam Newton (15512434),Cam Newton,15512434,QB,6400,Postponed,NE,25.49
2259681243,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Ryan Fitzpatrick (15512448),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Tyler Johnson (15512921),DK Metcalf (15512747),DeVante Parker (15512785),Mike Gesicki (15513103),David Montgomery (15512535),Texans (15513326),,RB,Clyde Edwards-Helaire (15512513),Clyde Edwards-Helaire,15512513,RB/FLEX,6400,Postponed,KC,18.07
2259681244,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432),Chris Carson (15512515),Alvin Kamara (15512493),Odell Beckham Jr. (15512783),Randall Cobb (15512823),Adam Thielen (15512759),Jordan Akins (15513143),Mike Davis (15512527),Bengals (15513320),,WR,Marquise Brown (15512769),Marquise Brown,15512769,WR/FLEX,6300,BAL@WAS 10/04/2020 01:00PM ET,BAL,10.2
2259681245,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Chris Carson (15512515),Alvin Kamara (15512493),Tyler Boyd (15512773),Keelan Cole (15512845),Laviska Shenault Jr. (15512851),T.J. Hockenson (15513107),Devin Singletary (15512521),Rams (15513306),,RB,Chris Carson (15512515),Chris Carson,15512515,RB/FLEX,6300,SEA@MIA 10/04/2020 01:00PM ET,SEA,18.33
2259681246,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442),Chris Carson (15512515),Alvin Kamara (15512493),Amari Cooper (15512755),Jarvis Landry (15512809),DJ Moore (15512789),Austin Hooper (15513119),David Johnson (15512531),Bengals (15513320),,QB,Joe Burrow (15512435),Joe Burrow,15512435,QB,6300,JAX@CIN 10/04/2020 01:00PM ET,CIN,23.08
2259681247,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Josh Allen (15512428),Ezekiel Elliott (15512495),Alvin Kamara (15512493),John Brown (15512805),Stefon Diggs (15512749),Reece Fountain (15513077),Darren Waller (15513101),Ronald Jones II (15512555),WAS Football Team (15513329),,WR,Robert Woods (15512767),Robert Woods,15512767,WR/FLEX,6300,NYG@LAR 10/04/2020 04:05PM ET,LAR,17.87
2259681248,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Mike Davis (15512527),Alvin Kamara (15512493),Tyler Lockett (15512743),Laviska Shenault Jr. (15512851),Preston Williams (15512839),Greg Olsen (15513117),David Montgomery (15512535),Chargers (15513319),,RB,Kareem Hunt (15512517),Kareem Hunt,15512517,RB/FLEX,6200,CLE@DAL 10/04/2020 01:00PM ET,CLE,16.87
2259681249,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Philip Rivers (15512447),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Reece Fountain (15513077),DK Metcalf (15512747),Allen Robinson II (15512753),Mo Alie-Cox (15513121),Mike Davis (15512527),Giants (15513325),,WR,Michael Gallup (15512771),Michael Gallup,15512771,WR/FLEX,6200,CLE@DAL 10/04/2020 01:00PM ET,DAL,14.87
2259681250,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Tom Brady (15512436),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Mike Evans (15512765),Jalen Guyton (15512907),DJ Moore (15512789),Rob Gronkowski (15513127),Chris Carson (15512515),Giants (15513325),,QB,Tom Brady (15512436),Tom Brady,15512436,QB,6100,LAC@TB 10/04/2020 01:00PM ET,TB,19.01
2259681251,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438),Kenyan Drake (15512519),Alvin Kamara (15512493),DJ Chark Jr. (15512775),Keelan Cole (15512845),A.J. Green (15512793),Hunter Henry (15513109),David Montgomery (15512535),Ravens (15513305),,WR,Tyler Boyd (15512773),Tyler Boyd,15512773,WR/FLEX,6100,JAX@CIN 10/04/2020 01:00PM ET,CIN,17.67
2259681252,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445),Alvin Kamara (15512493),Joe Mixon (15512525),Brandin Cooks (15512837),Justin Jefferson (15512803),Adam Thielen (15512759),T.J. Hockenson (15513107),David Montgomery (15512535),Ravens (15513305),,WR,Kenny Golladay (15512777),Kenny Golladay,15512777,WR/FLEX,6000,NO@DET 10/04/2020 01:00PM ET,DET,17.7
2259681253,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Joe Burrow (15512435),Ezekiel Elliott (15512495),Alvin Kamara (15512493),Keelan Cole (15512845),A.J. Green (15512793),DJ Moore (15512789),Drew Sample (15513137),Ronald Jones II (15512555),Ravens (15513305),,RB,Kenyan Drake (15512519),Kenyan Drake,15512519,RB/FLEX,6000,ARI@CAR 10/04/2020 01:00PM ET,ARI,11.63
2259681254,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426),Kenyan Drake (15512519),Ezekiel Elliott (15512495),DK Metcalf (15512747),David Moore (15512903),DeVante Parker (15512785),T.J. Hockenson (15513107),David Johnson (15512531),WAS Football Team (15513329),,TE,Mark Andrews (15513095),Mark Andrews,15513095,TE/FLEX,6000,BAL@WAS 10/04/2020 01:00PM ET,BAL,10.63
2259681255,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Matthew Stafford (15512439),Chris Carson (15512515),Ezekiel Elliott (15512495),Kenny Golladay (15512777),Marvin Jones Jr. (15512817),Allen Robinson II (15512753),Adam Trautman (15513295),Kenyan Drake (15512519),Rams (15513306),,QB,Ryan Tannehill (15512437),Ryan Tannehill,15512437,QB,6000,Postponed,TEN,20.95
2259681256,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Josh Allen (15512428),Chris Carson (15512515),Alvin Kamara (15512493),Cole Beasley (15512831),John Brown (15512805),Brandin Cooks (15512837),Darren Waller (15513101),Kenyan Drake (15512519),Chargers (15513319),,WR,DJ Chark Jr. (15512775),DJ Chark Jr.,15512775,WR/FLEX,6000,JAX@CIN 10/04/2020 01:00PM ET,JAX,11.95
