Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
3072163034,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),Najee Harris (20851452),Patrick Taylor (20851748),Odell Beckham Jr. (20851812),Van Jefferson (20851834),Deebo Samuel (20851776),Cole Kmet (20852296),James Conner (20851468),Bengals (20852579),,1. Column A lists all of your contest entries for this draftgroup
3072178378,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),Devin Singletary (20851476),Patrick Taylor (20851748),Van Jefferson (20851834),Allen Robinson II (20851892),Deebo Samuel (20851776),George Kittle (20852270),James Conner (20851468),Bills (20852570),,2. Your current lineup is listed next to each entry (blank for reservations)
3072178379,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),Devin Singletary (20851476),Patrick Taylor (20851748),Brandon Aiyuk (20851816),Van Jefferson (20851834),Cooper Kupp (20851772),Hunter Henry (20852286),James Conner (20851468),Texans (20852586),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
3072178380,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Russell Wilson (20851356),Najee Harris (20851452),Patrick Taylor (20851748),Christian Kirk (20851804),Tyler Lockett (20851796),DK Metcalf (20851792),Cole Kmet (20852296),Sony Michel (20851480),Colts (20852569),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
3072178381,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Tom Brady (20851351),Sony Michel (20851480),Patrick Taylor (20851748),Mike Evans (20851788),DJ Moore (20851814),Allen Robinson II (20851892),Rob Gronkowski (20852272),James Conner (20851468),Bengals (20852579),,5. For faster processing only include entries you are changing in the file you upload
3072178382,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),David Montgomery (20851460),Patrick Taylor (20851748),Brandon Aiyuk (20851816),Odell Beckham Jr. (20851812),Deebo Samuel (20851776),Hunter Henry (20852286),James Conner (20851468),Packers (20852572),,
3072178383,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Cam Newton (20851399),Najee Harris (20851452),Patrick Taylor (20851748),Robby Anderson (20851870),Justin Jefferson (20851780),DJ Moore (20851814),Rob Gronkowski (20852272),James Conner (20851468),WAS Football Team (20852576),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
3072178394,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),D'Onta Foreman (20851490),Patrick Taylor (20851748),Van Jefferson (20851834),Christian Kirk (20851804),Deebo Samuel (20851776),Tyler Higbee (20852288),Devin Singletary (20851476),Buccaneers (20852568),,RB,Dalvin Cook (20851448),Dalvin Cook,20851448,RB/FLEX,7800,CHI@MIN 01/09/2022 01:00PM ET,MIN,17.59
3072178395,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),Devin Singletary (20851476),Patrick Taylor (20851748),Brandon Aiyuk (20851816),A.J. Brown (20851790),Deebo Samuel (20851776),Cole Kmet (20852296),Sony Michel (20851480),Buccaneers (20852568),,WR,Stefon Diggs (20851782),Stefon Diggs,20851782,WR/FLEX,7800,NYJ@BUF 01/09/2022 04:25PM ET,BUF,16.78
3072178396,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Ben Roethlisberger (20851368),Sony Michel (20851480),Patrick Taylor (20851748),Chase Claypool (20851836),Diontae Johnson (20851784),Allen Robinson II (20851892),Mark Andrews (20852268),James Conner (20851468),Buccaneers (20852568),,WR,Diontae Johnson (20851784),Diontae Johnson,20851784,WR/FLEX,7600,PIT@BAL 01/09/2022 01:00PM ET,PIT,18.22
3072178397,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Cam Newton (20851399),James Conner (20851468),Dalvin Cook (20851448),Robby Anderson (20851870),Mike Evans (20851788),DJ Moore (20851814),Hunter Henry (20852286),Sony Michel (20851480),Colts (20852569),,QB,Tom Brady (20851351),Tom Brady,20851351,QB,7500,CAR@TB 01/09/2022 04:25PM ET,TB,24.29
3072178398,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),James Conner (20851468),Patrick Taylor (20851748),A.J. Brown (20851790),Chase Claypool (20851836),Van Jefferson (20851834),George Kittle (20852270),Sony Michel (20851480),WAS Football Team (20852576),,TE,Mark Andrews (20852268),Mark Andrews,20852268,TE/FLEX,7500,PIT@BAL 01/09/2022 01:00PM ET,BAL,18.72
3072178399,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),James Conner (20851468),Patrick Taylor (20851748),Marvin Jones Jr. (20851878),Cooper Kupp (20851772),Allen Robinson II (20851892),George Kittle (20852270),Odell Beckham Jr. (20851812),Dolphins (20852590),,QB,Kyler Murray (20851352),Kyler Murray,20851352,QB,7400,SEA@ARI 01/09/2022 04:25PM ET,ARI,23.26
3072178400,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),D'Onta Foreman (20851490),Dare Ogunbowale (20851510),Odell Beckham Jr. (20851812),Deebo Samuel (20851776),Equanimeous St. Brown (20852244),George Kittle (20852270),James Conner (20851468),Titans (20852574),,RB,Aaron Jones (20851450),Aaron Jones,20851450,RB/FLEX,7300,GB@DET 01/09/2022 01:00PM ET,GB,15.53
3072178401,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),D'Onta Foreman (20851490),Patrick Taylor (20851748),Odell Beckham Jr. (20851812),Chase Claypool (20851836),Cooper Kupp (20851772),Cole Kmet (20852296),Eli Mitchell (20851478),Patriots (20852571),,RB,Najee Harris (20851452),Najee Harris,20851452,RB/FLEX,7200,PIT@BAL 01/09/2022 01:00PM ET,PIT,18.95
3072178402,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Russell Wilson (20851356),Devin Singletary (20851476),Patrick Taylor (20851748),A.J. Green (20851826),Justin Jefferson (20851780),DK Metcalf (20851792),Gerald Everett (20852290),Sony Michel (20851480),Patriots (20852571),,QB,Joe Burrow (20851353),Joe Burrow,20851353,QB,7200,CIN@CLE 01/09/2022 01:00PM ET,CIN,21.76
3072178403,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Tom Brady (20851351),David Montgomery (20851460),Patrick Taylor (20851748),Robby Anderson (20851870),A.J. Brown (20851790),Mike Evans (20851788),Cameron Brate (20852310),James Conner (20851468),Bills (20852570),,WR,Tee Higgins (20851786),Tee Higgins,20851786,WR/FLEX,7200,CIN@CLE 01/09/2022 01:00PM ET,CIN,16.58
3072178404,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Tom Brady (20851351),James Conner (20851468),Najee Harris (20851452),Mike Evans (20851788),Tyler Johnson (20851884),DJ Moore (20851814),Cole Kmet (20852296),Devin Singletary (20851476),Jaguars (20852593),,WR,Mike Evans (20851788),Mike Evans,20851788,WR/FLEX,7100,CAR@TB 01/09/2022 04:25PM ET,TB,16.11
3072178405,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jordan Love (20851365),James Conner (20851468),Najee Harris (20851452),Justin Jefferson (20851780),Amon-Ra St. Brown (20851794),Equanimeous St. Brown (20852244),Josiah Deguara (20852318),Sony Michel (20851480),Buccaneers (20852568),,RB,Derrick Henry (20851456),Derrick Henry,20851456,RB/FLEX,7100,TEN@HOU 01/09/2022 01:00PM ET,TEN,26.04
3072178406,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),James Conner (20851468),David Montgomery (20851460),Ray-Ray McCloud III (20851908),Deebo Samuel (20851776),Juwann Winfree (20852246),George Kittle (20852270),Sony Michel (20851480),Saints (20852573),,RB,Joe Mixon (20851454),Joe Mixon,20851454,RB/FLEX,7100,CIN@CLE 01/09/2022 01:00PM ET,CIN,18.62
3072178407,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jimmy Garoppolo (20851363),Dalvin Cook (20851448),Najee Harris (20851452),Brandon Aiyuk (20851816),Van Jefferson (20851834),Juwann Winfree (20852246),George Kittle (20852270),James Conner (20851468),Giants (20852583),,WR,A.J. Brown (20851790),A.J. Brown,20851790,WR/FLEX,7000,TEN@HOU 01/09/2022 01:00PM ET,TEN,14.42
3072178408,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Tom Brady (20851351),Najee Harris (20851452),David Montgomery (20851460),Cyril Grayson (20851876),DJ Moore (20851814),Equanimeous St. Brown (20852244),Rob Gronkowski (20852272),James Conner (20851468),Bears (20852585),,QB,Lamar Jackson (20851354),Lamar Jackson,20851354,QB,7000,PIT@BAL 01/09/2022 01:00PM ET,BAL,22.33
3072178409,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Tom Brady (20851351),D'Onta Foreman (20851490),Devin Singletary (20851476),Robby Anderson (20851870),Mike Evans (20851788),Equanimeous St. Brown (20852244),Rob Gronkowski (20852272),James Conner (20851468),Patriots (20852571),,RB,Alexander Mattison (20851458),Alexander Mattison,20851458,RB/FLEX,6900,CHI@MIN 01/09/2022 01:00PM ET,MIN,8.65
3072178410,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),Najee Harris (20851452),David Montgomery (20851460),Brandon Aiyuk (20851816),Van Jefferson (20851834),Josh Reynolds (20851880),Tyler Higbee (20852288),James Conner (20851468),Buccaneers (20852568),,WR,DK Metcalf (20851792),DK Metcalf,20851792,WR/FLEX,6900,SEA@ARI 01/09/2022 04:25PM ET,SEA,14.78
3072178411,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Sam Darnold (20851383),James Conner (20851468),David Montgomery (20851460),Robby Anderson (20851870),DJ Moore (20851814),Michael Pittman Jr. (20851806),Rob Gronkowski (20852272),Sony Michel (20851480),Saints (20852573),,WR,Amon-Ra St. Brown (20851794),Amon-Ra St. Brown,20851794,WR/FLEX,6800,GB@DET 01/09/2022 01:00PM ET,DET,12.76
3072178412,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),James Conner (20851468),D'Andre Swift (20851484),Van Jefferson (20851834),Cooper Kupp (20851772),Equanimeous St. Brown (20852244),Cole Kmet (20852296),Eli Mitchell (20851478),Colts (20852569),,RB,David Montgomery (20851460),David Montgomery,20851460,RB/FLEX,6800,CHI@MIN 01/09/2022 01:00PM ET,CHI,16.09
3072178413,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),James Conner (20851468),D'Onta Foreman (20851490),Van Jefferson (20851834),Deebo Samuel (20851776),Equanimeous St. Brown (20852244),Rob Gronkowski (20852272),Sony Michel (20851480),Jaguars (20852593),,RB,Damien Harris (20851462),Damien Harris,20851462,RB/FLEX,6700,NE@MIA 01/09/2022 04:25PM ET,NE,14.99
3072178414,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),David Montgomery (20851460),Dare Ogunbowale (20851510),Odell Beckham Jr. (20851812),Deebo Samuel (20851776),Juwann Winfree (20852246),Tyler Higbee (20852288),James Conner (20851468),Bills (20852570),,QB,Matthew Stafford (20851355),Matthew Stafford,20851355,QB,6700,SF@LAR 01/09/2022 04:25PM ET,LAR,21.89
3072178415,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Ryan Tannehill (20851359),James Conner (20851468),Najee Harris (20851452),A.J. Brown (20851790),Julio Jones (20851838),Amon-Ra St. Brown (20851794),Brevin Jordan (20852334),Sony Michel (20851480),Bengals (20852579),,TE,George Kittle (20852270),George Kittle,20852270,TE/FLEX,6700,SF@LAR 01/09/2022 04:25PM ET,SF,15.54
3072178416,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Russell Wilson (20851356),D'Onta Foreman (20851490),David Montgomery (20851460),A.J. Green (20851826),Tyler Lockett (20851796),DK Metcalf (20851792),Hunter Henry (20852286),Sony Michel (20851480),Panthers (20852589),,RB,Rashaad Penny (20851464),Rashaad Penny,20851464,RB/FLEX,6500,SEA@ARI 01/09/2022 04:25PM ET,SEA,11.74
3072178417,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jordan Love (20851365),Dalvin Cook (20851448),Najee Harris (20851452),Cooper Kupp (20851772),Josh Reynolds (20851880),Juwann Winfree (20852246),Josiah Deguara (20852318),James Conner (20851468),Titans (20852574),,RB,Cordarrelle Patterson (20851466),Cordarrelle Patterson,20851466,RB/FLEX,6400,NO@ATL 01/09/2022 04:25PM ET,ATL,15.89
3072178418,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),James Conner (20851468),Dare Ogunbowale (20851510),Brandon Aiyuk (20851816),Cooper Kupp (20851772),Juwann Winfree (20852246),Cole Kmet (20852296),Sony Michel (20851480),Buccaneers (20852568),,WR,Tyler Lockett (20851796),Tyler Lockett,20851796,WR/FLEX,6400,SEA@ARI 01/09/2022 04:25PM ET,SEA,15.29
3072178419,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Tom Brady (20851351),James Conner (20851468),Najee Harris (20851452),Robby Anderson (20851870),Tyler Johnson (20851884),Josh Reynolds (20851880),Rob Gronkowski (20852272),Sony Michel (20851480),Bills (20852570),,TE,Rob Gronkowski (20852272),Rob Gronkowski,20852272,TE/FLEX,6300,CAR@TB 01/09/2022 04:25PM ET,TB,14.23
3072178420,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jordan Love (20851365),James Conner (20851468),David Montgomery (20851460),Deebo Samuel (20851776),Amon-Ra St. Brown (20851794),Juwann Winfree (20852246),Josiah Deguara (20852318),Devin Singletary (20851476),Colts (20852569),,WR,Jaylen Waddle (20851798),Jaylen Waddle,20851798,WR/FLEX,6300,NE@MIA 01/09/2022 04:25PM ET,MIA,15.74
3072178421,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),James Conner (20851468),Devin Singletary (20851476),Odell Beckham Jr. (20851812),Ray-Ray McCloud III (20851908),Deebo Samuel (20851776),Hunter Henry (20852286),Sony Michel (20851480),Vikings (20852580),,WR,Brandin Cooks (20851800),Brandin Cooks,20851800,WR/FLEX,6300,TEN@HOU 01/09/2022 01:00PM ET,HOU,15.88
3072178422,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Jared Goff (20851367),James Conner (20851468),David Montgomery (20851460),Josh Reynolds (20851880),Amon-Ra St. Brown (20851794),Equanimeous St. Brown (20852244),Mark Andrews (20852268),Sony Michel (20851480),Colts (20852569),,QB,Russell Wilson (20851356),Russell Wilson,20851356,QB,6300,SEA@ARI 01/09/2022 04:25PM ET,SEA,17.45
3072178423,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Russell Wilson (20851356),Najee Harris (20851452),David Montgomery (20851460),Christian Kirk (20851804),DK Metcalf (20851792),Juwann Winfree (20852246),Gerald Everett (20852290),Devin Singletary (20851476),Buccaneers (20852568),,RB,James Conner (20851468),James Conner,20851468,RB/FLEX,6300,SEA@ARI 01/09/2022 04:25PM ET,ARI,16.46
3072178424,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Kirk Cousins (20851358),Najee Harris (20851452),Sony Michel (20851480),Justin Jefferson (20851780),Darnell Mooney (20851808),Equanimeous St. Brown (20852244),Tyler Conklin (20852284),Devin Singletary (20851476),Packers (20852572),,RB,AJ Dillon (20851470),AJ Dillon,20851470,RB/FLEX,6200,GB@DET 01/09/2022 01:00PM ET,GB,11.18
3072178425,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Matthew Stafford (20851355),James Conner (20851468),Najee Harris (20851452),Odell Beckham Jr. (20851812),Darnell Mooney (20851808),Juwann Winfree (20852246),George Kittle (20852270),Sony Michel (20851480),Jaguars (20852593),,WR,Terry McLaurin (20851802),Terry McLaurin,20851802,WR/FLEX,6200,WAS@NYG 01/09/2022 01:00PM ET,WAS,13.26
3072178426,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Tom Brady (20851351),James Conner (20851468),Sony Michel (20851480),A.J. Brown (20851790),DJ Moore (20851814),Breshad Perriman (20851844),Cameron Brate (20852310),Devin Singletary (20851476),Ravens (20852575),,QB,Taysom Hill (20851357),Taysom Hill,20851357,QB,6200,NO@ATL 01/09/2022 04:25PM ET,NO,10.88
3072178427,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Ryan Tannehill (20851359),Najee Harris (20851452),David Montgomery (20851460),Odell Beckham Jr. (20851812),A.J. Brown (20851790),Nico Collins (20851900),Anthony Firkser (20852308),James Conner (20851468),Colts (20852569),,RB,Saquon Barkley (20851474),Saquon Barkley,20851474,RB/FLEX,6100,WAS@NYG 01/09/2022 01:00PM ET,NYG,12.06
3072178428,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Tom Brady (20851351),Dalvin Cook (20851448),D'Onta Foreman (20851490),Tyler Johnson (20851884),DJ Moore (20851814),Juwann Winfree (20852246),Rob Gronkowski (20852272),James Conner (20851468),Saints (20852573),,QB,Kirk Cousins (20851358),Kirk Cousins,20851358,QB,6100,CHI@MIN 01/09/2022 01:00PM ET,MIN,20.36
3072178429,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Russell Wilson (20851356),Sony Michel (20851480),Devin Singletary (20851476),Tyler Lockett (20851796),DK Metcalf (20851792),Equanimeous St. Brown (20852244),Rob Gronkowski (20852272),James Conner (20851468),Falcons (20852582),,RB,Ronald Jones II (20851472),Ronald Jones II,20851472,RB/FLEX,6100,CAR@TB 01/09/2022 04:25PM ET,TB,5.08
3072178430,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Ryan Tannehill (20851359),James Conner (20851468),Najee Harris (20851452),Brandin Cooks (20851800),Julio Jones (20851838),Darnell Mooney (20851808),Anthony Firkser (20852308),Devin Singletary (20851476),Buccaneers (20852568),,QB,Ryan Tannehill (20851359),Ryan Tannehill,20851359,QB,6000,TEN@HOU 01/09/2022 01:00PM ET,TEN,16.57
3072178431,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Ryan Tannehill (20851359),James Conner (20851468),David Montgomery (20851460),A.J. Brown (20851790),Brandin Cooks (20851800),Julio Jones (20851838),Hunter Henry (20852286),Eli Mitchell (20851478),Panthers (20852589),,RB,Devin Singletary (20851476),Devin Singletary,20851476,RB/FLEX,6000,NYJ@BUF 01/09/2022 04:25PM ET,BUF,10.98
3072178432,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Mac Jones (20851370),James Conner (20851468),Najee Harris (20851452),Kendrick Bourne (20851842),Justin Jefferson (20851780),DeVante Parker (20851848),Hunter Henry (20852286),Sony Michel (20851480),WAS Football Team (20852576),,RB,Eli Mitchell (20851478),Eli Mitchell,20851478,RB/FLEX,6000,SF@LAR 01/09/2022 04:25PM ET,SF,17.15
3072178433,NFL $3M Fantasy Football Millionaire [$1M to 1st + ToC Entry],121869398,$20,Sam Darnold (20851383),Najee Harris (20851452),Sony Michel (20851480),Robby Anderson (20851870),Mike Evans (20851788),DJ Moore (20851814),Zach Ertz (20852278),Devin Singletary (20851476),Rams (20852577),,RB,Sony Michel (20851480),Sony Michel,20851480,RB/FLEX,6000,SF@LAR 01/09/2022 04:25PM ET,LAR,9.21
