Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2222899495,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Aaron Jones (15355604) (LOCKED),DJ Chark Jr. (15355866) (LOCKED),Corey Davis (15355960) (LOCKED),Diontae Johnson (15355932) (LOCKED),Jonnu Smith (15356204) (LOCKED),Kenyan Drake (15355616),Bills (15356387) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2222899496,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Parris Campbell (15355930) (LOCKED),Jalen Reagor (15355956) (LOCKED),Robert Woods (15355852) (LOCKED),Tyler Higbee (15356194) (LOCKED),Kenyan Drake (15355616),Broncos (15356402) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2222899497,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Aaron Jones (15355604) (LOCKED),Parris Campbell (15355930) (LOCKED),Corey Davis (15355960) (LOCKED),Adam Thielen (15355836) (LOCKED),Tyler Eifert (15356248) (LOCKED),Derrick Henry (15355598) (LOCKED),Panthers (15356407) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2222899498,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),DJ Chark Jr. (15355866) (LOCKED),Corey Davis (15355960) (LOCKED),T.Y. Hilton (15355876) (LOCKED),Jordan Reed (15356288) (LOCKED),David Johnson (15355618),Bears (15356389) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2222899499,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Diontae Johnson (15355932) (LOCKED),Sammy Watkins (15355910),Mike Williams (15355946),Hunter Henry (15356190),Aaron Jones (15355604) (LOCKED),Rams (15356398) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2222899500,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Marvin Jones Jr. (15355880) (LOCKED),Allen Lazard (15355890) (LOCKED),Marquez Valdes-Scantling (15355926) (LOCKED),Chris Herndon (15356226) (LOCKED),Kenyan Drake (15355616),Chargers (15356410),,
2222899501,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),DeSean Jackson (15355896) (LOCKED),Van Jefferson Jr. (15356144) (LOCKED),Diontae Johnson (15355932) (LOCKED),Tyler Higbee (15356194) (LOCKED),Aaron Jones (15355604) (LOCKED),Bears (15356389) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2222899512,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),DeSean Jackson (15355896) (LOCKED),Cooper Kupp (15355842) (LOCKED),Robert Woods (15355852) (LOCKED),Jordan Reed (15356288) (LOCKED),Nyheim Hines (15355628) (LOCKED),Chargers (15356410),,WR,Julio Jones (15355834) (LOCKED),Julio Jones,15355834,WR/FLEX,7400,In Progress,ATL,27.7
2222899513,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Aaron Jones (15355604) (LOCKED),Braxton Berrios (15356168) (LOCKED),T.Y. Hilton (15355876) (LOCKED),Laviska Shenault Jr. (15355948) (LOCKED),Jonnu Smith (15356204) (LOCKED),Derrick Henry (15355598) (LOCKED),Steelers (15356388) (LOCKED),,RB,Clyde Edwards-Helaire (15355602),Clyde Edwards-Helaire,15355602,RB/FLEX,7400,KC@LAC 09/20/2020 04:25PM ET,KC,22.8
2222899514,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Keenan Allen (15355878),Parris Campbell (15355930) (LOCKED),Demarcus Robinson (15356000),Hunter Henry (15356190),David Johnson (15355618),49ers (15356386) (LOCKED),,WR,Adam Thielen (15355836) (LOCKED),Adam Thielen,15355836,WR/FLEX,7200,In Progress,MIN,34
2222899515,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Kirk Cousins (15355536) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Parris Campbell (15355930) (LOCKED),Diontae Johnson (15355932) (LOCKED),Adam Thielen (15355836) (LOCKED),Kyle Rudolph (15356222) (LOCKED),David Johnson (15355618),Giants (15356404) (LOCKED),,RB,Aaron Jones (15355604) (LOCKED),Aaron Jones,15355604,RB/FLEX,7100,In Progress,GB,17.6
2222899516,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Saquon Barkley (15355594) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Davante Adams (15355828) (LOCKED),Corey Davis (15355960) (LOCKED),Adam Humphries (15356020) (LOCKED),Tyler Eifert (15356248) (LOCKED),Kenyan Drake (15355616),Cardinals (15356396),,WR,Chris Godwin (15355838) (LOCKED),Chris Godwin,15355838,WR/FLEX,7000,In Progress,TB,13.9
2222899517,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Mitchell Trubisky (15355544) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Darnell Mooney (15356158) (LOCKED),Allen Robinson II (15355850) (LOCKED),Darius Slayton (15355900) (LOCKED),Chris Herndon (15356226) (LOCKED),Aaron Jones (15355604) (LOCKED),Titans (15356391) (LOCKED),,TE,Travis Kelce (15356178),Travis Kelce,15356178,TE/FLEX,7000,KC@LAC 09/20/2020 04:25PM ET,KC,17
2222899518,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Carson Wentz (15355535) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Aaron Jones (15355604) (LOCKED),DeSean Jackson (15355896) (LOCKED),Jalen Reagor (15355956) (LOCKED),Robert Woods (15355852) (LOCKED),Chris Herndon (15356226) (LOCKED),Kenyan Drake (15355616),Steelers (15356388) (LOCKED),,QB,Aaron Rodgers (15355526) (LOCKED),Aaron Rodgers,15355526,QB,6900,In Progress,GB,33.76
2222899519,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Philip Rivers (15355537) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),T.Y. Hilton (15355876) (LOCKED),Michael Pittman Jr. (15355998) (LOCKED),Allen Robinson II (15355850) (LOCKED),Kyle Rudolph (15356222) (LOCKED),Kenyan Drake (15355616),Cardinals (15356396),,RB,James Conner (15355606) (LOCKED),James Conner,15355606,RB/FLEX,6800,In Progress,PIT,3.7
2222899520,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Matthew Stafford (15355533) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Nyheim Hines (15355628) (LOCKED),Davante Adams (15355828) (LOCKED),Quintez Cephus (15355974) (LOCKED),Marvin Jones Jr. (15355880) (LOCKED),Chris Herndon (15356226) (LOCKED),Kenyan Drake (15355616),Chiefs (15356392),,QB,Dak Prescott (15355527) (LOCKED),Dak Prescott,15355527,QB,6800,In Progress,DAL,17.64
2222899521,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),DJ Chark Jr. (15355866) (LOCKED),Adam Humphries (15356020) (LOCKED),Adam Thielen (15355836) (LOCKED),Chris Herndon (15356226) (LOCKED),Kenyan Drake (15355616),Jets (15356411) (LOCKED),,WR,Calvin Ridley (15355840) (LOCKED),Calvin Ridley,15355840,WR/FLEX,6800,In Progress,ATL,36.9
2222899522,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541) (LOCKED),Kenyan Drake (15355616),Ezekiel Elliott (15355596) (LOCKED),Corey Davis (15355960) (LOCKED),Diontae Johnson (15355932) (LOCKED),Robert Woods (15355852) (LOCKED),Dallas Goedert (15356192) (LOCKED),Cooper Kupp (15355842) (LOCKED),Titans (15356391) (LOCKED),,TE,George Kittle (15356180) (LOCKED),George Kittle,15356180,TE/FLEX,6700,In Progress,SF,9.3
2222899523,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Carson Wentz (15355535) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Diontae Johnson (15355932) (LOCKED),Jalen Reagor (15355956) (LOCKED),Robert Woods (15355852) (LOCKED),Dallas Goedert (15356192) (LOCKED),David Johnson (15355618),Dolphins (15356409) (LOCKED),,WR,Cooper Kupp (15355842) (LOCKED),Cooper Kupp,15355842,WR/FLEX,6700,In Progress,LAR,8
2222899524,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Philip Rivers (15355537) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Aaron Jones (15355604) (LOCKED),Parris Campbell (15355930) (LOCKED),T.Y. Hilton (15355876) (LOCKED),Adam Thielen (15355836) (LOCKED),Jordan Reed (15356288) (LOCKED),Kenyan Drake (15355616),Buccaneers (15356397) (LOCKED),,QB,Josh Allen (15355528) (LOCKED),Josh Allen,15355528,QB,6700,In Progress,BUF,33.18
2222899525,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tom Brady (15355530) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Robby Anderson (15355892) (LOCKED),Diontae Johnson (15355932) (LOCKED),Scotty Miller (15355958) (LOCKED),Rob Gronkowski (15356206) (LOCKED),Aaron Jones (15355604) (LOCKED),Giants (15356404) (LOCKED),,QB,Matt Ryan (15355529) (LOCKED),Matt Ryan,15355529,QB,6600,In Progress,ATL,27.9
2222899526,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Aaron Jones (15355604) (LOCKED),Keelan Cole (15355942) (LOCKED),Diontae Johnson (15355932) (LOCKED),Kalif Raymond (15356136) (LOCKED),Zach Ertz (15356184) (LOCKED),Derrick Henry (15355598) (LOCKED),Chiefs (15356392),,QB,Tom Brady (15355530) (LOCKED),Tom Brady,15355530,QB,6500,In Progress,TB,22.46
2222899527,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Kenyan Drake (15355616),Ezekiel Elliott (15355596) (LOCKED),Parris Campbell (15355930) (LOCKED),Diontae Johnson (15355932) (LOCKED),Mike Williams (15355946),Travis Kelce (15356178),Austin Ekeler (15355608),Bills (15356387) (LOCKED),,WR,JuJu Smith-Schuster (15355846) (LOCKED),JuJu Smith-Schuster,15355846,WR/FLEX,6500,In Progress,PIT,24.9
2222899528,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Davante Adams (15355828) (LOCKED),Braxton Berrios (15356168) (LOCKED),Darnell Mooney (15356158) (LOCKED),T.J. Hockenson (15356188) (LOCKED),Marquez Valdes-Scantling (15355926) (LOCKED),Cardinals (15356396),,WR,Stefon Diggs (15355844) (LOCKED),Stefon Diggs,15355844,WR/FLEX,6500,In Progress,BUF,16.6
2222899529,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Clyde Edwards-Helaire (15355602),Ezekiel Elliott (15355596) (LOCKED),Keelan Cole (15355942) (LOCKED),Corey Davis (15355960) (LOCKED),Robert Woods (15355852) (LOCKED),Jonnu Smith (15356204) (LOCKED),David Johnson (15355618),Steelers (15356388) (LOCKED),,RB,Austin Ekeler (15355608),Austin Ekeler,15355608,RB/FLEX,6500,KC@LAC 09/20/2020 04:25PM ET,LAC,9.7
2222899530,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Miles Sanders (15355614) (LOCKED),Davante Adams (15355828) (LOCKED),Corey Davis (15355960) (LOCKED),Laviska Shenault Jr. (15355948) (LOCKED),Jonnu Smith (15356204) (LOCKED),Nyheim Hines (15355628) (LOCKED),49ers (15356386) (LOCKED),,RB,Raheem Mostert (15355610) (LOCKED),Raheem Mostert,15355610,RB/FLEX,6400,In Progress,SF,25.1
2222899531,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Kirk Cousins (15355536) (LOCKED),Dalvin Cook (15355600) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Corey Davis (15355960) (LOCKED),Diontae Johnson (15355932) (LOCKED),Adam Thielen (15355836) (LOCKED),Mo Alie-Cox (15356244) (LOCKED),Kenyan Drake (15355616),Bears (15356389) (LOCKED),,WR,Allen Robinson II (15355850) (LOCKED),Allen Robinson II,15355850,WR/FLEX,6400,In Progress,CHI,12.3
2222899532,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Philip Rivers (15355537) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Parris Campbell (15355930) (LOCKED),T.Y. Hilton (15355876) (LOCKED),Robert Woods (15355852) (LOCKED),Irv Smith Jr. (15356252) (LOCKED),David Johnson (15355618),Cowboys (15356399) (LOCKED),,WR,Robert Woods (15355852) (LOCKED),Robert Woods,15355852,WR/FLEX,6400,In Progress,LAR,20.9
2222899533,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Kirk Cousins (15355536) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Olabisi Johnson (15355966) (LOCKED),Michael Pittman Jr. (15355998) (LOCKED),Adam Thielen (15355836) (LOCKED),Chris Herndon (15356226) (LOCKED),Aaron Jones (15355604) (LOCKED),Buccaneers (15356397) (LOCKED),,WR,Mike Evans (15355848) (LOCKED),Mike Evans,15355848,WR/FLEX,6400,In Progress,TB,7.2
2222899534,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Jonathan Taylor (15355620) (LOCKED),Corey Davis (15355960) (LOCKED),DeSean Jackson (15355896) (LOCKED),Robert Woods (15355852) (LOCKED),Tyler Higbee (15356194) (LOCKED),David Johnson (15355618),49ers (15356386) (LOCKED),,QB,Deshaun Watson (15355531),Deshaun Watson,15355531,QB,6400,BAL@HOU 09/20/2020 04:25PM ET,HOU,21.82
2222899535,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Mitchell Trubisky (15355544) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),T.Y. Hilton (15355876) (LOCKED),Anthony Miller (15355894) (LOCKED),Darius Slayton (15355900) (LOCKED),Jimmy Graham (15356212) (LOCKED),Kenyan Drake (15355616),Rams (15356398) (LOCKED),,WR,DJ Moore (15355856) (LOCKED),DJ Moore,15355856,WR/FLEX,6300,In Progress,CAR,9.4
2222899536,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Adam Humphries (15356020) (LOCKED),Diontae Johnson (15355932) (LOCKED),Allen Robinson II (15355850) (LOCKED),Tyler Eifert (15356248) (LOCKED),Clyde Edwards-Helaire (15355602),WAS Football Team (15356395),,QB,Ben Roethlisberger (15355532) (LOCKED),Ben Roethlisberger,15355532,QB,6300,In Progress,PIT,22.06
2222899537,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Van Jefferson Jr. (15356144) (LOCKED),Breshad Perriman (15355972) (LOCKED),Robert Woods (15355852) (LOCKED),Zach Ertz (15356184) (LOCKED),David Johnson (15355618),Titans (15356391) (LOCKED),,WR,Amari Cooper (15355854) (LOCKED),Amari Cooper,15355854,WR/FLEX,6300,In Progress,DAL,18.1
2222899538,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Carson Wentz (15355535) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),T.Y. Hilton (15355876) (LOCKED),DeSean Jackson (15355896) (LOCKED),Jalen Reagor (15355956) (LOCKED),Tyler Higbee (15356194) (LOCKED),Ronald Jones II (15355636) (LOCKED),Cardinals (15356396),,WR,Will Fuller V (15355858),Will Fuller V,15355858,WR/FLEX,6300,BAL@HOU 09/20/2020 04:25PM ET,HOU,22.2
2222899539,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tom Brady (15355530) (LOCKED),Ezekiel Elliott (15355596) (LOCKED),Derrick Henry (15355598) (LOCKED),Mike Evans (15355848) (LOCKED),Diontae Johnson (15355932) (LOCKED),Curtis Samuel (15355922) (LOCKED),O.J. Howard (15356210) (LOCKED),David Johnson (15355618),Lions (15356408) (LOCKED),,TE,Mark Andrews (15356182),Mark Andrews,15356182,TE/FLEX,6300,BAL@HOU 09/20/2020 04:25PM ET,BAL,22.8
