Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
1786163954,Straight Cash Free Contest Series presented by Straight Talk Wireless,82492998,$0,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,1. Column A lists all of your contest entries for this draftgroup
1786163955,AutoNation Free Football Challenge,82493011,$0,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,2. Your current lineup is listed next to each entry (blank for reservations)
1786092077,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
1786092078,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
1786092079,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,5. For faster processing only include entries you are changing in the file you upload
1786092080,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,
1786092081,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1786092096,NFL $1M Champ Series Play-Action [$100K to 1st],82644115,$3,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Kenny Golladay (13932422),Kenny Golladay,13932422,WR/FLEX,7200,TB@DET 12/15/2019 01:00PM ET,DET,17.52
1786091985,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Julian Edelman (13932420),Julian Edelman,13932420,WR/FLEX,7100,NE@CIN 12/15/2019 01:00PM ET,NE,18.74
1786092097,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Patrick Mahomes (13932126),Patrick Mahomes,13932126,QB,7100,DEN@KC 12/15/2019 01:00PM ET,KC,22.80
1786092098,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Russell Wilson (13932127),Russell Wilson,13932127,QB,7000,SEA@CAR 12/15/2019 01:00PM ET,SEA,22.62
1786092099,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Josh Jacobs (13932208),Josh Jacobs,13932208,RB/FLEX,7000,JAX@OAK 12/15/2019 04:05PM ET,OAK,16.22
1786092100,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Julio Jones (13932424),Julio Jones,13932424,WR/FLEX,7000,ATL@SF 12/15/2019 04:25PM ET,ATL,17.19
1786092101,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Tyler Lockett (13932426),Tyler Lockett,13932426,WR/FLEX,6900,SEA@CAR 12/15/2019 01:00PM ET,SEA,15.3
1786092102,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Jameis Winston (13932128),Jameis Winston,13932128,QB,6900,TB@DET 12/15/2019 01:00PM ET,TB,23.24
1786092103,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Mike Evans (13932428),Mike Evans,13932428,WR/FLEX,6800,TB@DET 12/15/2019 01:00PM ET,TB,18.59
1786092104,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Allen Robinson II (13932430),Allen Robinson II,13932430,WR/FLEX,6800,CHI@GB 12/15/2019 01:00PM ET,CHI,16.45
1786092105,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Deshaun Watson (13932129),Deshaun Watson,13932129,QB,6800,HOU@TEN 12/15/2019 01:00PM ET,HOU,24.31
1786092106,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Jarvis Landry (13932432),Jarvis Landry,13932432,WR/FLEX,6700,CLE@ARI 12/15/2019 04:05PM ET,CLE,15.81
1786092107,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Austin Ekeler (13932210),Austin Ekeler,13932210,RB/FLEX,6700,MIN@LAC 12/15/2019 04:05PM ET,LAC,21.55
1786092108,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,DJ Moore (13932434),DJ Moore,13932434,WR/FLEX,6600,SEA@CAR 12/15/2019 01:00PM ET,CAR,16.85
1786092109,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Emmanuel Sanders (13932436),Emmanuel Sanders,13932436,WR/FLEX,6600,ATL@SF 12/15/2019 04:25PM ET,SF,12.99
1786092110,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,TE,Travis Kelce (13932722),Travis Kelce,13932722,TE/FLEX,6500,DEN@KC 12/15/2019 01:00PM ET,KC,15.87
1786092111,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Ryan Tannehill (13932130),Ryan Tannehill,13932130,QB,6500,HOU@TEN 12/15/2019 01:00PM ET,TEN,19.49
1786092112,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Cooper Kupp (13932438),Cooper Kupp,13932438,WR/FLEX,6500,LAR@DAL 12/15/2019 04:25PM ET,LAR,17.95
1786092113,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Amari Cooper (13932440),Amari Cooper,13932440,WR/FLEX,6500,LAR@DAL 12/15/2019 04:25PM ET,DAL,18.11
1786092114,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Melvin Gordon III (13932212),Melvin Gordon III,13932212,RB/FLEX,6500,MIN@LAC 12/15/2019 04:05PM ET,LAC,14.5
1786092115,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,DeVante Parker (13932442),DeVante Parker,13932442,WR/FLEX,6400,MIA@NYG 12/15/2019 01:00PM ET,MIA,14.25
1786092116,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Baker Mayfield (13932131),Baker Mayfield,13932131,QB,6400,CLE@ARI 12/15/2019 04:05PM ET,CLE,15.77
1786092117,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Odell Beckham Jr. (13932446),Odell Beckham Jr.,13932446,WR/FLEX,6400,CLE@ARI 12/15/2019 04:05PM ET,CLE,12.48
1786092118,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Aaron Rodgers (13932133),Aaron Rodgers,13932133,QB,6300,CHI@GB 12/15/2019 01:00PM ET,GB,19.35
1786092119,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Kareem Hunt (13932214),Kareem Hunt,13932214,RB/FLEX,6300,CLE@ARI 12/15/2019 04:05PM ET,CLE,14.22
1786092120,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Dak Prescott (13932132),Dak Prescott,13932132,QB,6300,LAR@DAL 12/15/2019 04:25PM ET,DAL,23.78
1786092121,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Keenan Allen (13932444),Keenan Allen,13932444,WR/FLEX,6300,MIN@LAC 12/15/2019 04:05PM ET,LAC,16.45
1786092122,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Adam Thielen (13932448),Adam Thielen,13932448,WR/FLEX,6300,MIN@LAC 12/15/2019 04:05PM ET,MIN,13.9
1786092123,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Ryan Fitzpatrick (13932134),Ryan Fitzpatrick,13932134,QB,6200,MIA@NYG 12/15/2019 01:00PM ET,MIA,15.34
1786092124,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Carson Wentz (13932135),Carson Wentz,13932135,QB,6200,PHI@WAS 12/15/2019 01:00PM ET,PHI,18.72
1786092125,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,DJ Chark Jr. (13932450),DJ Chark Jr.,13932450,WR/FLEX,6200,JAX@OAK 12/15/2019 04:05PM ET,JAX,17.2
1786092126,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,Robert Woods (13932454),Robert Woods,13932454,WR/FLEX,6200,LAR@DAL 12/15/2019 04:25PM ET,LAR,16.02
1786092127,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,TE,George Kittle (13932724),George Kittle,13932724,TE/FLEX,6200,ATL@SF 12/15/2019 04:25PM ET,SF,15.17
1786092128,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,WR,DK Metcalf (13932456),DK Metcalf,13932456,WR/FLEX,6100,SEA@CAR 12/15/2019 01:00PM ET,SEA,12.42
1786092129,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,RB,Joe Mixon (13932216),Joe Mixon,13932216,RB/FLEX,6100,NE@CIN 12/15/2019 01:00PM ET,CIN,13.3
1786092130,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Jared Goff (13932137),Jared Goff,13932137,QB,6100,LAR@DAL 12/15/2019 04:25PM ET,LAR,16.59
1786092131,NFL $2.75M Champ Series Millionaire [$1M to 1st],82644117,$20,Patrick Mahomes (13932126),Austin Ekeler (13932210),Christian McCaffrey (13932190),Kendrick Bourne (13932524),Tyreek Hill (13932416),John Ross III (13932528),Jeff Heuerman (13932798),Phillip Lindsay (13932222),Panthers (13932935),,QB,Jimmy Garoppolo (13932136),Jimmy Garoppolo,13932136,QB,6100,ATL@SF 12/15/2019 04:25PM ET,SF,18.27
