Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
1679230073,JAMESON $20K NFL FREE Contest Series ,78775214,$0,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,1. Column A lists all of your contest entries for this draftgroup
1679230245,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,2. Your current lineup is listed next to each entry (blank for reservations)
1679230246,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
1679230247,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
1679230248,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,5. For faster processing only include entries you are changing in the file you upload
1679230249,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,
1679230250,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1679230261,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Deshaun Watson (13605604),Deshaun Watson,13605604,QB,7100,OAK@HOU 10/27/2019 04:25PM ET,HOU,26.24
1679230262,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Chris Godwin (13605884),Chris Godwin,13605884,WR/FLEX,7100,TB@TEN 10/27/2019 01:00PM ET,TB,26.2
1679230263,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Chris Carson (13605674),Chris Carson,13605674,RB/FLEX,7000,SEA@ATL 10/27/2019 01:00PM ET,SEA,17.69
1679230264,NFL $200K First Down [20 Entry Max],78858786,$1,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Tyler Lockett (13605886),Tyler Lockett,13605886,WR/FLEX,7000,SEA@ATL 10/27/2019 01:00PM ET,SEA,16.81
1679230075,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Le'Veon Bell (13605676),Le'Veon Bell,13605676,RB/FLEX,6900,NYJ@JAX 10/27/2019 01:00PM ET,NYJ,15.35
1679230076,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Julian Edelman (13605888),Julian Edelman,13605888,WR/FLEX,6900,CLE@NE 10/27/2019 04:25PM ET,NE,16.68
1679230077,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Jared Goff (13605605),Jared Goff,13605605,QB,6800,CIN@LAR 10/27/2019 01:00PM ET,LAR,17.77
1679230078,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Mike Evans (13605890),Mike Evans,13605890,WR/FLEX,6600,TB@TEN 10/27/2019 01:00PM ET,TB,17.07
1679230079,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Tom Brady (13605606),Tom Brady,13605606,QB,6600,CLE@NE 10/27/2019 04:25PM ET,NE,21.28
1679230080,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Nick Chubb (13605678),Nick Chubb,13605678,RB/FLEX,6600,CLE@NE 10/27/2019 04:25PM ET,CLE,22.42
1679230081,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Josh Allen (13605607),Josh Allen,13605607,QB,6500,PHI@BUF 10/27/2019 01:00PM ET,BUF,18.83
1679230082,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,TE,George Kittle (13606166),George Kittle,13606166,TE/FLEX,6500,CAR@SF 10/27/2019 04:05PM ET,SF,13.73
1679230083,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Odell Beckham Jr. (13605892),Odell Beckham Jr.,13605892,WR/FLEX,6500,CLE@NE 10/27/2019 04:25PM ET,CLE,14.32
1679230084,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Keenan Allen (13605896),Keenan Allen,13605896,WR/FLEX,6400,LAC@CHI 10/27/2019 01:00PM ET,LAC,17.81
1679230085,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Kenny Golladay (13605894),Kenny Golladay,13605894,WR/FLEX,6400,NYG@DET 10/27/2019 01:00PM ET,DET,15.58
1679230086,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,David Johnson (13605680),David Johnson,13605680,RB/FLEX,6400,ARI@NO 10/27/2019 01:00PM ET,ARI,17.36
1679230087,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Robert Woods (13605898),Robert Woods,13605898,WR/FLEX,6300,CIN@LAR 10/27/2019 01:00PM ET,LAR,13.57
1679230088,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Drew Brees (13605608),Drew Brees,13605608,QB,6300,ARI@NO 10/27/2019 01:00PM ET,NO,12.66
1679230089,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Will Fuller V (13605900),Will Fuller V,13605900,WR/FLEX,6200,OAK@HOU 10/27/2019 04:25PM ET,HOU,14.29
1679230090,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Kyler Murray (13605609),Kyler Murray,13605609,QB,6200,ARI@NO 10/27/2019 01:00PM ET,ARI,20.90
1679230091,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Chase Edmonds (13605682),Chase Edmonds,13605682,RB/FLEX,6200,ARI@NO 10/27/2019 01:00PM ET,ARI,11.67
1679230092,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Matthew Stafford (13605610),Matthew Stafford,13605610,QB,6100,NYG@DET 10/27/2019 01:00PM ET,DET,21.56
1679230093,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Marlon Mack (13605684),Marlon Mack,13605684,RB/FLEX,6100,DEN@IND 10/27/2019 01:00PM ET,IND,14.47
1679230094,NFL $1.3M Play-Action [$100K to 1st 20 Entry Max],78858788,$3,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,T.Y. Hilton (13605902),T.Y. Hilton,13605902,WR/FLEX,6100,DEN@IND 10/27/2019 01:00PM ET,IND,18.12
1679229770,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Matt Ryan (13605611),Matt Ryan,13605611,QB,6000,SEA@ATL 10/27/2019 01:00PM ET,ATL,24.17
1679229771,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Allen Robinson II (13605906),Allen Robinson II,13605906,WR/FLEX,6000,LAC@CHI 10/27/2019 01:00PM ET,CHI,18.07
1679229772,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,DJ Chark Jr. (13605904),DJ Chark Jr.,13605904,WR/FLEX,6000,NYJ@JAX 10/27/2019 01:00PM ET,JAX,18.44
1679229773,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Derrick Henry (13605686),Derrick Henry,13605686,RB/FLEX,6000,TB@TEN 10/27/2019 01:00PM ET,TEN,15.51
1679229774,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,John Brown (13605908),John Brown,13605908,WR/FLEX,5900,PHI@BUF 10/27/2019 01:00PM ET,BUF,15.95
1679229775,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Austin Ekeler (13605688),Austin Ekeler,13605688,RB/FLEX,5900,LAC@CHI 10/27/2019 01:00PM ET,LAC,23.66
1679229776,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,TE,Darren Waller (13606168),Darren Waller,13606168,TE/FLEX,5900,OAK@HOU 10/27/2019 04:25PM ET,OAK,18.53
1679229777,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,A.J. Green (13605910),A.J. Green,13605910,WR/FLEX,5900,CIN@LAR 10/27/2019 01:00PM ET,CIN,0
1679229778,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Teddy Bridgewater (13605613),Teddy Bridgewater,13605613,QB,5900,ARI@NO 10/27/2019 01:00PM ET,NO,15.95
1679229779,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Jameis Winston (13605612),Jameis Winston,13605612,QB,5900,TB@TEN 10/27/2019 01:00PM ET,TB,20.77
1679229780,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Daniel Jones (13605614),Daniel Jones,13605614,QB,5800,NYG@DET 10/27/2019 01:00PM ET,NYG,14.48
1679229781,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Marvin Jones Jr. (13605912),Marvin Jones Jr.,13605912,WR/FLEX,5800,NYG@DET 10/27/2019 01:00PM ET,DET,17.02
1679229782,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Golden Tate (13605914),Golden Tate,13605914,WR/FLEX,5800,NYG@DET 10/27/2019 01:00PM ET,NYG,14.5
1679229783,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Josh Jacobs (13605692),Josh Jacobs,13605692,RB/FLEX,5800,OAK@HOU 10/27/2019 04:25PM ET,OAK,17.18
1679229784,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Latavius Murray (13605690),Latavius Murray,13605690,RB/FLEX,5800,ARI@NO 10/27/2019 01:00PM ET,NO,10.07
1679229785,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,RB,Kerryon Johnson (13605694),Kerryon Johnson,13605694,RB/FLEX,5700,NYG@DET 10/27/2019 01:00PM ET,DET,12.07
1679229786,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Brandin Cooks (13605916),Brandin Cooks,13605916,WR/FLEX,5700,CIN@LAR 10/27/2019 01:00PM ET,LAR,11.61
1679229787,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Jimmy Garoppolo (13605615),Jimmy Garoppolo,13605615,QB,5700,CAR@SF 10/27/2019 04:05PM ET,SF,13.93
1679229788,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,WR,Calvin Ridley (13605918),Calvin Ridley,13605918,WR/FLEX,5600,SEA@ATL 10/27/2019 01:00PM ET,ATL,13.33
1679229789,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],78858791,$20,Russell Wilson (13605603),Chase Edmonds (13605682),Phillip Lindsay (13605696),Julio Jones (13605880),Tyler Lockett (13605886),Calvin Ridley (13605918),Luke Willson (13606208),John Brown (13605908),Cardinals (13606364),,QB,Carson Wentz (13605616),Carson Wentz,13605616,QB,5600,PHI@BUF 10/27/2019 01:00PM ET,PHI,19.34
