Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2380131803,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),Nyheim Hines (15819886),Nelson Agholor (15820116),Denzel Mims (15820174),Calvin Ridley (15820060),Darren Waller (15820354),Wayne Gallman Jr. (15819876),Rams (15820542),,1. Column A lists all of your contest entries for this draftgroup
2380131804,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Nyheim Hines (15819886),James Robinson (15819838),Mike Evans (15820074),Tyreek Hill (15820054),Denzel Mims (15820174),Travis Kelce (15820352),Brian Hill (15819990),Bills (15820549),,2. Your current lineup is listed next to each entry (blank for reservations)
2380131805,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Josh Allen (15819765),Dalvin Cook (15819822),Nyheim Hines (15819886),Cole Beasley (15820090),Stefon Diggs (15820056),Denzel Mims (15820174),Hunter Henry (15820358),Brian Hill (15819990),Cardinals (15820546),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2380131806,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777),Dalvin Cook (15819822),Brian Hill (15819990),A.J. Brown (15820064),Corey Davis (15820118),Denzel Mims (15820174),Travis Kelce (15820352),Nyheim Hines (15819886),Saints (15820541),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2380131807,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Daniel Jones (15819782),Dalvin Cook (15819822),Nyheim Hines (15819886),Tyler Boyd (15820108),Sterling Shepard (15820104),Darius Slayton (15820114),Travis Kelce (15820352),Brian Hill (15819990),Dolphins (15820540),,5. For faster processing only include entries you are changing in the file you upload
2380131808,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Dalvin Cook (15819822),Wayne Gallman Jr. (15819876),Antonio Brown (15820086),Mecole Hardman (15820144),Denzel Mims (15820174),Travis Kelce (15820352),Brian Hill (15819990),Browns (15820544),,
2380131809,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Dalvin Cook (15819822),Nyheim Hines (15819886),Keelan Cole Sr. (15820166),Mecole Hardman (15820144),Tyreek Hill (15820054),Rob Gronkowski (15820362),Brian Hill (15819990),Saints (15820541),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2380131820,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Nick Chubb (15819832),Dalvin Cook (15819822),Nelson Agholor (15820116),Henry Ruggs III (15820138),Robert Woods (15820084),Hayden Hurst (15820370),Nyheim Hines (15819886),Dolphins (15820540),,WR,Stefon Diggs (15820056),Stefon Diggs,15820056,WR/FLEX,7600,LAC@BUF 11/29/2020 01:00PM ET,BUF,19.96
2380131821,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Josh Allen (15819765),Dalvin Cook (15819822),Wayne Gallman Jr. (15819876),Gabriel Davis (15820258),Stefon Diggs (15820056),Jalen Guyton (15820188),Travis Kelce (15820352),Brian Hill (15819990),Giants (15820543),,WR,Michael Thomas (15820058),Michael Thomas,15820058,WR/FLEX,7400,NO@DEN 11/29/2020 04:05PM ET,NO,10.48
2380131822,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Justin Herbert (15819766),Dalvin Cook (15819822),James Robinson (15819838),Keenan Allen (15820052),Gabriel Davis (15820258),Denzel Mims (15820174),Hunter Henry (15820358),Brian Hill (15819990),Rams (15820542),,RB,Josh Jacobs (15819830),Josh Jacobs,15819830,RB/FLEX,7200,LV@ATL 11/29/2020 01:00PM ET,LV,17.43
2380131823,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Brian Hill (15819990),James Robinson (15819838),Nelson Agholor (15820116),Tyreek Hill (15820054),Justin Jefferson (15820070),Darren Waller (15820354),Nyheim Hines (15819886),Dolphins (15820540),,QB,Justin Herbert (15819766),Justin Herbert,15819766,QB,7200,LAC@BUF 11/29/2020 01:00PM ET,LAC,26.74
2380131824,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Mike Davis (15819834),Kareem Hunt (15819860),Hunter Renfrow (15820152),Calvin Ridley (15820060),Robert Woods (15820084),Darren Waller (15820354),Nyheim Hines (15819886),Dolphins (15820540),,RB,Nick Chubb (15819832),Nick Chubb,15819832,RB/FLEX,7100,CLE@JAX 11/29/2020 01:00PM ET,CLE,17.2
2380131825,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Mike Davis (15819834),Nyheim Hines (15819886),Antonio Brown (15820086),Keelan Cole Sr. (15820166),Tyreek Hill (15820054),Travis Kelce (15820352),Devin Singletary (15819900),Falcons (15820558),,WR,Calvin Ridley (15820060),Calvin Ridley,15820060,WR/FLEX,7100,LV@ATL 11/29/2020 01:00PM ET,ATL,19.34
2380131826,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),Kareem Hunt (15819860),Michael Pittman Jr. (15820120),Calvin Ridley (15820060),Henry Ruggs III (15820138),Darren Waller (15820354),Devin Singletary (15819900),49ers (15820550),,TE,Travis Kelce (15820352),Travis Kelce,15820352,TE/FLEX,7000,KC@TB 11/29/2020 04:25PM ET,KC,20.88
2380131827,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Josh Allen (15819765),Brian Hill (15819990),Nyheim Hines (15819886),Stefon Diggs (15820056),Justin Jefferson (15820070),Mike Williams (15820110),Travis Kelce (15820352),Devin Singletary (15819900),Rams (15820542),,RB,Mike Davis (15819834),Mike Davis,15819834,RB/FLEX,6900,CAR@MIN 11/29/2020 01:00PM ET,CAR,13.94
2380131828,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777),Dalvin Cook (15819822),James Robinson (15819838),A.J. Brown (15820064),Michael Pittman Jr. (15820120),Darius Slayton (15820114),Jonnu Smith (15820368),Brian Hill (15819990),Rams (15820542),,WR,Adam Thielen (15820062),Adam Thielen,15820062,WR/FLEX,6800,CAR@MIN 11/29/2020 01:00PM ET,MIN,19.21
2380131829,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Tom Brady (15819767),Dalvin Cook (15819822),Nyheim Hines (15819886),Antonio Brown (15820086),Keelan Cole Sr. (15820166),Mike Evans (15820074),Travis Kelce (15820352),Brian Hill (15819990),Cardinals (15820546),,QB,Lamar Jackson (15847525),Lamar Jackson,15847525,QB,6800,Postponed,BAL,20.94
2380131830,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),Nyheim Hines (15819886),Keenan Allen (15820052),Hunter Renfrow (15820152),Darius Slayton (15820114),Darren Waller (15820354),Brian Hill (15819990),Giants (15820543),,WR,A.J. Brown (15820064),A.J. Brown,15820064,WR/FLEX,6700,TEN@IND 11/29/2020 01:00PM ET,TEN,17.25
2380131831,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),Kenyan Drake (15819866),Hunter Renfrow (15820152),Calvin Ridley (15820060),Henry Ruggs III (15820138),Travis Kelce (15820352),Wayne Gallman Jr. (15819876),Jaguars (15820561),,QB,Tom Brady (15819767),Tom Brady,15819767,QB,6600,KC@TB 11/29/2020 04:25PM ET,TB,21.46
2380131832,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),James Robinson (15819838),Nelson Agholor (15820116),Robert Woods (15820084),Olamide Zaccheaus (15820158),Darren Waller (15820354),Zack Moss (15819880),Giants (15820543),,QB,Ben Roethlisberger (15847526),Ben Roethlisberger,15847526,QB,6600,Postponed,PIT,20.48
2380131833,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Matt Ryan (15819774),Dalvin Cook (15819822),James Robinson (15819838),Nelson Agholor (15820116),Calvin Ridley (15820060),Darius Slayton (15820114),Hayden Hurst (15820370),Nyheim Hines (15819886),Cardinals (15820546),,WR,Julio Jones (15820066),Julio Jones,15820066,WR/FLEX,6500,LV@ATL 11/29/2020 01:00PM ET,ATL,17.46
2380131834,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Daniel Jones (15819782),Dalvin Cook (15819822),James Robinson (15819838),Tee Higgins (15820128),Tyreek Hill (15820054),Darius Slayton (15820114),Evan Engram (15820360),Nyheim Hines (15819886),Broncos (15820559),,QB,Cam Newton (15819768),Cam Newton,15819768,QB,6400,ARI@NE 11/29/2020 01:00PM ET,NE,20.3
2380131835,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777),Dalvin Cook (15819822),James Robinson (15819838),A.J. Brown (15820064),Corey Davis (15820118),Robert Woods (15820084),Mo Alie-Cox (15820400),Wayne Gallman Jr. (15819876),Giants (15820543),,WR,Cooper Kupp (15820068),Cooper Kupp,15820068,WR/FLEX,6400,SF@LAR 11/29/2020 04:05PM ET,LAR,15.95
2380131836,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Dalvin Cook (15819822),Devin Singletary (15819900),Tyreek Hill (15820054),Andy Isabella (15820324),Denzel Mims (15820174),Rob Gronkowski (15820362),Travis Kelce (15820352),Bengals (15820552),,RB,Clyde Edwards-Helaire (15819836),Clyde Edwards-Helaire,15819836,RB/FLEX,6400,KC@TB 11/29/2020 04:25PM ET,KC,15.37
2380131837,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Kirk Cousins (15819772),Nyheim Hines (15819886),Kareem Hunt (15819860),Justin Jefferson (15820070),Denzel Mims (15820174),DJ Moore (15820072),Darren Waller (15820354),Dalvin Cook (15819822),Broncos (15820559),,RB,James Robinson (15819838),James Robinson,15819838,RB/FLEX,6300,CLE@JAX 11/29/2020 01:00PM ET,JAX,18.41
2380131838,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Josh Allen (15819765),Dalvin Cook (15819822),James Robinson (15819838),Gabriel Davis (15820258),Stefon Diggs (15820056),Mike Williams (15820110),Hayden Hurst (15820370),Nyheim Hines (15819886),Bengals (15820552),,QB,Teddy Bridgewater (15819769),Teddy Bridgewater,15819769,QB,6300,CAR@MIN 11/29/2020 01:00PM ET,CAR,19.47
2380131839,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Matt Ryan (15819774),Dalvin Cook (15819822),Kenyan Drake (15819866),Nelson Agholor (15820116),Denzel Mims (15820174),Calvin Ridley (15820060),Travis Kelce (15820352),Brian Hill (15819990),Bills (15820549),,WR,Justin Jefferson (15820070),Justin Jefferson,15820070,WR/FLEX,6300,CAR@MIN 11/29/2020 01:00PM ET,MIN,16.78
2380131840,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),Brian Hill (15819990),Nelson Agholor (15820116),A.J. Brown (15820064),Henry Ruggs III (15820138),Travis Kelce (15820352),Devin Singletary (15819900),Rams (15820542),,RB,Joe Mixon (15819840),Joe Mixon,15819840,RB/FLEX,6200,NYG@CIN 11/29/2020 01:00PM ET,CIN,17.27
2380131841,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Baker Mayfield (15819785),Dalvin Cook (15819822),Nyheim Hines (15819886),Rashard Higgins (15820130),Jarvis Landry (15820100),Denzel Mims (15820174),Travis Kelce (15820352),James Robinson (15819838),Rams (15820542),,WR,DJ Moore (15820072),DJ Moore,15820072,WR/FLEX,6200,CAR@MIN 11/29/2020 01:00PM ET,CAR,14.94
2380131842,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Nick Chubb (15819832),Dalvin Cook (15819822),Julio Jones (15820066),Denzel Mims (15820174),Hunter Renfrow (15820152),Darren Waller (15820354),Zack Moss (15819880),Bills (15820549),,QB,Taysom Hill (15819770),Taysom Hill,15819770,QB,6200,NO@DEN 11/29/2020 04:05PM ET,NO,7.07
2380131843,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Dalvin Cook (15819822),Nyheim Hines (15819886),Mike Evans (15820074),Mecole Hardman (15820144),Breshad Perriman (15820142),Travis Kelce (15820352),Devin Singletary (15819900),Jets (15820560),,RB,James Conner (15847531),James Conner,15847531,RB/FLEX,6200,Postponed,PIT,14.3
2380131844,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777),Dalvin Cook (15819822),Kenyan Drake (15819866),A.J. Brown (15820064),Corey Davis (15820118),Michael Pittman Jr. (15820120),Darren Waller (15820354),Devin Singletary (15819900),Bengals (15820552),,WR,Diontae Johnson (15847553),Diontae Johnson,15847553,WR/FLEX,6200,Postponed,PIT,14.78
2380131845,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Dalvin Cook (15819822),Nyheim Hines (15819886),Antonio Brown (15820086),Tyreek Hill (15820054),Denzel Mims (15820174),Hunter Henry (15820358),Demarcus Robinson (15820160),Vikings (15820556),,QB,Philip Rivers (15819771),Philip Rivers,15819771,QB,6100,TEN@IND 11/29/2020 01:00PM ET,IND,16.40
2380131846,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Tom Brady (15819767),Dalvin Cook (15819822),James Robinson (15819838),Antonio Brown (15820086),Tyreek Hill (15820054),Denzel Mims (15820174),Rob Gronkowski (15820362),Brian Hill (15819990),Broncos (15820559),,RB,Austin Ekeler (15819844),Austin Ekeler,15819844,RB/FLEX,6100,LAC@BUF 11/29/2020 01:00PM ET,LAC,15.55
2380131847,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Josh Allen (15819765),Dalvin Cook (15819822),James Robinson (15819838),Stefon Diggs (15820056),Jalen Guyton (15820188),Denzel Mims (15820174),Darren Waller (15820354),Devin Singletary (15819900),Jets (15820560),,QB,Kirk Cousins (15819772),Kirk Cousins,15819772,QB,6100,CAR@MIN 11/29/2020 01:00PM ET,MIN,18.32
2380131848,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Josh Allen (15819765),Mike Davis (15819834),Nyheim Hines (15819886),Cole Beasley (15820090),Stefon Diggs (15820056),Jalen Guyton (15820188),Darren Waller (15820354),Wayne Gallman Jr. (15819876),Rams (15820542),,WR,Robby Anderson (15820076),Robby Anderson,15820076,WR/FLEX,6100,CAR@MIN 11/29/2020 01:00PM ET,CAR,15.37
2380131849,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Mike Davis (15819834),Nyheim Hines (15819886),Chris Godwin (15820078),Mecole Hardman (15820144),Denzel Mims (15820174),Darren Waller (15820354),Travis Kelce (15820352),Saints (15820541),,RB,Ronald Jones II (15819842),Ronald Jones II,15819842,RB/FLEX,6100,KC@TB 11/29/2020 04:25PM ET,TB,13.98
2380131850,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Matt Ryan (15819774),Wayne Gallman Jr. (15819876),Nyheim Hines (15819886),Nelson Agholor (15820116),Julio Jones (15820066),Calvin Ridley (15820060),Travis Kelce (15820352),Zack Moss (15819880),Dolphins (15820540),,WR,Mike Evans (15820074),Mike Evans,15820074,WR/FLEX,6100,KC@TB 11/29/2020 04:25PM ET,TB,14.66
2380131851,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Derek Carr (15819778),Dalvin Cook (15819822),James Robinson (15819838),Nelson Agholor (15820116),Hunter Renfrow (15820152),Calvin Ridley (15820060),Rob Gronkowski (15820362),Devin Singletary (15819900),Saints (15820541),,WR,Chase Claypool (15847555),Chase Claypool,15847555,WR/FLEX,6100,Postponed,PIT,15.91
2380131852,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Matt Ryan (15819774),Mike Davis (15819834),James Robinson (15819838),Julio Jones (15820066),Denzel Mims (15820174),Calvin Ridley (15820060),Darren Waller (15820354),Wayne Gallman Jr. (15819876),Bills (15820549),,TE,Darren Waller (15820354),Darren Waller,15820354,TE/FLEX,6000,LV@ATL 11/29/2020 01:00PM ET,LV,14.39
2380131853,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Kirk Cousins (15819772),Brian Hill (15819990),James Robinson (15819838),Justin Jefferson (15820070),Denzel Mims (15820174),Curtis Samuel (15820102),Travis Kelce (15820352),Dalvin Cook (15819822),Falcons (15820558),,RB,Alexander Mattison (15819846),Alexander Mattison,15819846,RB/FLEX,6000,CAR@MIN 11/29/2020 01:00PM ET,MIN,5.73
2380131854,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Daniel Jones (15819782),Nick Chubb (15819832),Dalvin Cook (15819822),Tee Higgins (15820128),Sterling Shepard (15820104),Robert Woods (15820084),Evan Engram (15820360),Brian Hill (15819990),Saints (15820541),,QB,Jared Goff (15819773),Jared Goff,15819773,QB,6000,SF@LAR 11/29/2020 04:05PM ET,LAR,19.93
2380131855,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Kirk Cousins (15819772),Kenyan Drake (15819866),James Robinson (15819838),Keenan Allen (15820052),Justin Jefferson (15820070),DJ Moore (15820072),Kyle Rudolph (15820396),Nyheim Hines (15819886),Dolphins (15820540),,WR,Chris Godwin (15820078),Chris Godwin,15820078,WR/FLEX,6000,KC@TB 11/29/2020 04:25PM ET,TB,15.07
2380131856,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Ryan Tannehill (15819777),Dalvin Cook (15819822),Kenyan Drake (15819866),A.J. Brown (15820064),Tyreek Hill (15820054),T.Y. Hilton (15820154),Anthony Firkser (15820408),Brian Hill (15819990),Dolphins (15820540),,RB,Jonathan Taylor (15819850),Jonathan Taylor,15819850,RB/FLEX,5900,TEN@IND 11/29/2020 01:00PM ET,IND,12.65
2380131857,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Matt Ryan (15819774),Dalvin Cook (15819822),Nyheim Hines (15819886),Keelan Cole Sr. (15820166),Calvin Ridley (15820060),Mike Williams (15820110),Darren Waller (15820354),Brian Hill (15819990),Dolphins (15820540),,QB,Tua Tagovailoa (15819776),Tua Tagovailoa,15819776,QB,5900,MIA@NYJ 11/29/2020 01:00PM ET,MIA,10.10
2380131858,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Daniel Jones (15819782),Dalvin Cook (15819822),James Robinson (15819838),A.J. Green (15820164),Sterling Shepard (15820104),Darius Slayton (15820114),Darren Waller (15820354),Kenyan Drake (15819866),Rams (15820542),,WR,DeVante Parker (15820080),DeVante Parker,15820080,WR/FLEX,5900,MIA@NYJ 11/29/2020 01:00PM ET,MIA,12.33
2380131859,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Patrick Mahomes (15819764),Nyheim Hines (15819886),James Robinson (15819838),Antonio Brown (15820086),Mecole Hardman (15820144),Tyreek Hill (15820054),Darren Waller (15820354),Wayne Gallman Jr. (15819876),Chargers (15820555),,QB,Matt Ryan (15819774),Matt Ryan,15819774,QB,5900,LV@ATL 11/29/2020 01:00PM ET,ATL,19.49
2380131860,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Tua Tagovailoa (15819776),Dalvin Cook (15819822),Nyheim Hines (15819886),Tyreek Hill (15820054),DeVante Parker (15820080),Breshad Perriman (15820142),Mike Gesicki (15820364),Brian Hill (15819990),Rams (15820542),,QB,Drew Brees (15819775),Drew Brees,15819775,QB,5900,NO@DEN 11/29/2020 04:05PM ET,NO,19.22
2380131861,NFL $2.5M Fantasy Football Millionaire [$1M to 1st],97091228,$10,Kyler Murray (15819763),Wayne Gallman Jr. (15819876),Nyheim Hines (15819886),Damiere Byrd (15820148),DeAndre Hopkins (15820050),Christian Kirk (15820082),Travis Kelce (15820352),Brian Hill (15819990),Giants (15820543),,RB,Latavius Murray (15819848),Latavius Murray,15819848,RB/FLEX,5900,NO@DEN 11/29/2020 04:05PM ET,NO,8.17
