Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2335062774,NFL Wrangler Let the Games Begin,94993622,$0,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,1. Column A lists all of your contest entries for this draftgroup
2335088237,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,2. Your current lineup is listed next to each entry (blank for reservations)
2335088325,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2335088326,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2335088327,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,5. For faster processing only include entries you are changing in the file you upload
2335088328,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,
2335088329,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2335088340,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Julio Jones (15713701),Julio Jones,15713701,WR/FLEX,7200,DEN@ATL 11/08/2020 01:00PM ET,ATL,19.57
2335088341,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Tyreek Hill (15713703),Tyreek Hill,15713703,WR/FLEX,7100,CAR@KC 11/08/2020 01:00PM ET,KC,17.76
2335088342,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,QB,Deshaun Watson (15713428),Deshaun Watson,15713428,QB,7100,HOU@JAX 11/08/2020 01:00PM ET,HOU,24.5
2335088343,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Keenan Allen (15713707),Keenan Allen,15713707,WR/FLEX,7000,LV@LAC 11/08/2020 04:05PM ET,LAC,18.69
2335088344,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,QB,Josh Allen (15713429),Josh Allen,15713429,QB,7000,SEA@BUF 11/08/2020 01:00PM ET,BUF,25.07
2335088345,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Calvin Ridley (15713705),Calvin Ridley,15713705,WR/FLEX,7000,DEN@ATL 11/08/2020 01:00PM ET,ATL,20.01
2335088346,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,James Robinson (15713489),James Robinson,15713489,RB/FLEX,7000,HOU@JAX 11/08/2020 01:00PM ET,JAX,20.09
2335088347,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,QB,Lamar Jackson (15713430),Lamar Jackson,15713430,QB,6900,BAL@IND 11/08/2020 01:00PM ET,BAL,21.55
2335088348,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Allen Robinson II (15713709),Allen Robinson II,15713709,WR/FLEX,6900,CHI@TEN 11/08/2020 01:00PM ET,CHI,17.12
2335088349,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,James Conner (15713491),James Conner,15713491,RB/FLEX,6900,PIT@DAL 11/08/2020 04:25PM ET,PIT,17.04
2335088350,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,QB,Justin Herbert (15713431),Justin Herbert,15713431,QB,6800,LV@LAC 11/08/2020 04:05PM ET,LAC,27
2335088351,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Tyler Lockett (15713711),Tyler Lockett,15713711,WR/FLEX,6800,SEA@BUF 11/08/2020 01:00PM ET,SEA,22.07
2335088352,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,Chase Edmonds (15713493),Chase Edmonds,15713493,RB/FLEX,6800,MIA@ARI 11/08/2020 04:25PM ET,ARI,11.97
2335088353,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Will Fuller V (15713713),Will Fuller V,15713713,WR/FLEX,6800,HOU@JAX 11/08/2020 01:00PM ET,HOU,17
2335088354,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,Mike Davis (15713495),Mike Davis,15713495,RB/FLEX,6700,CAR@KC 11/08/2020 01:00PM ET,CAR,15.05
2335088355,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Adam Thielen (15713715),Adam Thielen,15713715,WR/FLEX,6700,DET@MIN 11/08/2020 01:00PM ET,MIN,18.67
2335088356,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,QB,Matthew Stafford (15713432),Matthew Stafford,15713432,QB,6600,DET@MIN 11/08/2020 01:00PM ET,DET,19.76
2335088357,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,A.J. Brown (15713717),A.J. Brown,15713717,WR/FLEX,6600,CHI@TEN 11/08/2020 01:00PM ET,TEN,19.12
2335088358,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,Ezekiel Elliott (15713497),Ezekiel Elliott,15713497,RB/FLEX,6600,PIT@DAL 11/08/2020 04:25PM ET,DAL,17.76
2335088359,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,Chris Carson (15713499),Chris Carson,15713499,RB/FLEX,6500,SEA@BUF 11/08/2020 01:00PM ET,SEA,17.5
2335088360,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Terry McLaurin (15713719),Terry McLaurin,15713719,WR/FLEX,6500,NYG@WAS 11/08/2020 01:00PM ET,WAS,17
2335088361,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,QB,Ben Roethlisberger (15713433),Ben Roethlisberger,15713433,QB,6500,PIT@DAL 11/08/2020 04:25PM ET,PIT,18.10
2335088362,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,QB,Matt Ryan (15713434),Matt Ryan,15713434,QB,6400,DEN@ATL 11/08/2020 01:00PM ET,ATL,20.54
2335088363,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Kenny Golladay (15713721),Kenny Golladay,15713721,WR/FLEX,6400,DET@MIN 11/08/2020 01:00PM ET,DET,14.36
2335088364,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,Josh Jacobs (15713501),Josh Jacobs,15713501,RB/FLEX,6300,LV@LAC 11/08/2020 04:05PM ET,LV,16.36
2335088365,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Robby Anderson (15713723),Robby Anderson,15713723,WR/FLEX,6300,CAR@KC 11/08/2020 01:00PM ET,CAR,17.01
2335088366,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,QB,Ryan Tannehill (15713435),Ryan Tannehill,15713435,QB,6300,CHI@TEN 11/08/2020 01:00PM ET,TEN,23.16
2335088367,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,Todd Gurley II (15713503),Todd Gurley II,15713503,RB/FLEX,6200,DEN@ATL 11/08/2020 01:00PM ET,ATL,15.6
2335088368,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,QB,Kirk Cousins (15713436),Kirk Cousins,15713436,QB,6200,DET@MIN 11/08/2020 01:00PM ET,MIN,16.7
2335088369,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,JuJu Smith-Schuster (15713725),JuJu Smith-Schuster,15713725,WR/FLEX,6200,PIT@DAL 11/08/2020 04:25PM ET,PIT,13.37
2335088370,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,Clyde Edwards-Helaire (15713505),Clyde Edwards-Helaire,15713505,RB/FLEX,6100,CAR@KC 11/08/2020 01:00PM ET,KC,15.08
2335088371,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Justin Jefferson (15713727),Justin Jefferson,15713727,WR/FLEX,6100,DET@MIN 11/08/2020 01:00PM ET,MIN,16.61
2335088372,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,QB,Teddy Bridgewater (15713437),Teddy Bridgewater,15713437,QB,6000,CAR@KC 11/08/2020 01:00PM ET,CAR,17.92
2335088373,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,Jonathan Taylor (15713507),Jonathan Taylor,15713507,RB/FLEX,6000,BAL@IND 11/08/2020 01:00PM ET,IND,13.57
2335088374,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Marquise Brown (15713729),Marquise Brown,15713729,WR/FLEX,6000,BAL@IND 11/08/2020 01:00PM ET,BAL,11.43
2335088375,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,Myles Gaskin (15713509),Myles Gaskin,15713509,RB/FLEX,5900,MIA@ARI 11/08/2020 04:25PM ET,MIA,14.21
2335088376,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,WR,Corey Davis (15713731),Corey Davis,15713731,WR/FLEX,5900,CHI@TEN 11/08/2020 01:00PM ET,TEN,17.98
2335088377,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,TE,Darren Waller (15713995),Darren Waller,15713995,TE/FLEX,5800,LV@LAC 11/08/2020 04:05PM ET,LV,14.6
2335088378,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,QB,Gardner Minshew II (15713438),Gardner Minshew II,15713438,QB,5800,HOU@JAX 11/08/2020 01:00PM ET,JAX,21.2
2335088379,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],95683403,$20,Teddy Bridgewater (15713437),Melvin Gordon III (15713519),David Montgomery (15713513),Robby Anderson (15713723),Chase Claypool (15713733),Justin Jefferson (15713727),Hunter Henry (15714013),DK Metcalf (15713697),Texans (15714187),,RB,Antonio Gibson (15713511),Antonio Gibson,15713511,RB/FLEX,5800,NYG@WAS 11/08/2020 01:00PM ET,WAS,13.83
