Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2440113400,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,1. Column A lists all of your contest entries for this draftgroup
2440113401,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,2. Your current lineup is listed next to each entry (blank for reservations)
2440113402,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2440113403,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2440113404,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,5. For faster processing only include entries you are changing in the file you upload
2440113405,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,
2440113406,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2440113417,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Austin Ekeler (16006162),Austin Ekeler,16006162,RB/FLEX,7600,DEN@LAC 12/27/2020 04:05PM ET,LAC,16.55
2440113418,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,QB,Deshaun Watson (16006099),Deshaun Watson,16006099,QB,7600,CIN@HOU 12/27/2020 01:00PM ET,HOU,24.91
2440113419,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,Keenan Allen (16006360),Keenan Allen,16006360,WR/FLEX,7500,DEN@LAC 12/27/2020 04:05PM ET,LAC,18.51
2440113420,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,QB,Justin Herbert (16006100),Justin Herbert,16006100,QB,7400,DEN@LAC 12/27/2020 04:05PM ET,LAC,24.24
2440113421,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Jonathan Taylor (16006164),Jonathan Taylor,16006164,RB/FLEX,7300,IND@PIT 12/27/2020 01:00PM ET,IND,15.54
2440113422,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,QB,Russell Wilson (16006101),Russell Wilson,16006101,QB,7300,LAR@SEA 12/27/2020 04:25PM ET,SEA,25.27
2440113423,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,Robert Woods (16006362),Robert Woods,16006362,WR/FLEX,7000,LAR@SEA 12/27/2020 04:25PM ET,LAR,16.83
2440113424,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,QB,Jalen Hurts (16006102),Jalen Hurts,16006102,QB,7000,PHI@DAL 12/27/2020 04:25PM ET,PHI,6.88
2440113425,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Miles Sanders (16006166),Miles Sanders,16006166,RB/FLEX,7000,PHI@DAL 12/27/2020 04:25PM ET,PHI,14.54
2440113426,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,Jarvis Landry (16006364),Jarvis Landry,16006364,WR/FLEX,6900,CLE@NYJ 12/27/2020 01:00PM ET,CLE,12.47
2440113427,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,Julio Jones (16006366),Julio Jones,16006366,WR/FLEX,6800,ATL@KC 12/27/2020 01:00PM ET,ATL,17.23
2440113428,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,James Robinson (16006168),James Robinson,16006168,RB/FLEX,6800,CHI@JAX 12/27/2020 01:00PM ET,JAX,18.81
2440113429,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,Terry McLaurin (16006368),Terry McLaurin,16006368,WR/FLEX,6700,CAR@WAS 12/27/2020 04:05PM ET,WAS,15.49
2440113430,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Ezekiel Elliott (16006170),Ezekiel Elliott,16006170,RB/FLEX,6700,PHI@DAL 12/27/2020 04:25PM ET,DAL,15.28
2440113431,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Antonio Gibson (16006172),Antonio Gibson,16006172,RB/FLEX,6600,CAR@WAS 12/27/2020 04:05PM ET,WAS,15.93
2440113432,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,Cooper Kupp (16006370),Cooper Kupp,16006370,WR/FLEX,6600,LAR@SEA 12/27/2020 04:25PM ET,LAR,14.58
2440113433,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Mike Davis (16006174),Mike Davis,16006174,RB/FLEX,6500,CAR@WAS 12/27/2020 04:05PM ET,CAR,14.19
2440113434,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,Tyler Lockett (16006372),Tyler Lockett,16006372,WR/FLEX,6500,LAR@SEA 12/27/2020 04:25PM ET,SEA,16.5
2440113435,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Tony Pollard (16006176),Tony Pollard,16006176,RB/FLEX,6500,PHI@DAL 12/27/2020 04:25PM ET,DAL,7.96
2440113436,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,J.D. McKissic (16006180),J.D. McKissic,16006180,RB/FLEX,6400,CAR@WAS 12/27/2020 04:05PM ET,WAS,11.51
2440113437,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,QB,Ben Roethlisberger (16006103),Ben Roethlisberger,16006103,QB,6400,IND@PIT 12/27/2020 01:00PM ET,PIT,18.91
2440113438,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Chris Carson (16006178),Chris Carson,16006178,RB/FLEX,6400,LAR@SEA 12/27/2020 04:25PM ET,SEA,16.66
2440113439,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,Diontae Johnson (16006374),Diontae Johnson,16006374,WR/FLEX,6300,IND@PIT 12/27/2020 01:00PM ET,PIT,14.97
2440113440,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Cam Akers (16006182),Cam Akers,16006182,RB/FLEX,6300,LAR@SEA 12/27/2020 04:25PM ET,LAR,8.56
2440113441,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,J.K. Dobbins (16006184),J.K. Dobbins,16006184,RB/FLEX,6200,NYG@BAL 12/27/2020 01:00PM ET,BAL,9.98
2440113442,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,Brandin Cooks (16006376),Brandin Cooks,16006376,WR/FLEX,6200,CIN@HOU 12/27/2020 01:00PM ET,HOU,12.95
2440113443,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,QB,Baker Mayfield (16006104),Baker Mayfield,16006104,QB,6100,CLE@NYJ 12/27/2020 01:00PM ET,CLE,17.17
2440113444,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,David Johnson (16006186),David Johnson,16006186,RB/FLEX,6100,CIN@HOU 12/27/2020 01:00PM ET,HOU,13.36
2440113445,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,JuJu Smith-Schuster (16006378),JuJu Smith-Schuster,16006378,WR/FLEX,6000,IND@PIT 12/27/2020 01:00PM ET,PIT,13.71
2440113446,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Clyde Edwards-Helaire (16006188),Clyde Edwards-Helaire,16006188,RB/FLEX,6000,ATL@KC 12/27/2020 01:00PM ET,KC,14
2440113447,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,Chase Claypool (16006380),Chase Claypool,16006380,WR/FLEX,5900,IND@PIT 12/27/2020 01:00PM ET,PIT,13.46
2440113448,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Kareem Hunt (16006190),Kareem Hunt,16006190,RB/FLEX,5900,CLE@NYJ 12/27/2020 01:00PM ET,CLE,14.44
2440113449,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,QB,Jared Goff (16006105),Jared Goff,16006105,QB,5900,LAR@SEA 12/27/2020 04:25PM ET,LAR,18.88
2440113450,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,DJ Moore (16006382),DJ Moore,16006382,WR/FLEX,5800,CAR@WAS 12/27/2020 04:05PM ET,CAR,15.13
2440113451,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,James Conner (16006192),James Conner,16006192,RB/FLEX,5800,IND@PIT 12/27/2020 01:00PM ET,PIT,13.16
2440113452,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,QB,Matt Ryan (16006106),Matt Ryan,16006106,QB,5800,ATL@KC 12/27/2020 01:00PM ET,ATL,18.92
2440113453,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Le'Veon Bell (16006194),Le'Veon Bell,16006194,RB/FLEX,5800,ATL@KC 12/27/2020 01:00PM ET,KC,6.97
2440113454,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,RB,Wayne Gallman Jr. (16006196),Wayne Gallman Jr.,16006196,RB/FLEX,5700,NYG@BAL 12/27/2020 01:00PM ET,NYG,10.48
2440113455,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,WR,Marquise Brown (16006386),Marquise Brown,16006386,WR/FLEX,5700,NYG@BAL 12/27/2020 01:00PM ET,BAL,10.89
2440113456,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,TE,Mark Andrews (16006638),Mark Andrews,16006638,TE/FLEX,5700,NYG@BAL 12/27/2020 01:00PM ET,BAL,12.48
2440113457,NFL $3M Fantasy Football Millionaire [$1M to 1st],99111168,$20,Jalen Hurts (16006102),Melvin Gordon III (16006198),David Johnson (16006186),DJ Chark Jr. (16006404),Rashard Higgins (16006406),Tee Higgins (16006408),Cole Kmet (16006668),Calvin Ridley (16006354),Ravens (16006812),,QB,Mitchell Trubisky (16006107),Mitchell Trubisky,16006107,QB,5700,CHI@JAX 12/27/2020 01:00PM ET,CHI,15.99
