Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2305175804,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Kenny Golladay (15642468) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),Calvin Ridley (15642456) (LOCKED),Harrison Bryant (15642888) (LOCKED),Jamaal Williams (15642378) (LOCKED),Broncos (15642949),,1. Column A lists all of your contest entries for this draftgroup
2305184641,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Todd Gurley II (15642270) (LOCKED),Alvin Kamara (15642244) (LOCKED),A.J. Brown (15642476) (LOCKED),Chase Claypool (15642488) (LOCKED),Terry McLaurin (15642486) (LOCKED),Jonnu Smith (15642760) (LOCKED),Jamaal Williams (15642378) (LOCKED),49ers (15642945),,2. Your current lineup is listed next to each entry (blank for reservations)
2305185132,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),A.J. Brown (15642476) (LOCKED),Corey Davis (15642516) (LOCKED),Mike Williams (15642520),Eric Ebron (15642774) (LOCKED),Jamaal Williams (15642378) (LOCKED),Chiefs (15642941),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2305185234,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Derrick Henry (15642248) (LOCKED),Jamaal Williams (15642378) (LOCKED),Kenny Golladay (15642468) (LOCKED),Julio Jones (15642460) (LOCKED),Terry McLaurin (15642486) (LOCKED),T.J. Hockenson (15642756) (LOCKED),Kenyan Drake (15642298),Jaguars (15642954),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2305185235,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Danny Amendola (15642578) (LOCKED),Kenny Golladay (15642468) (LOCKED),Mike Williams (15642520),Hayden Hurst (15642766) (LOCKED),Jamaal Williams (15642378) (LOCKED),Bills (15642940) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2305185236,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Chris Godwin (15667801),Terry McLaurin (15642486) (LOCKED),Henry Ruggs III (15667805),Rob Gronkowski (15667835),Jamaal Williams (15642378) (LOCKED),Cardinals (15642958),,
2305185237,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Danny Amendola (15642578) (LOCKED),Diontae Johnson (15642546) (LOCKED),Julio Jones (15642460) (LOCKED),T.J. Hockenson (15642756) (LOCKED),Jamaal Williams (15642378) (LOCKED),Patriots (15642942),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2305185248,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),Corey Davis (15642516) (LOCKED),Tyreek Hill (15642474),JuJu Smith-Schuster (15642492) (LOCKED),Jonnu Smith (15642760) (LOCKED),Jamaal Williams (15642378) (LOCKED),Patriots (15642942),,WR,Calvin Ridley (15642456) (LOCKED),Calvin Ridley,15642456,WR/FLEX,7300,In Progress,ATL,22.17
2305185249,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Alvin Kamara (15642244) (LOCKED),Jamaal Williams (15642378) (LOCKED),A.J. Brown (15642476) (LOCKED),Russell Gage (15642540) (LOCKED),Kenny Golladay (15642468) (LOCKED),T.J. Hockenson (15642756) (LOCKED),James Robinson (15642264),Cowboys (15642948) (LOCKED),,RB,Aaron Jones (15642250) (LOCKED),Aaron Jones,15642250,RB/FLEX,7200,In Progress,GB,23.6
2305185250,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Mike Davis (15642256) (LOCKED),Jamaal Williams (15642378) (LOCKED),Kenny Golladay (15642468) (LOCKED),Julio Jones (15642460) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),Travis Kelce (15642754),Justin Jackson (15642296),Steelers (15642943) (LOCKED),,WR,DK Metcalf (15642458),DK Metcalf,15642458,WR/FLEX,7200,SEA@ARI 10/25/2020 08:20PM ET,SEA,21.32
2305185251,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Alvin Kamara (15642244) (LOCKED),Jamaal Williams (15642378) (LOCKED),A.J. Brown (15642476) (LOCKED),Diontae Johnson (15642546) (LOCKED),Calvin Ridley (15642456) (LOCKED),Harrison Bryant (15642888) (LOCKED),Derrick Henry (15642248) (LOCKED),Patriots (15642942),,WR,Julio Jones (15642460) (LOCKED),Julio Jones,15642460,WR/FLEX,7100,In Progress,ATL,19
2305185252,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),Derrick Henry (15642248) (LOCKED),Jamaal Williams (15642378) (LOCKED),Julio Jones (15642460) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),Terry McLaurin (15642486) (LOCKED),Hayden Hurst (15642766) (LOCKED),Chris Carson (15642260),Buccaneers (15667853),,QB,Kyler Murray (15642184),Kyler Murray,15642184,QB,7100,SEA@ARI 10/25/2020 08:20PM ET,ARI,28.08
2305185253,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Derek Carr (15667778),Alvin Kamara (15642244) (LOCKED),Jamaal Williams (15642378) (LOCKED),Chris Godwin (15667801),Henry Ruggs III (15667805),Mike Williams (15642520),Darren Waller (15667833),Chris Carson (15642260),Chiefs (15642941),,WR,Stefon Diggs (15642462) (LOCKED),Stefon Diggs,15642462,WR/FLEX,7000,In Progress,BUF,20.75
2305185254,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Kareem Hunt (15642252) (LOCKED),Jamaal Williams (15642378) (LOCKED),A.J. Brown (15642476) (LOCKED),Diontae Johnson (15642546) (LOCKED),Julio Jones (15642460) (LOCKED),Jonnu Smith (15642760) (LOCKED),Chris Carson (15642260),Chiefs (15642941),,QB,Aaron Rodgers (15642185) (LOCKED),Aaron Rodgers,15642185,QB,7000,In Progress,GB,23.17
2305185255,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Russell Gage (15642540) (LOCKED),Calvin Ridley (15642456) (LOCKED),Mike Williams (15642520),T.J. Hockenson (15642756) (LOCKED),Jamaal Williams (15642378) (LOCKED),Raiders (15667854),,WR,Amari Cooper (15642464) (LOCKED),Amari Cooper,15642464,WR/FLEX,6900,In Progress,DAL,19.35
2305185256,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Justin Herbert (15642190),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Keelan Cole (15642518),Chris Godwin (15667801),Mike Williams (15642520),Hunter Henry (15642764),Jamaal Williams (15642378) (LOCKED),Patriots (15642942),,RB,Kareem Hunt (15642252) (LOCKED),Kareem Hunt,15642252,RB/FLEX,6800,In Progress,CLE,15.95
2305185257,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),Danny Amendola (15642578) (LOCKED),Kenny Golladay (15642468) (LOCKED),Julio Jones (15642460) (LOCKED),Harrison Bryant (15642888) (LOCKED),Chris Carson (15642260),Cowboys (15642948) (LOCKED),,QB,Deshaun Watson (15642186) (LOCKED),Deshaun Watson,15642186,QB,6800,In Progress,HOU,24.06
2305185258,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),James Conner (15642254) (LOCKED),Kareem Hunt (15642252) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),Terry McLaurin (15642486) (LOCKED),Calvin Ridley (15642456) (LOCKED),T.J. Hockenson (15642756) (LOCKED),Jamaal Williams (15642378) (LOCKED),Steelers (15642943) (LOCKED),,WR,Will Fuller V (15642466) (LOCKED),Will Fuller V,15642466,WR/FLEX,6800,In Progress,HOU,17.75
2305185259,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Jamaal Williams (15642378) (LOCKED),Keenan Allen (15642478),A.J. Brown (15642476) (LOCKED),JuJu Smith-Schuster (15642492) (LOCKED),Jonnu Smith (15642760) (LOCKED),Giovani Bernard (15642308) (LOCKED),Bills (15642940) (LOCKED),,QB,Matt Ryan (15642187) (LOCKED),Matt Ryan,15642187,QB,6700,In Progress,ATL,20.64
2305185260,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Alvin Kamara (15642244) (LOCKED),Jamaal Williams (15642378) (LOCKED),A.J. Brown (15642476) (LOCKED),Adam Humphries (15642526) (LOCKED),JuJu Smith-Schuster (15642492) (LOCKED),Darren Waller (15667833),Chris Carson (15642260),Cowboys (15642948) (LOCKED),,WR,Kenny Golladay (15642468) (LOCKED),Kenny Golladay,15642468,WR/FLEX,6700,In Progress,DET,17.13
2305185261,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Kenny Golladay (15642468) (LOCKED),Adam Humphries (15642526) (LOCKED),Diontae Johnson (15642546) (LOCKED),Jonnu Smith (15642760) (LOCKED),Jamaal Williams (15642378) (LOCKED),Buccaneers (15667853),,RB,James Conner (15642254) (LOCKED),James Conner,15642254,RB/FLEX,6700,In Progress,PIT,18.04
2305185262,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Justin Herbert (15642190),Derrick Henry (15642248) (LOCKED),Jamaal Williams (15642378) (LOCKED),Keenan Allen (15642478),Terry McLaurin (15642486) (LOCKED),Laviska Shenault Jr. (15642534),Hunter Henry (15642764),Chris Carson (15642260),Bills (15642940) (LOCKED),,RB,Mike Davis (15642256) (LOCKED),Mike Davis,15642256,RB/FLEX,6600,In Progress,CAR,17.18
2305185263,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),Danny Amendola (15642578) (LOCKED),Chris Godwin (15667801),Julio Jones (15642460) (LOCKED),Hayden Hurst (15642766) (LOCKED),Jamaal Williams (15642378) (LOCKED),Steelers (15642943) (LOCKED),,WR,Tyler Lockett (15642470),Tyler Lockett,15642470,WR/FLEX,6600,SEA@ARI 10/25/2020 08:20PM ET,SEA,18.24
2305185264,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Drew Lock (15642201),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Tyreek Hill (15642474),Jerry Jeudy (15642506),Terry McLaurin (15642486) (LOCKED),Noah Fant (15642758),Jamaal Williams (15642378) (LOCKED),49ers (15642945),,QB,Tom Brady (15667777),Tom Brady,15667777,QB,6600,TB@LV 10/25/2020 04:05PM ET,TB,20.37
2305185265,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Derrick Henry (15642248) (LOCKED),Jamaal Williams (15642378) (LOCKED),A.J. Brown (15642476) (LOCKED),Tyreek Hill (15642474),Terry McLaurin (15642486) (LOCKED),Eric Ebron (15642774) (LOCKED),Chris Carson (15642260),Chargers (15642944),,QB,Ben Roethlisberger (15642188) (LOCKED),Ben Roethlisberger,15642188,QB,6600,In Progress,PIT,19.16
2305185266,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Ezekiel Elliott (15642246) (LOCKED),Alvin Kamara (15642244) (LOCKED),Mike Evans (15667803),Scotty Miller (15667811),Henry Ruggs III (15667805),Hunter Henry (15642764),Jamaal Williams (15642378) (LOCKED),Chiefs (15642941),,RB,Raheem Mostert (15642258),Raheem Mostert,15642258,RB/FLEX,6500,SF@NE 10/25/2020 04:25PM ET,SF,17.08
2305185267,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),Mike Davis (15642256) (LOCKED),Kareem Hunt (15642252) (LOCKED),Diontae Johnson (15642546) (LOCKED),Julio Jones (15642460) (LOCKED),Calvin Ridley (15642456) (LOCKED),T.J. Hockenson (15642756) (LOCKED),Jamaal Williams (15642378) (LOCKED),Cardinals (15642958),,TE,George Kittle (15642752),George Kittle,15642752,TE/FLEX,6500,SF@NE 10/25/2020 04:25PM ET,SF,21.92
2305185268,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),David Johnson (15642284) (LOCKED),Alvin Kamara (15642244) (LOCKED),Kenny Golladay (15642468) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),Terry McLaurin (15642486) (LOCKED),Hayden Hurst (15642766) (LOCKED),Chris Carson (15642260),Jaguars (15642954),,QB,Matthew Stafford (15642189) (LOCKED),Matthew Stafford,15642189,QB,6500,In Progress,DET,17.9
2305185269,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Andy Dalton (15642194) (LOCKED),Mike Davis (15642256) (LOCKED),Alvin Kamara (15642244) (LOCKED),Kenny Golladay (15642468) (LOCKED),CeeDee Lamb (15642472) (LOCKED),Terry McLaurin (15642486) (LOCKED),Dalton Schultz (15642776) (LOCKED),Jamaal Williams (15642378) (LOCKED),Jaguars (15642954),,WR,CeeDee Lamb (15642472) (LOCKED),CeeDee Lamb,15642472,WR/FLEX,6500,In Progress,DAL,17.5
2305185270,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Ezekiel Elliott (15642246) (LOCKED),Derrick Henry (15642248) (LOCKED),Mike Evans (15667803),Chris Godwin (15667801),Hunter Renfrow (15667807),Harrison Bryant (15642888) (LOCKED),Jamaal Williams (15642378) (LOCKED),Bills (15642940) (LOCKED),,RB,Chris Carson (15642260),Chris Carson,15642260,RB/FLEX,6400,SEA@ARI 10/25/2020 08:20PM ET,SEA,19.98
2305185271,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Ryan Tannehill (15642192) (LOCKED),Mike Davis (15642256) (LOCKED),Kareem Hunt (15642252) (LOCKED),A.J. Brown (15642476) (LOCKED),Kenny Golladay (15642468) (LOCKED),Adam Humphries (15642526) (LOCKED),Eric Ebron (15642774) (LOCKED),Jamaal Williams (15642378) (LOCKED),Bills (15642940) (LOCKED),,WR,Tyreek Hill (15642474),Tyreek Hill,15642474,WR/FLEX,6400,KC@DEN 10/25/2020 04:25PM ET,KC,16.47
2305185272,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Josh Allen (15642182) (LOCKED),Derrick Henry (15642248) (LOCKED),Alvin Kamara (15642244) (LOCKED),Stefon Diggs (15642462) (LOCKED),Chris Godwin (15667801),Breshad Perriman (15642566) (LOCKED),Tyler Kroft (15642788) (LOCKED),Jamaal Williams (15642378) (LOCKED),Seahawks (15642953),,WR,Chris Godwin (15667801),Chris Godwin,15667801,WR/FLEX,6400,TB@LV 10/25/2020 04:05PM ET,TB,13.7
2305185273,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Jimmy Garoppolo (15642199),Alvin Kamara (15642244) (LOCKED),Jamaal Williams (15642378) (LOCKED),Damiere Byrd (15642564),Chris Godwin (15667801),Deebo Samuel (15642508),George Kittle (15642752),Chris Carson (15642260),Bills (15642940) (LOCKED),,QB,Justin Herbert (15642190),Justin Herbert,15642190,QB,6400,JAX@LAC 10/25/2020 04:25PM ET,LAC,24.32
2305185274,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matt Ryan (15642187) (LOCKED),Ezekiel Elliott (15642246) (LOCKED),Kareem Hunt (15642252) (LOCKED),Kenny Golladay (15642468) (LOCKED),Julio Jones (15642460) (LOCKED),Breshad Perriman (15642566) (LOCKED),Hayden Hurst (15642766) (LOCKED),Jamaal Williams (15642378) (LOCKED),Seahawks (15642953),,QB,Cam Newton (15642191),Cam Newton,15642191,QB,6300,SF@NE 10/25/2020 04:25PM ET,NE,24.24
2305185275,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Matthew Stafford (15642189) (LOCKED),Derrick Henry (15642248) (LOCKED),Jamaal Williams (15642378) (LOCKED),Danny Amendola (15642578) (LOCKED),Marvin Jones Jr. (15642538) (LOCKED),Calvin Ridley (15642456) (LOCKED),Travis Kelce (15642754),Chris Carson (15642260),Patriots (15642942),,RB,Joe Mixon (15642262) (LOCKED),Joe Mixon,15642262,RB/FLEX,6300,In Progress,CIN,17.27
2305185276,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94689362,$20,Tom Brady (15667777),Mike Davis (15642256) (LOCKED),Kareem Hunt (15642252) (LOCKED),Chris Godwin (15667801),Terry McLaurin (15642486) (LOCKED),Scotty Miller (15667811),Darren Waller (15667833),Jamaal Williams (15642378) (LOCKED),Patriots (15642942),,TE,Travis Kelce (15642754),Travis Kelce,15642754,TE/FLEX,6300,KC@DEN 10/25/2020 04:25PM ET,KC,19.33
