Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2350466435,Jose Cuervo Touchdowns + Tequila,94998486,$0,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,1. Column A lists all of your contest entries for this draftgroup
2345370430,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Kyler Murray (15751349),James Conner (15751414),Ronald Jones II (15751450),Chris Godwin (15751672),A.J. Green (15751728),Jarvis Landry (15751676),Harrison Bryant (15751990),Josh Jacobs (15751422),Packers (15752131),,2. Your current lineup is listed next to each entry (blank for reservations)
2350447220,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2350447221,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2350447222,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,5. For faster processing only include entries you are changing in the file you upload
2350447223,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,
2350447224,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2350447235,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Michael Thomas (15751646),Michael Thomas,15751646,WR/FLEX,7400,SF@NO 11/15/2020 04:25PM ET,NO,7.4
2350447236,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Aaron Jones (15751412),Aaron Jones,15751412,RB/FLEX,7100,JAX@GB 11/15/2020 01:00PM ET,GB,21.82
2350447237,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Keenan Allen (15751648),Keenan Allen,15751648,WR/FLEX,7100,LAC@MIA 11/15/2020 04:05PM ET,LAC,19.89
2350447238,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Cooper Kupp (15751650),Cooper Kupp,15751650,WR/FLEX,6900,SEA@LAR 11/15/2020 04:25PM ET,LAR,15.12
2350447239,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Deshaun Watson (15751353),Deshaun Watson,15751353,QB,6900,HOU@CLE 11/15/2020 01:00PM ET,HOU,24.47
2350447240,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,James Conner (15751414),James Conner,15751414,RB/FLEX,6900,CIN@PIT 11/15/2020 04:25PM ET,PIT,15.41
2350447241,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Terry McLaurin (15751652),Terry McLaurin,15751652,WR/FLEX,6800,WAS@DET 11/15/2020 01:00PM ET,WAS,18.31
2350447242,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Nick Chubb (15751416),Nick Chubb,15751416,RB/FLEX,6800,HOU@CLE 11/15/2020 01:00PM ET,CLE,16.8
2350447243,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Kareem Hunt (15751418),Kareem Hunt,15751418,RB/FLEX,6700,HOU@CLE 11/15/2020 01:00PM ET,CLE,15.52
2350447244,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Will Fuller V (15751654),Will Fuller V,15751654,WR/FLEX,6700,HOU@CLE 11/15/2020 01:00PM ET,HOU,17.88
2350447245,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,TE,George Kittle (15751944),George Kittle,15751944,TE/FLEX,6600,SF@NO 11/15/2020 04:25PM ET,SF,17.35
2350447246,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,James Robinson (15751420),James Robinson,15751420,RB/FLEX,6600,JAX@GB 11/15/2020 01:00PM ET,JAX,19.56
2350447247,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Robert Woods (15751656),Robert Woods,15751656,WR/FLEX,6600,SEA@LAR 11/15/2020 04:25PM ET,LAR,16.18
2350447248,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Justin Herbert (15751354),Justin Herbert,15751354,QB,6600,LAC@MIA 11/15/2020 04:05PM ET,LAC,26.92
2350447249,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Josh Jacobs (15751422),Josh Jacobs,15751422,RB/FLEX,6500,DEN@LV 11/15/2020 04:05PM ET,LV,16.04
2350447250,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Jared Goff (15751355),Jared Goff,15751355,QB,6500,SEA@LAR 11/15/2020 04:25PM ET,LAR,19.6
2350447251,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Tyler Lockett (15751658),Tyler Lockett,15751658,WR/FLEX,6500,SEA@LAR 11/15/2020 04:25PM ET,SEA,20.31
2350447252,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Drew Brees (15751357),Drew Brees,15751357,QB,6400,SF@NO 11/15/2020 04:25PM ET,NO,20.75
2350447253,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Miles Sanders (15751424),Miles Sanders,15751424,RB/FLEX,6400,PHI@NYG 11/15/2020 01:00PM ET,PHI,16.9
2350447254,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Travis Fulgham (15751660),Travis Fulgham,15751660,WR/FLEX,6400,PHI@NYG 11/15/2020 01:00PM ET,PHI,19.9
2350447255,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Tyler Boyd (15751662),Tyler Boyd,15751662,WR/FLEX,6400,CIN@PIT 11/15/2020 04:25PM ET,CIN,17.60
2350447256,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Chase Edmonds (15751426),Chase Edmonds,15751426,RB/FLEX,6300,BUF@ARI 11/15/2020 04:05PM ET,ARI,11.95
2350447257,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Tom Brady (15751356),Tom Brady,15751356,QB,6300,TB@CAR 11/15/2020 01:00PM ET,TB,20.72
2350447258,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Mike Evans (15751664),Mike Evans,15751664,WR/FLEX,6300,TB@CAR 11/15/2020 01:00PM ET,TB,13.97
2350447259,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,DJ Chark Jr. (15751666),DJ Chark Jr.,15751666,WR/FLEX,6200,JAX@GB 11/15/2020 01:00PM ET,JAX,14.81
2350447260,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Chris Carson (15751428),Chris Carson,15751428,RB/FLEX,6200,SEA@LAR 11/15/2020 04:25PM ET,SEA,17.5
2350447261,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Ben Roethlisberger (15751358),Ben Roethlisberger,15751358,QB,6200,CIN@PIT 11/15/2020 04:25PM ET,PIT,19.34
2350447262,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Teddy Bridgewater (15751359),Teddy Bridgewater,15751359,QB,6100,TB@CAR 11/15/2020 01:00PM ET,CAR,19.40
2350447263,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Robby Anderson (15751670),Robby Anderson,15751670,WR/FLEX,6100,TB@CAR 11/15/2020 01:00PM ET,CAR,16.82
2350447264,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Joe Mixon (15751430),Joe Mixon,15751430,RB/FLEX,6100,CIN@PIT 11/15/2020 04:25PM ET,CIN,17.27
2350447265,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,JuJu Smith-Schuster (15751668),JuJu Smith-Schuster,15751668,WR/FLEX,6100,CIN@PIT 11/15/2020 04:25PM ET,PIT,14.36
2350447266,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Baker Mayfield (15751360),Baker Mayfield,15751360,QB,6000,HOU@CLE 11/15/2020 01:00PM ET,CLE,15.01
2350447267,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Boston Scott (15751432),Boston Scott,15751432,RB/FLEX,6000,PHI@NYG 11/15/2020 01:00PM ET,PHI,5.82
2350447268,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Chris Godwin (15751672),Chris Godwin,15751672,WR/FLEX,6000,TB@CAR 11/15/2020 01:00PM ET,TB,14.4
2350447269,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Kenny Golladay (15751674),Kenny Golladay,15751674,WR/FLEX,5900,WAS@DET 11/15/2020 01:00PM ET,DET,14.36
2350447270,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,TE,Darren Waller (15751946),Darren Waller,15751946,TE/FLEX,5900,DEN@LV 11/15/2020 04:05PM ET,LV,14.42
2350447271,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,RB,Darrell Henderson Jr. (15751434),Darrell Henderson Jr.,15751434,RB/FLEX,5900,SEA@LAR 11/15/2020 04:25PM ET,LAR,11.85
2350447272,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Jarvis Landry (15751676),Jarvis Landry,15751676,WR/FLEX,5900,HOU@CLE 11/15/2020 01:00PM ET,CLE,10.19
2350447273,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Carson Wentz (15751361),Carson Wentz,15751361,QB,5900,PHI@NYG 11/15/2020 01:00PM ET,PHI,21.32
2350447274,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,QB,Matthew Stafford (15751362),Matthew Stafford,15751362,QB,5800,WAS@DET 11/15/2020 01:00PM ET,DET,18.60
2350447275,NFL $3.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],96150436,$20,Justin Herbert (15751354),Chris Carson (15751428),Antonio Gibson (15751442),Brandin Cooks (15751686),Tee Higgins (15751690),Mike Williams (15751694),Jordan Reed (15751976),Davante Adams (15751638),Lions (15752142),,WR,Antonio Brown (15751678),Antonio Brown,15751678,WR/FLEX,5800,TB@CAR 11/15/2020 01:00PM ET,TB,6.1
