Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2897172873,$5K Wrangler Long Live Sports Series,115248071,$0,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,1. Column A lists all of your contest entries for this draftgroup
2897172875,Draft Time Matchups presented by Miller Lite,115248121,$0,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,2. Your current lineup is listed next to each entry (blank for reservations)
2897188771,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2897188772,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2897188773,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,5. For faster processing only include entries you are changing in the file you upload
2897188774,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,
2897188775,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2897188800,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Jonathan Taylor (19624627),Jonathan Taylor,19624627,RB/FLEX,6600,HOU@IND 10/17/2021 01:00PM ET,IND,18.08
2897188801,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,TE,Darren Waller (19625233),Darren Waller,19625233,TE/FLEX,6600,LV@DEN 10/17/2021 04:25PM ET,LV,14.98
2897188802,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Antonio Gibson (19624629),Antonio Gibson,19624629,RB/FLEX,6500,KC@WAS 10/17/2021 01:00PM ET,WAS,15.24
2897188803,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,CeeDee Lamb (19624869),CeeDee Lamb,19624869,WR/FLEX,6500,DAL@NE 10/17/2021 04:25PM ET,DAL,15.08
2897188804,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Joe Mixon (19624631),Joe Mixon,19624631,RB/FLEX,6400,CIN@DET 10/17/2021 01:00PM ET,CIN,14.14
2897188805,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Keenan Allen (19624871),Keenan Allen,19624871,WR/FLEX,6400,LAC@BAL 10/17/2021 01:00PM ET,LAC,16.58
2897188806,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Joe Burrow (19624552),Joe Burrow,19624552,QB,6300,CIN@DET 10/17/2021 01:00PM ET,CIN,19.23
2897188807,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,D'Andre Swift (19624633),D'Andre Swift,19624633,RB/FLEX,6300,CIN@DET 10/17/2021 01:00PM ET,DET,18.24
2897188808,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Kirk Cousins (19624553),Kirk Cousins,19624553,QB,6200,MIN@CAR 10/17/2021 01:00PM ET,MIN,20.79
2897188809,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Alexander Mattison (19624637),Alexander Mattison,19624637,RB/FLEX,6200,MIN@CAR 10/17/2021 01:00PM ET,MIN,12.76
2897188810,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Kareem Hunt (19624635),Kareem Hunt,19624635,RB/FLEX,6200,ARI@CLE 10/17/2021 04:05PM ET,CLE,18.68
2897188811,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Courtland Sutton (19624873),Courtland Sutton,19624873,WR/FLEX,6200,LV@DEN 10/17/2021 04:25PM ET,DEN,14.94
2897188812,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Robert Woods (19624875),Robert Woods,19624875,WR/FLEX,6100,LAR@NYG 10/17/2021 01:00PM ET,LAR,15.2
2897188813,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Sam Darnold (19624554),Sam Darnold,19624554,QB,6100,MIN@CAR 10/17/2021 01:00PM ET,CAR,23.37
2897188814,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Darrell Henderson Jr. (19624639),Darrell Henderson Jr.,19624639,RB/FLEX,6000,LAR@NYG 10/17/2021 01:00PM ET,LAR,16.6
2897188815,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Amari Cooper (19624877),Amari Cooper,19624877,WR/FLEX,6000,DAL@NE 10/17/2021 04:25PM ET,DAL,16.76
2897188816,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Marquise Brown (19624879),Marquise Brown,19624879,WR/FLEX,5900,LAC@BAL 10/17/2021 01:00PM ET,BAL,21.92
2897188817,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Chuba Hubbard (19624641),Chuba Hubbard,19624641,RB/FLEX,5900,MIN@CAR 10/17/2021 01:00PM ET,CAR,8.96
2897188818,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Baker Mayfield (19624555),Baker Mayfield,19624555,QB,5900,ARI@CLE 10/17/2021 04:05PM ET,CLE,17.48
2897188819,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Josh Jacobs (19624643),Josh Jacobs,19624643,RB/FLEX,5900,LV@DEN 10/17/2021 04:25PM ET,LV,14.8
2897188820,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Brandin Cooks (19624881),Brandin Cooks,19624881,WR/FLEX,5800,HOU@IND 10/17/2021 01:00PM ET,HOU,16.54
2897188821,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Damien Williams (19624645),Damien Williams,19624645,RB/FLEX,5800,GB@CHI 10/17/2021 01:00PM ET,CHI,8.36
2897188822,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,QB,Taylor Heinicke (19624556),Taylor Heinicke,19624556,QB,5800,KC@WAS 10/17/2021 01:00PM ET,WAS,19.56
2897188823,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Adam Thielen (19624883),Adam Thielen,19624883,WR/FLEX,5800,MIN@CAR 10/17/2021 01:00PM ET,MIN,15.34
2897188824,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,WR,Kenny Golladay (19624885),Kenny Golladay,19624885,WR/FLEX,5700,LAR@NYG 10/17/2021 01:00PM ET,NYG,9.64
2897188825,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],115467668,$20,Kyler Murray (19624546),Chuba Hubbard (19624641),Darrel Williams (19624675),Rashard Higgins (19624927),Christian Kirk (19624905),Darnell Mooney (19624929),Travis Kelce (19625231),Aaron Jones (19624619),Patriots (19625462),,RB,Latavius Murray (19624647),Latavius Murray,19624647,RB/FLEX,5700,LAC@BAL 10/17/2021 01:00PM ET,BAL,7.62
