Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
1715099651,NFL $100K FREE 100th Season Contest,79801095,$0,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,1. Column A lists all of your contest entries for this draftgroup
1715099652,AutoNation Free Football Challenge,79913750,$0,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,2. Your current lineup is listed next to each entry (blank for reservations)
1715099653,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
1715099654,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
1715099655,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,5. For faster processing only include entries you are changing in the file you upload
1715099656,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,
1715099657,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1715099668,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Latavius Murray (13693759),Latavius Murray,13693759,RB/FLEX,7300,ATL@NO 11/10/2019 01:00PM ET,NO,13.78
1715099669,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,James Conner (13693757),James Conner,13693757,RB/FLEX,7300,LAR@PIT 11/10/2019 04:25PM ET,PIT,18.37
1715099670,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Cooper Kupp (13693925),Cooper Kupp,13693925,WR/FLEX,7300,LAR@PIT 11/10/2019 04:25PM ET,LAR,22.82
1715099671,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Mark Ingram II (13693761),Mark Ingram II,13693761,RB/FLEX,7100,BAL@CIN 11/10/2019 01:00PM ET,BAL,17
1715099672,NFL $200K First Down [20 Entry Max],80009844,$1,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Kenny Golladay (13693927),Kenny Golladay,13693927,WR/FLEX,7000,DET@CHI 11/10/2019 01:00PM ET,DET,19
1715099140,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Nick Chubb (13693763),Nick Chubb,13693763,RB/FLEX,7000,BUF@CLE 11/10/2019 01:00PM ET,CLE,20.42
1715099141,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Patrick Mahomes (13693698),Patrick Mahomes,13693698,QB,7000,KC@TEN 11/10/2019 01:00PM ET,KC,23.91
1715099142,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Marlon Mack (13693765),Marlon Mack,13693765,RB/FLEX,7000,MIA@IND 11/10/2019 04:05PM ET,IND,13.96
1715099143,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Davante Adams (13693929),Davante Adams,13693929,WR/FLEX,6900,CAR@GB 11/10/2019 04:25PM ET,GB,15.98
1715099144,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Le'Veon Bell (13693767),Le'Veon Bell,13693767,RB/FLEX,6900,NYG@NYJ 11/10/2019 01:00PM ET,NYJ,14.84
1715099145,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Jameis Winston (13693699),Jameis Winston,13693699,QB,6800,ARI@TB 11/10/2019 01:00PM ET,TB,21.90
1715099146,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Drew Brees (13693700),Drew Brees,13693700,QB,6700,ATL@NO 11/10/2019 01:00PM ET,NO,18.08
1715099147,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Aaron Rodgers (13693701),Aaron Rodgers,13693701,QB,6600,CAR@GB 11/10/2019 04:25PM ET,GB,21.18
1715099148,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,T.Y. Hilton (13693931),T.Y. Hilton,13693931,WR/FLEX,6600,MIA@IND 11/10/2019 04:05PM ET,IND,16.33
1715099149,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Kyler Murray (13693702),Kyler Murray,13693702,QB,6500,ARI@TB 11/10/2019 01:00PM ET,ARI,19.94
1715099150,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Matthew Stafford (13693703),Matthew Stafford,13693703,QB,6400,DET@CHI 11/10/2019 01:00PM ET,DET,23.32
1715099151,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Derrick Henry (13693769),Derrick Henry,13693769,RB/FLEX,6400,KC@TEN 11/10/2019 01:00PM ET,TEN,15.76
1715099152,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,TE,Travis Kelce (13694151),Travis Kelce,13694151,TE/FLEX,6400,KC@TEN 11/10/2019 01:00PM ET,KC,14.51
1715099153,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Allen Robinson II (13693933),Allen Robinson II,13693933,WR/FLEX,6300,DET@CHI 11/10/2019 01:00PM ET,CHI,15.15
1715099154,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Josh Allen (13693704),Josh Allen,13693704,QB,6300,BUF@CLE 11/10/2019 01:00PM ET,BUF,18.60
1715099155,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Jaylen Samuels (13693771),Jaylen Samuels,13693771,RB/FLEX,6300,LAR@PIT 11/10/2019 04:25PM ET,PIT,8.83
1715099156,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Marvin Jones Jr. (13693935),Marvin Jones Jr.,13693935,WR/FLEX,6200,DET@CHI 11/10/2019 01:00PM ET,DET,17.24
1715099157,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Jared Goff (13693705),Jared Goff,13693705,QB,6200,LAR@PIT 11/10/2019 04:25PM ET,LAR,18.78
1715099158,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Odell Beckham Jr. (13693937),Odell Beckham Jr.,13693937,WR/FLEX,6100,BUF@CLE 11/10/2019 01:00PM ET,CLE,13.66
1715099159,NFL $888K Play-Action [20 Entry Max],80009846,$3,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Matt Ryan (13693706),Matt Ryan,13693706,QB,6100,ATL@NO 11/10/2019 01:00PM ET,ATL,24.17
1715075094,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Todd Gurley II (13693773),Todd Gurley II,13693773,RB/FLEX,6100,LAR@PIT 11/10/2019 04:25PM ET,LAR,14.23
1715099160,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,A.J. Green (13693939),A.J. Green,13693939,WR/FLEX,6000,BAL@CIN 11/10/2019 01:00PM ET,CIN,0
1715099161,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,John Brown (13693941),John Brown,13693941,WR/FLEX,6000,BUF@CLE 11/10/2019 01:00PM ET,BUF,14.71
1715099162,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Jacoby Brissett (13693707),Jacoby Brissett,13693707,QB,6000,MIA@IND 11/10/2019 04:05PM ET,IND,17.37
1715099163,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Golden Tate (13693943),Golden Tate,13693943,WR/FLEX,5900,NYG@NYJ 11/10/2019 01:00PM ET,NYG,14.36
1715099164,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Brian Hoyer (13693708),Brian Hoyer,13693708,QB,5900,MIA@IND 11/10/2019 04:05PM ET,IND,17.32
1715099165,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Sam Darnold (13693709),Sam Darnold,13693709,QB,5800,NYG@NYJ 11/10/2019 01:00PM ET,NYJ,12.82
1715099166,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,JuJu Smith-Schuster (13693945),JuJu Smith-Schuster,13693945,WR/FLEX,5800,LAR@PIT 11/10/2019 04:25PM ET,PIT,12.36
1715099167,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Daniel Jones (13693710),Daniel Jones,13693710,QB,5700,NYG@NYJ 11/10/2019 01:00PM ET,NYG,16.73
1715099168,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,TE,Evan Engram (13694153),Evan Engram,13694153,TE/FLEX,5700,NYG@NYJ 11/10/2019 01:00PM ET,NYG,14.42
1715099169,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,David Johnson (13693775),David Johnson,13693775,RB/FLEX,5700,ARI@TB 11/10/2019 01:00PM ET,ARI,17.36
1715099170,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Cam Newton (13693711),Cam Newton,13693711,QB,5600,CAR@GB 11/10/2019 04:25PM ET,CAR,11.34
1715099171,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Robert Woods (13693947),Robert Woods,13693947,WR/FLEX,5600,LAR@PIT 11/10/2019 04:25PM ET,LAR,12.65
1715099172,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,QB,Teddy Bridgewater (13693712),Teddy Bridgewater,13693712,QB,5500,ATL@NO 11/10/2019 01:00PM ET,NO,13.64
1715099173,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,TE,Austin Hooper (13694155),Austin Hooper,13694155,TE/FLEX,5500,ATL@NO 11/10/2019 01:00PM ET,ATL,18.64
1715099174,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,RB,Kenyan Drake (13693777),Kenyan Drake,13693777,RB/FLEX,5500,ARI@TB 11/10/2019 01:00PM ET,ARI,12.43
1715099175,NFL $2M Mini 100th Season Special [$300K to 1st],80009847,$10,Patrick Mahomes (13693698),Nyheim Hines (13693797),Christian McCaffrey (13693749),Mecole Hardman (13694001),Tyreek Hill (13693917),Tajae Sharpe (13694053),Travis Kelce (13694151),Peyton Barber (13693837),Buccaneers (13694309),,WR,Larry Fitzgerald (13693949),Larry Fitzgerald,13693949,WR/FLEX,5500,ARI@TB 11/10/2019 01:00PM ET,ARI,12.06
