Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
888446566,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,1. Column A lists all of your contest entries for this draftgroup
888456928,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,2. Your current lineup is listed next to each entry (blank for reservations)
888456929,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
888456930,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
888456931,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,5. For faster processing only include entries you are changing in the file you upload
888456932,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,
888456933,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev
888456944,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Mark Ingram (9683395),Mark Ingram,9683395,7400,CHI@NO 10/29/2017 01:00PM ET,NO,
888456945,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Keenan Allen (9683339),Keenan Allen,9683339,7300,LAC@NE 10/29/2017 01:00PM ET,LAC,
888456946,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Dak Prescott (9683671),Dak Prescott,9683671,7300,DAL@WAS 10/29/2017 04:25PM ET,DAL,
888456947,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Devonta Freeman (9683426),Devonta Freeman,9683426,7200,ATL@NYJ 10/29/2017 01:00PM ET,ATL,
888456948,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Carson Wentz (9683489),Carson Wentz,9683489,7200,SF@PHI 10/29/2017 01:00PM ET,PHI,
888456949,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,TE,Rob Gronkowski (9683319),Rob Gronkowski,9683319,7100,LAC@NE 10/29/2017 01:00PM ET,NE,
888456950,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Drew Brees (9683392),Drew Brees,9683392,7000,CHI@NO 10/29/2017 01:00PM ET,NO,
888456951,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,TE,Zach Ertz (9683511),Zach Ertz,9683511,7000,SF@PHI 10/29/2017 01:00PM ET,PHI,
888456952,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Doug Baldwin (9683652),Doug Baldwin,9683652,6900,HOU@SEA 10/29/2017 04:05PM ET,SEA,
888456953,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Brandin Cooks (9683307),Brandin Cooks,9683307,6800,LAC@NE 10/29/2017 01:00PM ET,NE,
888456954,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Jordan Howard (9683361),Jordan Howard,9683361,6800,CHI@NO 10/29/2017 01:00PM ET,CHI,
888456955,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Matt Ryan (9683424),Matt Ryan,9683424,6800,ATL@NYJ 10/29/2017 01:00PM ET,ATL,
888456956,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Alshon Jeffery (9683499),Alshon Jeffery,9683499,6700,SF@PHI 10/29/2017 01:00PM ET,PHI,
888456957,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Amari Cooper (9683208),Amari Cooper,9683208,6600,OAK@BUF 10/29/2017 01:00PM ET,OAK,
888456958,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Cam Newton (9683581),Cam Newton,9683581,6600,CAR@TB 10/29/2017 01:00PM ET,CAR,
888456959,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Derek Carr (9683197),Derek Carr,9683197,6500,OAK@BUF 10/29/2017 01:00PM ET,OAK,
888456960,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Chris Hogan (9683309),Chris Hogan,9683309,6500,LAC@NE 10/29/2017 01:00PM ET,NE,
888456961,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Russell Wilson (9683640),Russell Wilson,9683640,6500,HOU@SEA 10/29/2017 04:05PM ET,SEA,
888456962,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Kelvin Benjamin (9683594),Kelvin Benjamin,9683594,6400,CAR@TB 10/29/2017 01:00PM ET,CAR,
888456963,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Deshaun Watson (9683611),Deshaun Watson,9683611,6400,HOU@SEA 10/29/2017 04:05PM ET,HOU,
888456964,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Kirk Cousins (9683705),Kirk Cousins,9683705,6400,DAL@WAS 10/29/2017 04:25PM ET,WAS,
888456965,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Michael Crabtree (9683206),Michael Crabtree,9683206,6300,OAK@BUF 10/29/2017 01:00PM ET,OAK,
888456966,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Philip Rivers (9683326),Philip Rivers,9683326,6300,LAC@NE 10/29/2017 01:00PM ET,LAC,
888456967,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Christian McCaffrey (9683584),Christian McCaffrey,9683584,6200,CAR@TB 10/29/2017 01:00PM ET,CAR,
888456968,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Pierre Garcon (9683528),Pierre Garcon,9683528,6100,SF@PHI 10/29/2017 01:00PM ET,SF,
888456969,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Jameis Winston (9683551),Jameis Winston,9683551,6100,CAR@TB 10/29/2017 01:00PM ET,TB,
888456970,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Carlos Hyde (9683520),Carlos Hyde,9683520,6000,SF@PHI 10/29/2017 01:00PM ET,SF,
888456971,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Tyrod Taylor (9683163),Tyrod Taylor,9683163,5900,OAK@BUF 10/29/2017 01:00PM ET,BUF,
888456972,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Alvin Kamara (9683397),Alvin Kamara,9683397,5900,CHI@NO 10/29/2017 01:00PM ET,NO,
888456973,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Devin Funchess (9683596),Devin Funchess,9683596,5900,CAR@TB 10/29/2017 01:00PM ET,CAR,
888456974,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Chris Thompson (9683707),Chris Thompson,9683707,5800,DAL@WAS 10/29/2017 04:25PM ET,WAS,
888456975,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Andy Dalton (9683223),Andy Dalton,9683223,5700,IND@CIN 10/29/2017 01:00PM ET,CIN,
888456976,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Danny Amendola (9683311),Danny Amendola,9683311,5700,LAC@NE 10/29/2017 01:00PM ET,NE,
888456977,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,T.Y. Hilton (9683272),T.Y. Hilton,9683272,5600,IND@CIN 10/29/2017 01:00PM ET,IND,
888456978,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Josh McCown (9683455),Josh McCown,9683455,5600,ATL@NYJ 10/29/2017 01:00PM ET,NYJ,
888456979,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Darren McFadden (9683676),Darren McFadden,9683676,5600,DAL@WAS 10/29/2017 04:25PM ET,DAL,
888456980,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Jimmy Garoppolo (9683294),Jimmy Garoppolo,9683294,5500,LAC@NE 10/29/2017 01:00PM ET,NE,
888456981,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Nelson Agholor (9683501),Nelson Agholor,9683501,5500,SF@PHI 10/29/2017 01:00PM ET,PHI,
888456982,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Alfred Morris (9683678),Alfred Morris,9683678,5500,DAL@WAS 10/29/2017 04:25PM ET,DAL,
888456983,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Andrew Luck (9683259),Andrew Luck,9683259,5400,IND@CIN 10/29/2017 01:00PM ET,IND,
888456984,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Doug Martin (9683554),Doug Martin,9683554,5400,CAR@TB 10/29/2017 01:00PM ET,TB,
888456985,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Terrelle Pryor Sr. (9683715),Terrelle Pryor Sr.,9683715,5400,DAL@WAS 10/29/2017 04:25PM ET,WAS,
888456986,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,QB,Derek Anderson (9683582),Derek Anderson,9683582,5300,CAR@TB 10/29/2017 01:00PM ET,CAR,
888456987,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,WR,Will Fuller V (9683625),Will Fuller V,9683625,5300,HOU@SEA 10/29/2017 04:05PM ET,HOU,
888456988,NFL $3.6M Fantasy Football Millionaire [$1M to 1st],47319651,$20,Tom Brady (9683293),LeSean McCoy (9683166),Chris Thompson (9683707),Keenan Allen (9683339),Pierre Garcon (9683528),Ted Ginn Jr. (9683407),George Kittle (9683540),Jared Cook (9683216),Jets (9683488),,RB,Lamar Miller (9683613),Lamar Miller,9683613,5200,HOU@SEA 10/29/2017 04:05PM ET,HOU,
