Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2270734651,NFL Wrangler Let the Games Begin,93172533,$0,Kyle Allen (15560271) (LOCKED),Mike Davis (15560300) (LOCKED),James Robinson (15560290) (LOCKED),T.Y. Hilton (15560572),Terry McLaurin (15560538) (LOCKED),Robert Woods (15560532) (LOCKED),Logan Thomas (15560884) (LOCKED),Ezekiel Elliott (15560282),Cardinals (15561041) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2270711717,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Mike Davis (15560300) (LOCKED),David Johnson (15560324) (LOCKED),Brandon Aiyuk (15560564),T.Y. Hilton (15560572),DeVante Parker (15560544),George Kittle (15560848),Ezekiel Elliott (15560282),Jets (15561057) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2270711718,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Mike Davis (15560300) (LOCKED),James Robinson (15560290) (LOCKED),Jarvis Landry (15560570),Deebo Samuel (15560562),Preston Williams (15560630),George Kittle (15560848),Ezekiel Elliott (15560282),WAS Football Team (15561055) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2270711719,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Mike Davis (15560300) (LOCKED),Ezekiel Elliott (15560282),Brandon Aiyuk (15560564),Brandin Cooks (15560624) (LOCKED),Deebo Samuel (15560562),Mike Gesicki (15560862),Kareem Hunt (15560296),Cardinals (15561041) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2270711720,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Kyle Allen (15560271) (LOCKED),James Conner (15560286) (LOCKED),David Johnson (15560324) (LOCKED),Cooper Kupp (15560528) (LOCKED),Terry McLaurin (15560538) (LOCKED),DJ Moore (15560542) (LOCKED),Logan Thomas (15560884) (LOCKED),Ezekiel Elliott (15560282),Ravens (15561044) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2270711721,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Kyle Allen (15560271) (LOCKED),Mike Davis (15560300) (LOCKED),Ezekiel Elliott (15560282),Cooper Kupp (15560528) (LOCKED),Terry McLaurin (15560538) (LOCKED),Isaiah Wright (15560786) (LOCKED),Darren Waller (15560854) (LOCKED),Kareem Hunt (15560296),49ers (15561045),,
2270711722,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Joe Mixon (15560302) (LOCKED),James Robinson (15560290) (LOCKED),Kendrick Bourne (15560620),DeVante Parker (15560544),Olamide Zaccheaus (15560814) (LOCKED),George Kittle (15560848),Ezekiel Elliott (15560282),Rams (15561042) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2270711734,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224) (LOCKED),Mike Davis (15560300) (LOCKED),Ezekiel Elliott (15560282),Terry McLaurin (15560538) (LOCKED),Robert Woods (15560532) (LOCKED),Olamide Zaccheaus (15560814) (LOCKED),Tyler Higbee (15560858) (LOCKED),Jonathan Taylor (15560306),Raiders (15561063) (LOCKED),,WR,Stefon Diggs (15560516),Stefon Diggs,15560516,WR/FLEX,7000,Postponed,BUF,21.08
2270711735,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224) (LOCKED),Mike Davis (15560300) (LOCKED),Kenyan Drake (15560316) (LOCKED),Brandin Cooks (15560624) (LOCKED),Cooper Kupp (15560528) (LOCKED),Robert Woods (15560532) (LOCKED),Logan Thomas (15560884) (LOCKED),Ezekiel Elliott (15560282),Cowboys (15561050),,RB,James Conner (15560286) (LOCKED),James Conner,15560286,RB/FLEX,6900,In Progress,PIT,18.23
2270711736,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Deshaun Watson (15560222) (LOCKED),James Conner (15560286) (LOCKED),Mike Davis (15560300) (LOCKED),Brandin Cooks (15560624) (LOCKED),DeVante Parker (15560544),Laviska Shenault Jr. (15560608) (LOCKED),Darren Fells (15560894) (LOCKED),Ezekiel Elliott (15560282),Cardinals (15561041) (LOCKED),,QB,Deshaun Watson (15560222) (LOCKED),Deshaun Watson,15560222,QB,6900,In Progress,HOU,19.87
2270711737,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Clyde Edwards-Helaire (15560288) (LOCKED),James Robinson (15560290) (LOCKED),Brandon Aiyuk (15560564),Isaiah Ford (15560658),Russell Gage (15560566) (LOCKED),George Kittle (15560848),Ezekiel Elliott (15560282),Eagles (15561053) (LOCKED),,WR,Tyreek Hill (15560518) (LOCKED),Tyreek Hill,15560518,WR/FLEX,6900,In Progress,KC,18.75
2270711738,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Philip Rivers (15560230),Mike Davis (15560300) (LOCKED),David Johnson (15560324) (LOCKED),Odell Beckham Jr. (15560530),Tyreek Hill (15560518) (LOCKED),T.Y. Hilton (15560572),Trey Burton (15560912),Ezekiel Elliott (15560282),49ers (15561045),,WR,Julio Jones (15560520) (LOCKED),Julio Jones,15560520,WR/FLEX,6800,In Progress,ATL,13.1
2270711739,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224) (LOCKED),Mike Davis (15560300) (LOCKED),David Johnson (15560324) (LOCKED),Cooper Kupp (15560528) (LOCKED),Terry McLaurin (15560538) (LOCKED),Josh Reynolds (15560634) (LOCKED),Eric Ebron (15560878) (LOCKED),Ezekiel Elliott (15560282),Chiefs (15561047) (LOCKED),,RB,Clyde Edwards-Helaire (15560288) (LOCKED),Clyde Edwards-Helaire,15560288,RB/FLEX,6800,In Progress,KC,16.58
2270711740,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Kyle Allen (15560271) (LOCKED),Clyde Edwards-Helaire (15560288) (LOCKED),James Robinson (15560290) (LOCKED),Terry McLaurin (15560538) (LOCKED),DJ Moore (15560542) (LOCKED),Isaiah Wright (15560786) (LOCKED),Tyler Higbee (15560858) (LOCKED),Ezekiel Elliott (15560282),Steelers (15561043) (LOCKED),,QB,Cam Newton (15589129),Cam Newton,15589129,QB,6700,Postponed,NE,25.49
2270711741,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Gardner Minshew II (15560225) (LOCKED),Mike Davis (15560300) (LOCKED),Ezekiel Elliott (15560282),Randall Cobb (15560604) (LOCKED),Cooper Kupp (15560528) (LOCKED),Laviska Shenault Jr. (15560608) (LOCKED),Tyler Eifert (15560892) (LOCKED),Kareem Hunt (15560296),Cardinals (15561041) (LOCKED),,WR,JuJu Smith-Schuster (15560522) (LOCKED),JuJu Smith-Schuster,15560522,WR/FLEX,6700,In Progress,PIT,17.67
2270711742,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Mike Davis (15560300) (LOCKED),Clyde Edwards-Helaire (15560288) (LOCKED),Brandon Aiyuk (15560564),DeVante Parker (15560544),Deebo Samuel (15560562),Dalton Schultz (15560866),James Robinson (15560290) (LOCKED),Colts (15561049),,RB,James Robinson (15560290) (LOCKED),James Robinson,15560290,RB/FLEX,6700,In Progress,JAX,19.9
2270711743,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Deshaun Watson (15560222) (LOCKED),Mike Davis (15560300) (LOCKED),Joe Mixon (15560302) (LOCKED),Chris Conley (15560664) (LOCKED),Will Fuller V (15560524) (LOCKED),Diontae Johnson (15560552) (LOCKED),Darren Fells (15560894) (LOCKED),Ezekiel Elliott (15560282),49ers (15561045),,QB,Ben Roethlisberger (15560223) (LOCKED),Ben Roethlisberger,15560223,QB,6600,In Progress,PIT,21.16
2270711744,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Kyle Allen (15560271) (LOCKED),Clyde Edwards-Helaire (15560288) (LOCKED),Joe Mixon (15560302) (LOCKED),DeAndre Hopkins (15560510) (LOCKED),Terry McLaurin (15560538) (LOCKED),Josh Reynolds (15560634) (LOCKED),Logan Thomas (15560884) (LOCKED),Ezekiel Elliott (15560282),Chiefs (15561047) (LOCKED),,WR,Will Fuller V (15560524) (LOCKED),Will Fuller V,15560524,WR/FLEX,6600,In Progress,HOU,15.85
2270711745,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Baker Mayfield (15560231),Mike Davis (15560300) (LOCKED),James Robinson (15560290) (LOCKED),Odell Beckham Jr. (15560530),T.Y. Hilton (15560572),Jarvis Landry (15560570),Eric Ebron (15560878) (LOCKED),Ezekiel Elliott (15560282),Cowboys (15561050),,TE,George Kittle (15560848),George Kittle,15560848,TE/FLEX,6600,MIA@SF 10/11/2020 04:05PM ET,SF,26.2
2270711746,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Patrick Mahomes (15560218) (LOCKED),Mike Davis (15560300) (LOCKED),James Robinson (15560290) (LOCKED),Mecole Hardman (15560614) (LOCKED),Sammy Watkins (15560610) (LOCKED),Preston Williams (15560630),Darren Waller (15560854) (LOCKED),Ezekiel Elliott (15560282),Jets (15561057) (LOCKED),,QB,Jared Goff (15560224) (LOCKED),Jared Goff,15560224,QB,6500,In Progress,LAR,19.60
2270711747,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Patrick Mahomes (15560218) (LOCKED),Todd Gurley II (15560314) (LOCKED),David Johnson (15560324) (LOCKED),Tyreek Hill (15560518) (LOCKED),Chris Hogan (15560674) (LOCKED),Sammy Watkins (15560610) (LOCKED),Darren Waller (15560854) (LOCKED),Ezekiel Elliott (15560282),Colts (15561049),,WR,Cooper Kupp (15560528) (LOCKED),Cooper Kupp,15560528,WR/FLEX,6500,In Progress,LAR,17.1
2270711748,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224) (LOCKED),Mike Davis (15560300) (LOCKED),James Robinson (15560290) (LOCKED),Chris Hogan (15560674) (LOCKED),Dontrelle Inman (15560650) (LOCKED),Cooper Kupp (15560528) (LOCKED),Tyler Higbee (15560858) (LOCKED),Ezekiel Elliott (15560282),Steelers (15561043) (LOCKED),,RB,Miles Sanders (15560292) (LOCKED),Miles Sanders,15560292,RB/FLEX,6500,In Progress,PHI,15.13
2270711749,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Clyde Edwards-Helaire (15560288) (LOCKED),David Johnson (15560324) (LOCKED),Brandon Aiyuk (15560564),Kendrick Bourne (15560620),DJ Moore (15560542) (LOCKED),Mike Gesicki (15560862),Ezekiel Elliott (15560282),Rams (15561042) (LOCKED),,WR,DJ Chark Jr. (15560526) (LOCKED),DJ Chark Jr.,15560526,WR/FLEX,6500,In Progress,JAX,17.8
2270711750,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Deshaun Watson (15560222) (LOCKED),Mike Davis (15560300) (LOCKED),Joe Mixon (15560302) (LOCKED),Odell Beckham Jr. (15560530),Randall Cobb (15560604) (LOCKED),Brandin Cooks (15560624) (LOCKED),Tyler Eifert (15560892) (LOCKED),Ezekiel Elliott (15560282),Rams (15561042) (LOCKED),,RB,Nick Chubb (15560294),Nick Chubb,15560294,RB/FLEX,6500,IND@CLE 10/11/2020 04:25PM ET,CLE,16.8
2270711751,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Gardner Minshew II (15560225) (LOCKED),James Conner (15560286) (LOCKED),Mike Davis (15560300) (LOCKED),Chris Conley (15560664) (LOCKED),Will Fuller V (15560524) (LOCKED),Laviska Shenault Jr. (15560608) (LOCKED),Darren Waller (15560854) (LOCKED),Ezekiel Elliott (15560282),Bengals (15561060) (LOCKED),,RB,Kareem Hunt (15560296),Kareem Hunt,15560296,RB/FLEX,6500,IND@CLE 10/11/2020 04:25PM ET,CLE,17.42
2270711752,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Philip Rivers (15560230),Mike Davis (15560300) (LOCKED),James Robinson (15560290) (LOCKED),T.Y. Hilton (15560572),DeVante Parker (15560544),Zach Pascal (15560602),Austin Hooper (15560876),Ezekiel Elliott (15560282),Steelers (15561043) (LOCKED),,RB,Melvin Gordon III (15560298),Melvin Gordon III,15560298,RB/FLEX,6400,Postponed,DEN,17.4
2270711753,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Deshaun Watson (15560222) (LOCKED),Mike Davis (15560300) (LOCKED),Antonio Gibson (15560328) (LOCKED),Randall Cobb (15560604) (LOCKED),Keelan Cole (15560592) (LOCKED),DeAndre Hopkins (15560510) (LOCKED),Darren Fells (15560894) (LOCKED),Ezekiel Elliott (15560282),Colts (15561049),,RB,Mike Davis (15560300) (LOCKED),Mike Davis,15560300,RB/FLEX,6400,In Progress,CAR,15.18
2270711754,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),James Conner (15560286) (LOCKED),David Johnson (15560324) (LOCKED),Robby Anderson (15560546) (LOCKED),Kendrick Bourne (15560620),Preston Williams (15560630),George Kittle (15560848),Ezekiel Elliott (15560282),Steelers (15561043) (LOCKED),,WR,Robert Woods (15560532) (LOCKED),Robert Woods,15560532,WR/FLEX,6400,In Progress,LAR,15.85
2270711755,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Kyle Allen (15560271) (LOCKED),Todd Gurley II (15560314) (LOCKED),James Robinson (15560290) (LOCKED),Dontrelle Inman (15560650) (LOCKED),Cooper Kupp (15560528) (LOCKED),Terry McLaurin (15560538) (LOCKED),George Kittle (15560848),Ezekiel Elliott (15560282),Eagles (15561053) (LOCKED),,TE,Travis Kelce (15560850) (LOCKED),Travis Kelce,15560850,TE/FLEX,6400,In Progress,KC,16.42
2270711756,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Deshaun Watson (15560222) (LOCKED),Mike Davis (15560300) (LOCKED),Ezekiel Elliott (15560282),DJ Chark Jr. (15560526) (LOCKED),Terry McLaurin (15560538) (LOCKED),Kenny Stills (15560654) (LOCKED),Darren Fells (15560894) (LOCKED),Jonathan Taylor (15560306),Cowboys (15561050),,WR,Odell Beckham Jr. (15560530),Odell Beckham Jr.,15560530,WR/FLEX,6400,IND@CLE 10/11/2020 04:25PM ET,CLE,17.72
2270711757,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Deshaun Watson (15560222) (LOCKED),Antonio Gibson (15560328) (LOCKED),Kareem Hunt (15560296),DJ Chark Jr. (15560526) (LOCKED),Brandin Cooks (15560624) (LOCKED),DJ Moore (15560542) (LOCKED),Darren Fells (15560894) (LOCKED),Ezekiel Elliott (15560282),49ers (15561045),,RB,Joe Mixon (15560302) (LOCKED),Joe Mixon,15560302,RB/FLEX,6300,In Progress,CIN,18.32
2270711758,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jimmy Garoppolo (15560234),Ezekiel Elliott (15560282),James Robinson (15560290) (LOCKED),Brandon Aiyuk (15560564),Kendrick Bourne (15560620),Preston Williams (15560630),Travis Kelce (15560850) (LOCKED),Jonathan Taylor (15560306),Ravens (15561044) (LOCKED),,WR,Marquise Brown (15560534) (LOCKED),Marquise Brown,15560534,WR/FLEX,6300,In Progress,BAL,10.8
2270711759,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Baker Mayfield (15560231),Mike Davis (15560300) (LOCKED),David Johnson (15560324) (LOCKED),Odell Beckham Jr. (15560530),DeAndre Hopkins (15560510) (LOCKED),Marcus Johnson (15560686),Austin Hooper (15560876),Ezekiel Elliott (15560282),Chiefs (15561047) (LOCKED),,RB,Josh Jacobs (15560304) (LOCKED),Josh Jacobs,15560304,RB/FLEX,6300,In Progress,LV,17.5
2270711760,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Gardner Minshew II (15560225) (LOCKED),Clyde Edwards-Helaire (15560288) (LOCKED),Joe Mixon (15560302) (LOCKED),DJ Chark Jr. (15560526) (LOCKED),Brandin Cooks (15560624) (LOCKED),DJ Moore (15560542) (LOCKED),Tyler Eifert (15560892) (LOCKED),Ezekiel Elliott (15560282),Eagles (15561053) (LOCKED),,WR,Tyler Boyd (15560536) (LOCKED),Tyler Boyd,15560536,WR/FLEX,6200,In Progress,CIN,17.35
2270711761,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Kyle Allen (15560271) (LOCKED),Clyde Edwards-Helaire (15560288) (LOCKED),Ezekiel Elliott (15560282),Dontrelle Inman (15560650) (LOCKED),Terry McLaurin (15560538) (LOCKED),Robert Woods (15560532) (LOCKED),Hayden Hurst (15560868) (LOCKED),Kareem Hunt (15560296),Ravens (15561044) (LOCKED),,TE,Mark Andrews (15560852) (LOCKED),Mark Andrews,15560852,TE/FLEX,6200,In Progress,BAL,13.15
2270711762,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Gardner Minshew II (15560225) (LOCKED),Mike Davis (15560300) (LOCKED),Kenyan Drake (15560316) (LOCKED),DJ Chark Jr. (15560526) (LOCKED),Keelan Cole (15560592) (LOCKED),Kenny Stills (15560654) (LOCKED),George Kittle (15560848),Ezekiel Elliott (15560282),Bengals (15561060) (LOCKED),,QB,Gardner Minshew II (15560225) (LOCKED),Gardner Minshew II,15560225,QB,6200,In Progress,JAX,21.36
2270711763,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224) (LOCKED),Mike Davis (15560300) (LOCKED),Ezekiel Elliott (15560282),Josh Reynolds (15560634) (LOCKED),Robert Woods (15560532) (LOCKED),Isaiah Wright (15560786) (LOCKED),George Kittle (15560848),Kareem Hunt (15560296),Eagles (15561053) (LOCKED),,RB,Jonathan Taylor (15560306),Jonathan Taylor,15560306,RB/FLEX,6200,IND@CLE 10/11/2020 04:25PM ET,IND,14.75
