Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2289290533,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Daniel Jones (15607553) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Terry McLaurin (15607841) (LOCKED),Darnell Mooney (15608011) (LOCKED),Darius Slayton (15607849) (LOCKED),Evan Engram (15608123) (LOCKED),James Robinson (15607607) (LOCKED),Ravens (15608281) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2289467283,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Justin Jefferson (15607835) (LOCKED),Darnell Mooney (15608011) (LOCKED),Calvin Ridley (15607805) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),James Robinson (15607607) (LOCKED),Broncos (15608286) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2289467284,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Kenny Golladay (15607831) (LOCKED),Terry McLaurin (15607841) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Tyler Eifert (15608145) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Ravens (15608281) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2289467285,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Justin Jefferson (15607835) (LOCKED),Adam Thielen (15607807) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Trey Burton (15608155) (LOCKED),Aaron Jones (15607595),Jets (15608299),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2289467286,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Justin Jefferson (15607835) (LOCKED),Terry McLaurin (15607841) (LOCKED),Adam Thielen (15607807) (LOCKED),Hayden Hurst (15608125) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Bengals (15608302) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2289467287,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Julio Jones (15607815) (LOCKED),Jarvis Landry (15607865) (LOCKED),Adam Thielen (15607807) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Ronald Jones II (15607621),Bengals (15608302) (LOCKED),,
2289467288,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Kalif Raymond (15607945) (LOCKED),Darius Slayton (15607849) (LOCKED),Darren Fells (15608137) (LOCKED),Aaron Jones (15607595),Ravens (15608281) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2289467307,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matt Ryan (15607538) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Darnell Mooney (15608011) (LOCKED),Adam Thielen (15607807) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Hayden Hurst (15608125) (LOCKED),James Robinson (15607607) (LOCKED),Patriots (15608282) (LOCKED),,WR,Julio Jones (15607815) (LOCKED),Julio Jones,15607815,WR/FLEX,6700,In Progress,ATL,13.1
2289467308,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Alexander Mattison (15607599) (LOCKED),Chase Claypool (15607853) (LOCKED),Marvin Jones Jr. (15607857) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Tyler Eifert (15608145) (LOCKED),Aaron Jones (15607595),Panthers (15608292) (LOCKED),,QB,Ben Roethlisberger (15607537) (LOCKED),Ben Roethlisberger,15607537,QB,6700,In Progress,PIT,21.21
2289467309,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Daniel Jones (15607553) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Terry McLaurin (15607841) (LOCKED),Darius Slayton (15607849) (LOCKED),Golden Tate (15607885) (LOCKED),Eric Ebron (15608131) (LOCKED),Aaron Jones (15607595),Patriots (15608282) (LOCKED),,RB,Miles Sanders (15607609) (LOCKED),Miles Sanders,15607609,RB/FLEX,6600,In Progress,PHI,17.32
2289467310,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Kenny Golladay (15607831) (LOCKED),Justin Jefferson (15607835) (LOCKED),Julio Jones (15607815) (LOCKED),Kyle Rudolph (15608139) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Browns (15608296) (LOCKED),,QB,Matt Ryan (15607538) (LOCKED),Matt Ryan,15607538,QB,6600,In Progress,ATL,17.84
2289467311,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Keelan Cole (15607867) (LOCKED),Kenny Golladay (15607831) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Eric Ebron (15608131) (LOCKED),Ronald Jones II (15607621),Patriots (15608282) (LOCKED),,WR,JuJu Smith-Schuster (15607817) (LOCKED),JuJu Smith-Schuster,15607817,WR/FLEX,6600,In Progress,PIT,14.95
2289467312,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Alexander Mattison (15607599) (LOCKED),DJ Chark Jr. (15607827) (LOCKED),Kenny Golladay (15607831) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Trey Burton (15608155) (LOCKED),Ronald Jones II (15607621),Eagles (15608298) (LOCKED),,WR,Marquise Brown (15607819) (LOCKED),Marquise Brown,15607819,WR/FLEX,6500,In Progress,BAL,12.6
2289467313,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Russell Gage (15607873) (LOCKED),Justin Jefferson (15607835) (LOCKED),Darius Slayton (15607849) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Aaron Jones (15607595),Ravens (15608281) (LOCKED),,TE,Mark Andrews (15608107) (LOCKED),Mark Andrews,15608107,TE/FLEX,6500,In Progress,BAL,14.04
2289467314,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Mike Davis (15607603) (LOCKED),David Johnson (15607627) (LOCKED),Kenny Golladay (15607831) (LOCKED),Jarvis Landry (15607865) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),T.J. Hockenson (15608113) (LOCKED),Aaron Jones (15607595),Bengals (15608302) (LOCKED),,QB,Tom Brady (15607540),Tom Brady,15607540,QB,6500,GB@TB 10/18/2020 04:25PM ET,TB,21.52
2289467315,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),Jonathan Taylor (15607611) (LOCKED),A.J. Brown (15607845) (LOCKED),Will Fuller V (15607813) (LOCKED),Adam Humphries (15607909) (LOCKED),Eric Ebron (15608131) (LOCKED),Aaron Jones (15607595),Eagles (15608298) (LOCKED),,QB,Cam Newton (15607539) (LOCKED),Cam Newton,15607539,QB,6500,In Progress,NE,25.49
2289467316,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Baker Mayfield (15607549) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Odell Beckham Jr. (15607823) (LOCKED),Chase Claypool (15607853) (LOCKED),Darius Slayton (15607849) (LOCKED),Austin Hooper (15608135) (LOCKED),Joe Mixon (15607615) (LOCKED),Dolphins (15608293),,RB,Jonathan Taylor (15607611) (LOCKED),Jonathan Taylor,15607611,RB/FLEX,6400,In Progress,IND,14.88
2289467317,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),David Montgomery (15607623) (LOCKED),James Robinson (15607607) (LOCKED),Darius Slayton (15607849) (LOCKED),Adam Thielen (15607807) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Kyle Rudolph (15608139) (LOCKED),Aaron Jones (15607595),Patriots (15608282) (LOCKED),,QB,Gardner Minshew II (15607541) (LOCKED),Gardner Minshew II,15607541,QB,6400,In Progress,JAX,21.85
2289467318,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),David Johnson (15607627) (LOCKED),David Montgomery (15607623) (LOCKED),Justin Jefferson (15607835) (LOCKED),Calvin Ridley (15607805) (LOCKED),Adam Thielen (15607807) (LOCKED),Eric Ebron (15608131) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Giants (15608289) (LOCKED),,WR,Odell Beckham Jr. (15607823) (LOCKED),Odell Beckham Jr.,15607823,WR/FLEX,6400,In Progress,CLE,16.46
2289467319,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Daniel Jones (15607553) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Darius Slayton (15607849) (LOCKED),Golden Tate (15607885) (LOCKED),Adam Thielen (15607807) (LOCKED),Logan Thomas (15608151) (LOCKED),Aaron Jones (15607595),Eagles (15608298) (LOCKED),,WR,Chris Godwin (15607821),Chris Godwin,15607821,WR/FLEX,6400,GB@TB 10/18/2020 04:25PM ET,TB,15.65
2289467320,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),John Hightower (15608101) (LOCKED),Calvin Ridley (15607805) (LOCKED),Adam Thielen (15607807) (LOCKED),Kyle Rudolph (15608139) (LOCKED),Devonta Freeman (15607639) (LOCKED),Panthers (15608292) (LOCKED),,WR,DeVante Parker (15607829),DeVante Parker,15607829,WR/FLEX,6300,NYJ@MIA 10/18/2020 04:05PM ET,MIA,14.78
2289467321,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Tom Brady (15607540),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Mike Evans (15607811),Scotty Miller (15607899),Darnell Mooney (15608011) (LOCKED),Robert Tonyan (15608117),Alexander Mattison (15607599) (LOCKED),Titans (15608294) (LOCKED),,QB,Matthew Stafford (15607542) (LOCKED),Matthew Stafford,15607542,QB,6300,In Progress,DET,19.04
2289467322,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),David Johnson (15607627) (LOCKED),T.Y. Hilton (15607861) (LOCKED),Jarvis Landry (15607865) (LOCKED),Adam Thielen (15607807) (LOCKED),Hayden Hurst (15608125) (LOCKED),Alexander Mattison (15607599) (LOCKED),Jets (15608299),,WR,DJ Chark Jr. (15607827) (LOCKED),DJ Chark Jr.,15607827,WR/FLEX,6300,In Progress,JAX,14.5
2289467323,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matt Ryan (15607538) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Julio Jones (15607815) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Aaron Jones (15607595),Colts (15608283) (LOCKED),,RB,Todd Gurley II (15607613) (LOCKED),Todd Gurley II,15607613,RB/FLEX,6300,In Progress,ATL,16.46
2289467324,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),DJ Chark Jr. (15607827) (LOCKED),Marvin Jones Jr. (15607857) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Eric Ebron (15608131) (LOCKED),Jonathan Taylor (15607611) (LOCKED),Falcons (15608301) (LOCKED),,WR,Robby Anderson (15607825) (LOCKED),Robby Anderson,15607825,WR/FLEX,6300,In Progress,CAR,20.24
2289467325,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Derrick Henry (15607597) (LOCKED),James Robinson (15607607) (LOCKED),DJ Moore (15607837) (LOCKED),Adam Thielen (15607807) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Jonathan Taylor (15607611) (LOCKED),Ravens (15608281) (LOCKED),,RB,Joe Mixon (15607615) (LOCKED),Joe Mixon,15607615,RB/FLEX,6200,In Progress,CIN,17.74
2289467326,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),Kareem Hunt (15607605) (LOCKED),Randall Cobb (15607891) (LOCKED),Terry McLaurin (15607841) (LOCKED),Kalif Raymond (15607945) (LOCKED),Jonnu Smith (15608115) (LOCKED),Aaron Jones (15607595),Patriots (15608282) (LOCKED),,WR,Kenny Golladay (15607831) (LOCKED),Kenny Golladay,15607831,WR/FLEX,6200,In Progress,DET,16.95
