Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2250440152,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tee Higgins (15512841) (LOCKED),DJ Moore (15512789) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Tyler Eifert (15513135) (LOCKED),Chris Carson (15512515) (LOCKED),Ravens (15513305) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2259676322,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),DJ Chark Jr. (15512775) (LOCKED),A.J. Green (15512793) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Jordan Akins (15513143) (LOCKED),Mike Davis (15512527) (LOCKED),Buccaneers (15513311) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2259681202,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),DJ Moore (15512789) (LOCKED),Adam Thielen (15512759) (LOCKED),Irv Smith Jr. (15513213) (LOCKED),Chris Carson (15512515) (LOCKED),Bears (15513317),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2259681203,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Keelan Cole (15512845) (LOCKED),DK Metcalf (15512747) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Drew Sample (15513137) (LOCKED),Kenyan Drake (15512519) (LOCKED),Bears (15513317),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2259681204,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Justin Jefferson (15512803) (LOCKED),Marvin Jones Jr. (15512817) (LOCKED),Adam Thielen (15512759) (LOCKED),Jordan Akins (15513143) (LOCKED),Mike Davis (15512527) (LOCKED),Bengals (15513320) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2259681205,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Cole Beasley (15512831),Brandin Cooks (15512837) (LOCKED),Hunter Renfrow (15512833),Darren Waller (15513101),Chris Carson (15512515) (LOCKED),Buccaneers (15513311) (LOCKED),,
2259681206,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tyler Boyd (15512773) (LOCKED),Keelan Cole (15512845) (LOCKED),DeVante Parker (15512785) (LOCKED),Tyler Eifert (15513135) (LOCKED),Mike Davis (15512527) (LOCKED),Vikings (15513322) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2259681217,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Isaiah Ford (15512891) (LOCKED),Reece Fountain (15513077),DK Metcalf (15512747) (LOCKED),Greg Olsen (15513117) (LOCKED),Kenyan Drake (15512519) (LOCKED),Vikings (15513322) (LOCKED),,QB,Josh Allen (15512428),Josh Allen,15512428,QB,7300,BUF@LV 10/04/2020 04:25PM ET,BUF,35.64
2259681218,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Joe Burrow (15512435) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tyler Boyd (15512773) (LOCKED),Brandin Cooks (15512837) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Drew Sample (15513137) (LOCKED),Mike Davis (15512527) (LOCKED),Bills (15513308),,QB,Dak Prescott (15512429) (LOCKED),Dak Prescott,15512429,QB,7200,In Progress,DAL,31.64
2259681219,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Reece Fountain (15513077),Will Fuller V (15512779) (LOCKED),Adam Thielen (15512759) (LOCKED),Kyle Rudolph (15513141) (LOCKED),Joe Mixon (15512525) (LOCKED),Ravens (15513305) (LOCKED),,RB,Austin Ekeler (15512501) (LOCKED),Austin Ekeler,15512501,RB/FLEX,7100,In Progress,LAC,19.93
2259681220,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),Justin Jefferson (15512803) (LOCKED),DK Metcalf (15512747) (LOCKED),Kyle Rudolph (15513141) (LOCKED),David Montgomery (15512535),Cowboys (15513314) (LOCKED),,QB,Kyler Murray (15512430) (LOCKED),Kyler Murray,15512430,QB,7000,In Progress,ARI,28.38
2259681221,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Joe Burrow (15512435) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Chris Conley (15512889) (LOCKED),A.J. Green (15512793) (LOCKED),Tee Higgins (15512841) (LOCKED),Darren Waller (15513101),Mike Davis (15512527) (LOCKED),Colts (15513313),,WR,Tyler Lockett (15512743) (LOCKED),Tyler Lockett,15512743,WR/FLEX,7000,In Progress,SEA,25.63
2259681222,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Randall Cobb (15512823) (LOCKED),Brandin Cooks (15512837) (LOCKED),Allen Robinson II (15512753),Irv Smith Jr. (15513213) (LOCKED),Mike Davis (15512527) (LOCKED),Seahawks (15513312) (LOCKED),,RB,Nick Chubb (15512503) (LOCKED),Nick Chubb,15512503,RB/FLEX,7000,In Progress,CLE,20.97
2259681223,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tyler Boyd (15512773) (LOCKED),DJ Chark Jr. (15512775) (LOCKED),Brandin Cooks (15512837) (LOCKED),Tyler Eifert (15513135) (LOCKED),Kenyan Drake (15512519) (LOCKED),Bills (15513308),,RB,James Conner (15512505),James Conner,15512505,RB/FLEX,6900,Postponed,PIT,18.23
2259681224,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442) (LOCKED),Mike Davis (15512527) (LOCKED),Alvin Kamara (15512493) (LOCKED),Odell Beckham Jr. (15512783) (LOCKED),Amari Cooper (15512755) (LOCKED),DeVante Parker (15512785) (LOCKED),Austin Hooper (15513119) (LOCKED),David Montgomery (15512535),Vikings (15513322) (LOCKED),,WR,Tyreek Hill (15512745),Tyreek Hill,15512745,WR/FLEX,6900,Postponed,KC,19.53
2259681225,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),Hunter Renfrow (15512833),Adam Thielen (15512759) (LOCKED),Darren Fells (15513147) (LOCKED),Kenyan Drake (15512519) (LOCKED),Giants (15513325),,WR,DK Metcalf (15512747) (LOCKED),DK Metcalf,15512747,WR/FLEX,6800,In Progress,SEA,20.57
2259681226,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Josh Allen (15512428),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Cole Beasley (15512831),John Brown (15512805),Hunter Renfrow (15512833),Jordan Akins (15513143) (LOCKED),Mike Davis (15512527) (LOCKED),Seahawks (15513312) (LOCKED),,RB,Josh Jacobs (15512507),Josh Jacobs,15512507,RB/FLEX,6800,BUF@LV 10/04/2020 04:25PM ET,LV,19.9
2259681227,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Reece Fountain (15513077),Tyler Lockett (15512743) (LOCKED),David Moore (15512903) (LOCKED),Mike Gesicki (15513103) (LOCKED),Ronald Jones II (15512555) (LOCKED),Jaguars (15513318) (LOCKED),,WR,Stefon Diggs (15512749),Stefon Diggs,15512749,WR/FLEX,6800,BUF@LV 10/04/2020 04:25PM ET,BUF,21.27
2259681228,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Justin Jefferson (15512803) (LOCKED),Jarvis Landry (15512809) (LOCKED),Adam Thielen (15512759) (LOCKED),Darren Fells (15513147) (LOCKED),Kenyan Drake (15512519) (LOCKED),Ravens (15513305) (LOCKED),,TE,Travis Kelce (15513093),Travis Kelce,15513093,TE/FLEX,6800,Postponed,KC,18.57
2259681229,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tyler Boyd (15512773) (LOCKED),Keelan Cole (15512845) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Darren Waller (15513101),David Johnson (15512531) (LOCKED),Rams (15513306),,WR,Allen Robinson II (15512753),Allen Robinson II,15512753,WR/FLEX,6700,IND@CHI 10/04/2020 04:25PM ET,CHI,16.63
2259681230,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429) (LOCKED),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),Amari Cooper (15512755) (LOCKED),CeeDee Lamb (15512799) (LOCKED),Austin Hooper (15513119) (LOCKED),Mike Davis (15512527) (LOCKED),WAS Football Team (15513329) (LOCKED),,WR,Amari Cooper (15512755) (LOCKED),Amari Cooper,15512755,WR/FLEX,6700,In Progress,DAL,18.23
2259681231,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Joe Burrow (15512435) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tyler Boyd (15512773) (LOCKED),Reece Fountain (15513077),A.J. Green (15512793) (LOCKED),Tyler Eifert (15513135) (LOCKED),Chris Carson (15512515) (LOCKED),Buccaneers (15513311) (LOCKED),,QB,Jared Goff (15512431),Jared Goff,15512431,QB,6700,NYG@LAR 10/04/2020 04:05PM ET,LAR,22.24
2259681232,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Dak Prescott (15512429) (LOCKED),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Odell Beckham Jr. (15512783) (LOCKED),Reece Fountain (15513077),CeeDee Lamb (15512799) (LOCKED),Dalton Schultz (15513113) (LOCKED),Kenyan Drake (15512519) (LOCKED),Ravens (15513305) (LOCKED),,WR,Cooper Kupp (15512751),Cooper Kupp,15512751,WR/FLEX,6700,NYG@LAR 10/04/2020 04:05PM ET,LAR,16.9
2259681233,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Matthew Stafford (15512439) (LOCKED),Chris Carson (15512515) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Brandin Cooks (15512837) (LOCKED),Kenny Golladay (15512777) (LOCKED),Emmanuel Sanders (15512821) (LOCKED),T.J. Hockenson (15513107) (LOCKED),Mike Davis (15512527) (LOCKED),Ravens (15513305) (LOCKED),,RB,Jonathan Taylor (15512509),Jonathan Taylor,15512509,RB/FLEX,6600,IND@CHI 10/04/2020 04:25PM ET,IND,16.7
2259681234,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Tom Brady (15512436) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),Mike Evans (15512765) (LOCKED),Scotty Miller (15512863) (LOCKED),Hunter Henry (15513109) (LOCKED),Mike Davis (15512527) (LOCKED),Raiders (15513323),,WR,JuJu Smith-Schuster (15512757),JuJu Smith-Schuster,15512757,WR/FLEX,6600,Postponed,PIT,17.67
2259681235,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Kenyan Drake (15512519) (LOCKED),Alvin Kamara (15512493) (LOCKED),Brandin Cooks (15512837) (LOCKED),Tyler Lockett (15512743) (LOCKED),Preston Williams (15512839) (LOCKED),Greg Olsen (15513117) (LOCKED),David Montgomery (15512535),Giants (15513325),,QB,Deshaun Watson (15512432) (LOCKED),Deshaun Watson,15512432,QB,6600,In Progress,HOU,18.53
2259681236,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Kenyan Drake (15512519) (LOCKED),Alvin Kamara (15512493) (LOCKED),Stefon Diggs (15512749),DeVante Parker (15512785) (LOCKED),Hunter Renfrow (15512833),Darren Waller (15513101),Joe Mixon (15512525) (LOCKED),Giants (15513325),,WR,Adam Thielen (15512759) (LOCKED),Adam Thielen,15512759,WR/FLEX,6600,In Progress,MIN,17.47
2259681237,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Derek Carr (15512450),Mike Davis (15512527) (LOCKED),Alvin Kamara (15512493) (LOCKED),John Brown (15512805),Hunter Renfrow (15512833),Adam Thielen (15512759) (LOCKED),Darren Waller (15513101),David Montgomery (15512535),Ravens (15513305) (LOCKED),,QB,Ben Roethlisberger (15512433),Ben Roethlisberger,15512433,QB,6500,Postponed,PIT,21.16
2259681238,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Baker Mayfield (15512442) (LOCKED),Kenyan Drake (15512519) (LOCKED),Alvin Kamara (15512493) (LOCKED),Odell Beckham Jr. (15512783) (LOCKED),Jarvis Landry (15512809) (LOCKED),DK Metcalf (15512747) (LOCKED),Dalton Schultz (15513113) (LOCKED),David Montgomery (15512535),Raiders (15513323),,WR,Keenan Allen (15512761) (LOCKED),Keenan Allen,15512761,WR/FLEX,6500,In Progress,LAC,19.5
2259681239,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Deshaun Watson (15512432) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Will Fuller V (15512779) (LOCKED),A.J. Green (15512793) (LOCKED),Justin Jefferson (15512803) (LOCKED),Darren Fells (15513147) (LOCKED),Mike Davis (15512527) (LOCKED),WAS Football Team (15513329) (LOCKED),,WR,Chris Godwin (15512763) (LOCKED),Chris Godwin,15512763,WR/FLEX,6500,In Progress,TB,15.65
2259681240,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Ryan Fitzpatrick (15512448) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tyler Johnson (15512921) (LOCKED),DK Metcalf (15512747) (LOCKED),DeVante Parker (15512785) (LOCKED),Mike Gesicki (15513103) (LOCKED),David Montgomery (15512535),Texans (15513326) (LOCKED),,RB,James Robinson (15512511) (LOCKED),James Robinson,15512511,RB/FLEX,6500,In Progress,JAX,21.63
2259681241,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Chris Carson (15512515) (LOCKED),Alvin Kamara (15512493) (LOCKED),Tyler Boyd (15512773) (LOCKED),Will Fuller V (15512779) (LOCKED),Justin Jefferson (15512803) (LOCKED),Kyle Rudolph (15513141) (LOCKED),Mike Davis (15512527) (LOCKED),Rams (15513306),,WR,Mike Evans (15512765) (LOCKED),Mike Evans,15512765,WR/FLEX,6400,In Progress,TB,15.93
2259681242,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Teddy Bridgewater (15512446) (LOCKED),Ezekiel Elliott (15512495) (LOCKED),Alvin Kamara (15512493) (LOCKED),Robby Anderson (15512797) (LOCKED),Christian Kirk (15512853) (LOCKED),DJ Moore (15512789) (LOCKED),Jordan Akins (15513143) (LOCKED),Chris Carson (15512515) (LOCKED),Buccaneers (15513311) (LOCKED),,QB,Cam Newton (15512434),Cam Newton,15512434,QB,6400,Postponed,NE,25.49
2259681243,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Gardner Minshew II (15512438) (LOCKED),Mike Davis (15512527) (LOCKED),Alvin Kamara (15512493) (LOCKED),DJ Chark Jr. (15512775) (LOCKED),Tee Higgins (15512841) (LOCKED),Tyler Lockett (15512743) (LOCKED),Tyler Eifert (15513135) (LOCKED),Devin Singletary (15512521),Colts (15513313),,RB,Clyde Edwards-Helaire (15512513),Clyde Edwards-Helaire,15512513,RB/FLEX,6400,Postponed,KC,18.07
2259681244,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Russell Wilson (15512426) (LOCKED),Kenyan Drake (15512519) (LOCKED),Alvin Kamara (15512493) (LOCKED),DK Metcalf (15512747) (LOCKED),David Moore (15512903) (LOCKED),Laviska Shenault Jr. (15512851) (LOCKED),Mike Gesicki (15513103) (LOCKED),Devin Singletary (15512521),Giants (15513325),,WR,Marquise Brown (15512769) (LOCKED),Marquise Brown,15512769,WR/FLEX,6300,In Progress,BAL,10.2
2259681245,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93138862,$20,Kirk Cousins (15512445) (LOCKED),Mike Davis (15512527) (LOCKED),Alvin Kamara (15512493) (LOCKED),Amari Cooper (15512755) (LOCKED),Will Fuller V (15512779) (LOCKED),Adam Thielen (15512759) (LOCKED),Irv Smith Jr. (15513213) (LOCKED),David Montgomery (15512535),Buccaneers (15513311) (LOCKED),,RB,Chris Carson (15512515) (LOCKED),Chris Carson,15512515,RB/FLEX,6300,In Progress,SEA,18.33
