Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2270734651,NFL Wrangler Let the Games Begin,93172533,$0,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,1. Column A lists all of your contest entries for this draftgroup
2270711717,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,2. Your current lineup is listed next to each entry (blank for reservations)
2270711718,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2270711719,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2270711720,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,5. For faster processing only include entries you are changing in the file you upload
2270711721,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,
2270711722,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2270711733,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Derrick Henry (15560284),Derrick Henry,15560284,RB/FLEX,7000,Postponed,TEN,19.17
2270711734,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Stefon Diggs (15560516),Stefon Diggs,15560516,WR/FLEX,7000,Postponed,BUF,21.08
2270711735,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,James Conner (15560286),James Conner,15560286,RB/FLEX,6900,PHI@PIT 10/11/2020 01:00PM ET,PIT,18.23
2270711736,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Deshaun Watson (15560222),Deshaun Watson,15560222,QB,6900,JAX@HOU 10/11/2020 01:00PM ET,HOU,19.87
2270711737,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Tyreek Hill (15560518),Tyreek Hill,15560518,WR/FLEX,6900,LV@KC 10/11/2020 01:00PM ET,KC,18.75
2270711738,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Julio Jones (15560520),Julio Jones,15560520,WR/FLEX,6800,CAR@ATL 10/11/2020 01:00PM ET,ATL,13.1
2270711739,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Clyde Edwards-Helaire (15560288),Clyde Edwards-Helaire,15560288,RB/FLEX,6800,LV@KC 10/11/2020 01:00PM ET,KC,16.58
2270711740,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Cam Newton (15589129),Cam Newton,15589129,QB,6700,Postponed,NE,25.49
2270711741,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,JuJu Smith-Schuster (15560522),JuJu Smith-Schuster,15560522,WR/FLEX,6700,PHI@PIT 10/11/2020 01:00PM ET,PIT,17.67
2270711742,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,James Robinson (15560290),James Robinson,15560290,RB/FLEX,6700,JAX@HOU 10/11/2020 01:00PM ET,JAX,19.9
2270711743,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Ben Roethlisberger (15560223),Ben Roethlisberger,15560223,QB,6600,PHI@PIT 10/11/2020 01:00PM ET,PIT,21.16
2270711744,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Will Fuller V (15560524),Will Fuller V,15560524,WR/FLEX,6600,JAX@HOU 10/11/2020 01:00PM ET,HOU,15.85
2270711745,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,TE,George Kittle (15560848),George Kittle,15560848,TE/FLEX,6600,MIA@SF 10/11/2020 04:05PM ET,SF,26.2
2270711746,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Jared Goff (15560224),Jared Goff,15560224,QB,6500,LAR@WAS 10/11/2020 01:00PM ET,LAR,19.60
2270711747,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Cooper Kupp (15560528),Cooper Kupp,15560528,WR/FLEX,6500,LAR@WAS 10/11/2020 01:00PM ET,LAR,17.1
2270711748,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Miles Sanders (15560292),Miles Sanders,15560292,RB/FLEX,6500,PHI@PIT 10/11/2020 01:00PM ET,PHI,15.13
2270711749,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,DJ Chark Jr. (15560526),DJ Chark Jr.,15560526,WR/FLEX,6500,JAX@HOU 10/11/2020 01:00PM ET,JAX,17.8
2270711750,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Nick Chubb (15560294),Nick Chubb,15560294,RB/FLEX,6500,IND@CLE 10/11/2020 04:25PM ET,CLE,16.8
2270711751,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Kareem Hunt (15560296),Kareem Hunt,15560296,RB/FLEX,6500,IND@CLE 10/11/2020 04:25PM ET,CLE,17.42
2270711752,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Melvin Gordon III (15560298),Melvin Gordon III,15560298,RB/FLEX,6400,Postponed,DEN,17.4
2270711753,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Mike Davis (15560300),Mike Davis,15560300,RB/FLEX,6400,CAR@ATL 10/11/2020 01:00PM ET,CAR,15.18
2270711754,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Robert Woods (15560532),Robert Woods,15560532,WR/FLEX,6400,LAR@WAS 10/11/2020 01:00PM ET,LAR,15.85
2270711755,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,TE,Travis Kelce (15560850),Travis Kelce,15560850,TE/FLEX,6400,LV@KC 10/11/2020 01:00PM ET,KC,16.42
2270711756,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Odell Beckham Jr. (15560530),Odell Beckham Jr.,15560530,WR/FLEX,6400,IND@CLE 10/11/2020 04:25PM ET,CLE,17.72
2270711757,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Joe Mixon (15560302),Joe Mixon,15560302,RB/FLEX,6300,CIN@BAL 10/11/2020 01:00PM ET,CIN,18.32
2270711758,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Marquise Brown (15560534),Marquise Brown,15560534,WR/FLEX,6300,CIN@BAL 10/11/2020 01:00PM ET,BAL,10.8
2270711759,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Josh Jacobs (15560304),Josh Jacobs,15560304,RB/FLEX,6300,LV@KC 10/11/2020 01:00PM ET,LV,17.5
2270711760,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Tyler Boyd (15560536),Tyler Boyd,15560536,WR/FLEX,6200,CIN@BAL 10/11/2020 01:00PM ET,CIN,17.35
2270711761,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,TE,Mark Andrews (15560852),Mark Andrews,15560852,TE/FLEX,6200,CIN@BAL 10/11/2020 01:00PM ET,BAL,13.15
2270711762,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Gardner Minshew II (15560225),Gardner Minshew II,15560225,QB,6200,JAX@HOU 10/11/2020 01:00PM ET,JAX,21.36
2270711763,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Jonathan Taylor (15560306),Jonathan Taylor,15560306,RB/FLEX,6200,IND@CLE 10/11/2020 04:25PM ET,IND,14.75
2270711764,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Matt Ryan (15560226),Matt Ryan,15560226,QB,6100,CAR@ATL 10/11/2020 01:00PM ET,ATL,20.31
2270711765,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Terry McLaurin (15560538),Terry McLaurin,15560538,WR/FLEX,6100,LAR@WAS 10/11/2020 01:00PM ET,WAS,19.25
2270711766,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Raheem Mostert (15560308),Raheem Mostert,15560308,RB/FLEX,6100,MIA@SF 10/11/2020 04:05PM ET,SF,21.9
2270711767,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,DJ Moore (15560542),DJ Moore,15560542,WR/FLEX,6000,CAR@ATL 10/11/2020 01:00PM ET,CAR,12.45
2270711768,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Ryan Tannehill (15560228),Ryan Tannehill,15560228,QB,6000,Postponed,TEN,20.95
2270711769,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Joe Burrow (15560227),Joe Burrow,15560227,QB,6000,CIN@BAL 10/11/2020 01:00PM ET,CIN,22.08
2270711770,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,CeeDee Lamb (15560540),CeeDee Lamb,15560540,WR/FLEX,6000,NYG@DAL 10/11/2020 04:25PM ET,DAL,17.05
2270711771,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,QB,Teddy Bridgewater (15560229),Teddy Bridgewater,15560229,QB,5900,CAR@ATL 10/11/2020 01:00PM ET,CAR,18.97
2270711772,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,WR,Robby Anderson (15560546),Robby Anderson,15560546,WR/FLEX,5900,CAR@ATL 10/11/2020 01:00PM ET,CAR,19.68
2270711773,NFL $4M Fantasy Football Millionaire [$1M to 1st + ToC Entry],93673931,$20,Jared Goff (15560224),Kareem Hunt (15560296),Josh Jacobs (15560304),Robby Anderson (15560546),CeeDee Lamb (15560540),DeVante Parker (15560544),Drew Sample (15560880),DJ Chark Jr. (15560526),Browns (15561054),,RB,Devin Singletary (15560310),Devin Singletary,15560310,RB/FLEX,5900,Postponed,BUF,13.68
