Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2321774427,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,1. Column A lists all of your contest entries for this draftgroup
2321783256,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,2. Your current lineup is listed next to each entry (blank for reservations)
2321783257,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2321783258,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2321783259,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,5. For faster processing only include entries you are changing in the file you upload
2321783260,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,
2321783261,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2321783272,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Michael Thomas (15677319),Michael Thomas,15677319,WR/FLEX,7300,NO@CHI 11/01/2020 04:25PM ET,NO,4.7
2321783273,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Adam Thielen (15677321),Adam Thielen,15677321,WR/FLEX,7200,MIN@GB 11/01/2020 01:00PM ET,MIN,20.83
2321783274,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Tyler Lockett (15677323),Tyler Lockett,15677323,WR/FLEX,7100,SF@SEA 11/01/2020 04:25PM ET,SEA,24.53
2321783275,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Allen Robinson II (15677325),Allen Robinson II,15677325,WR/FLEX,7000,NO@CHI 11/01/2020 04:25PM ET,CHI,16.61
2321783276,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Josh Allen (15677044),Josh Allen,15677044,QB,7000,NE@BUF 11/01/2020 01:00PM ET,BUF,26.73
2321783277,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,TE,George Kittle (15677617),George Kittle,15677617,TE/FLEX,7000,SF@SEA 11/01/2020 04:25PM ET,SF,19.64
2321783278,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Justin Herbert (15677045),Justin Herbert,15677045,QB,6900,LAC@DEN 11/01/2020 04:05PM ET,LAC,27.76
2321783279,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,A.J. Brown (15677327),A.J. Brown,15677327,WR/FLEX,6900,TEN@CIN 11/01/2020 01:00PM ET,TEN,20.8
2321783280,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Kareem Hunt (15677105),Kareem Hunt,15677105,RB/FLEX,6900,LV@CLE 11/01/2020 01:00PM ET,CLE,16.41
2321783281,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Ryan Tannehill (15677046),Ryan Tannehill,15677046,QB,6800,TEN@CIN 11/01/2020 01:00PM ET,TEN,23.97
2321783282,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Stefon Diggs (15677329),Stefon Diggs,15677329,WR/FLEX,6800,NE@BUF 11/01/2020 01:00PM ET,BUF,19.33
2321783283,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Tyreek Hill (15677331),Tyreek Hill,15677331,WR/FLEX,6700,NYJ@KC 11/01/2020 01:00PM ET,KC,16.61
2321783284,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Jonathan Taylor (15677107),Jonathan Taylor,15677107,RB/FLEX,6600,IND@DET 11/01/2020 01:00PM ET,IND,14.98
2321783285,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Kenny Golladay (15677333),Kenny Golladay,15677333,WR/FLEX,6600,IND@DET 11/01/2020 01:00PM ET,DET,17.95
2321783286,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Ben Roethlisberger (15677047),Ben Roethlisberger,15677047,QB,6600,PIT@BAL 11/01/2020 01:00PM ET,PIT,18.57
2321783287,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Tyler Boyd (15677335),Tyler Boyd,15677335,WR/FLEX,6600,TEN@CIN 11/01/2020 01:00PM ET,CIN,17.32
2321783288,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,TE,Travis Kelce (15677619),Travis Kelce,15677619,TE/FLEX,6600,NYJ@KC 11/01/2020 01:00PM ET,KC,17.44
2321783289,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Justin Jefferson (15677337),Justin Jefferson,15677337,WR/FLEX,6500,MIN@GB 11/01/2020 01:00PM ET,MIN,18.45
2321783290,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Clyde Edwards-Helaire (15677109),Clyde Edwards-Helaire,15677109,RB/FLEX,6500,NYJ@KC 11/01/2020 01:00PM ET,KC,16.36
2321783291,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Jared Goff (15677048),Jared Goff,15677048,QB,6500,LAR@MIA 11/01/2020 01:00PM ET,LAR,19.94
2321783292,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Cooper Kupp (15677339),Cooper Kupp,15677339,WR/FLEX,6500,LAR@MIA 11/01/2020 01:00PM ET,LAR,13.71
2321783293,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Matthew Stafford (15677049),Matthew Stafford,15677049,QB,6400,IND@DET 11/01/2020 01:00PM ET,DET,18.48
2321783294,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,James Conner (15677111),James Conner,15677111,RB/FLEX,6400,PIT@BAL 11/01/2020 01:00PM ET,PIT,17.38
2321783295,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Nick Chubb (15677115),Nick Chubb,15677115,RB/FLEX,6400,LV@CLE 11/01/2020 01:00PM ET,CLE,16.8
2321783296,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Raheem Mostert (15677113),Raheem Mostert,15677113,RB/FLEX,6400,SF@SEA 11/01/2020 04:25PM ET,SF,17.08
2321783297,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Drew Brees (15677050),Drew Brees,15677050,QB,6300,NO@CHI 11/01/2020 04:25PM ET,NO,20.45
2321783298,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Joe Mixon (15677117),Joe Mixon,15677117,RB/FLEX,6300,TEN@CIN 11/01/2020 01:00PM ET,CIN,17.27
2321783299,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Robert Woods (15677341),Robert Woods,15677341,WR/FLEX,6300,LAR@MIA 11/01/2020 01:00PM ET,LAR,14.43
2321783300,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Keenan Allen (15677343),Keenan Allen,15677343,WR/FLEX,6200,LAC@DEN 11/01/2020 04:05PM ET,LAC,18.18
2321783301,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Joe Burrow (15677051),Joe Burrow,15677051,QB,6200,TEN@CIN 11/01/2020 01:00PM ET,CIN,22.00
2321783302,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Josh Jacobs (15677121),Josh Jacobs,15677121,RB/FLEX,6200,LV@CLE 11/01/2020 01:00PM ET,LV,16.43
2321783303,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Chris Carson (15677119),Chris Carson,15677119,RB/FLEX,6200,SF@SEA 11/01/2020 04:25PM ET,SEA,17.5
2321783304,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Jamaal Williams (15677123),Jamaal Williams,15677123,RB/FLEX,6100,MIN@GB 11/01/2020 01:00PM ET,GB,10.42
2321783305,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Marquise Brown (15677345),Marquise Brown,15677345,WR/FLEX,6100,PIT@BAL 11/01/2020 01:00PM ET,BAL,12.12
2321783306,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Baker Mayfield (15677052),Baker Mayfield,15677052,QB,6100,LV@CLE 11/01/2020 01:00PM ET,CLE,16.04
2321783307,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Kirk Cousins (15677053),Kirk Cousins,15677053,QB,6000,MIN@GB 11/01/2020 01:00PM ET,MIN,17.75
2321783308,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Alexander Mattison (15677125),Alexander Mattison,15677125,RB/FLEX,6000,MIN@GB 11/01/2020 01:00PM ET,MIN,8.1
2321783309,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,Jeff Wilson Jr. (15677127),Jeff Wilson Jr.,15677127,RB/FLEX,6000,SF@SEA 11/01/2020 04:25PM ET,SF,10.47
2321783310,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Deebo Samuel (15677347),Deebo Samuel,15677347,WR/FLEX,6000,SF@SEA 11/01/2020 04:25PM ET,SF,10.48
2321783311,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,QB,Philip Rivers (15677054),Philip Rivers,15677054,QB,5900,IND@DET 11/01/2020 01:00PM ET,IND,15.32
2321783312,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,RB,David Montgomery (15677129),David Montgomery,15677129,RB/FLEX,5900,NO@CHI 11/01/2020 04:25PM ET,CHI,13.24
2321783313,NFL $3.5M Fantasy Football Millionaire [$1M to 1st],95207246,$10,Drew Brees (15677050),Josh Jacobs (15677121),Joe Mixon (15677117),Tyler Boyd (15677335),Justin Jefferson (15677337),Cooper Kupp (15677339),Robert Tonyan (15677637),Justin Jackson (15677157),Lions (15677822),,WR,Odell Beckham Jr. (15677349),Odell Beckham Jr.,15677349,WR/FLEX,5900,LV@CLE 11/01/2020 01:00PM ET,CLE,12.40
