Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2169356456,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),DeAndre Hopkins (15033809),Dante Pettis (15033983),Trent Taylor (15033957),T.J. Hockenson (15034327) (LOCKED),Alvin Kamara (15033487),Eagles (15034594) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2169371496,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Davante Adams (15033803) (LOCKED),Marquise Brown (15033861) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),Irv Smith Jr. (15034377) (LOCKED),Alvin Kamara (15033487),Bengals (15034600),,2. Your current lineup is listed next to each entry (blank for reservations)
2169371497,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Philip Rivers (15033408) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Parris Campbell (15033959) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Laviska Shenault Jr. (15033909) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Eagles (15034594) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2169371498,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Marquise Brown (15033861) (LOCKED),Christian Kirk (15033865),Dante Pettis (15033983),George Kittle (15034307),Alvin Kamara (15033487),Dolphins (15034615) (LOCKED),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2169371499,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),DJ Chark Jr. (15033823) (LOCKED),Chris Conley (15033945) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Packers (15034604) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2169371500,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Russell Wilson (15033398) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Marquise Brown (15033861) (LOCKED),DK Metcalf (15033839) (LOCKED),David Moore (15033991) (LOCKED),Hayden Hurst (15034325) (LOCKED),Alvin Kamara (15033487),Colts (15034599) (LOCKED),,
2169371501,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Mitchell Trubisky (15033420) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Ted Ginn Jr. (15033975) (LOCKED),Marvin Jones Jr. (15033851) (LOCKED),Darnell Mooney (15034079) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Patriots (15034597) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2169371512,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Marquise Brown (15033861) (LOCKED),Justin Jefferson (15033877) (LOCKED),Adam Thielen (15033811) (LOCKED),Jace Sternberger (15034345) (LOCKED),Alvin Kamara (15033487),Chargers (15034601),,RB,Austin Ekeler (15033489),Austin Ekeler,15033489,RB/FLEX,7000,LAC@CIN 09/13/2020 04:05PM ET,LAC,20.19
2169371513,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Kendrick Bourne (15033869),Marvin Jones Jr. (15033851) (LOCKED),Christian Kirk (15033865),Jordan Reed (15034387),Alvin Kamara (15033487),Bills (15034593) (LOCKED),,WR,Mike Evans (15033807),Mike Evans,15033807,WR/FLEX,6900,TB@NO 09/13/2020 04:25PM ET,TB,18.59
2169371514,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Todd Gurley II (15033505) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Davante Adams (15033803) (LOCKED),Marquise Brown (15033861) (LOCKED),Olabisi Johnson (15033935) (LOCKED),Jace Sternberger (15034345) (LOCKED),Boston Scott (15033541) (LOCKED),Lions (15034602) (LOCKED),,RB,Aaron Jones (15033491) (LOCKED),Aaron Jones,15033491,RB/FLEX,6900,In Progress,GB,21.09
2169371515,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Josh Jacobs (15033493) (LOCKED),Boston Scott (15033541) (LOCKED),Christian Kirk (15033865),Calvin Ridley (15033827) (LOCKED),Trent Taylor (15033957),George Kittle (15034307),Alvin Kamara (15033487),Patriots (15034597) (LOCKED),,QB,Drew Brees (15033399),Drew Brees,15033399,QB,6800,TB@NO 09/13/2020 04:25PM ET,NO,21.22
2169371516,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Mitchell Trubisky (15033420) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Marquise Brown (15033861) (LOCKED),Anthony Miller (15033867) (LOCKED),Allen Robinson II (15033815) (LOCKED),T.J. Hockenson (15034327) (LOCKED),Alvin Kamara (15033487),Packers (15034604) (LOCKED),,RB,Josh Jacobs (15033493) (LOCKED),Josh Jacobs,15033493,RB/FLEX,6800,In Progress,LV,15.97
2169371517,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Teddy Bridgewater (15033409) (LOCKED),Todd Gurley II (15033505) (LOCKED),Boston Scott (15033541) (LOCKED),DJ Moore (15033813) (LOCKED),Henry Ruggs III (15033863) (LOCKED),Curtis Samuel (15033889) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Vikings (15034606) (LOCKED),,WR,DeAndre Hopkins (15033809),DeAndre Hopkins,15033809,WR/FLEX,6800,ARI@SF 09/13/2020 04:25PM ET,ARI,19.08
2169371518,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Russell Wilson (15033398) (LOCKED),Josh Jacobs (15033493) (LOCKED),Boston Scott (15033541) (LOCKED),Marquise Brown (15033861) (LOCKED),Julio Jones (15033801) (LOCKED),David Moore (15033991) (LOCKED),Greg Olsen (15034331) (LOCKED),Alvin Kamara (15033487),Bills (15034593) (LOCKED),,QB,Matt Ryan (15033400) (LOCKED),Matt Ryan,15033400,QB,6700,In Progress,ATL,21.29
2169371519,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Kenyan Drake (15033499),Boston Scott (15033541) (LOCKED),Davante Adams (15033803) (LOCKED),Marquise Brown (15033861) (LOCKED),Adam Thielen (15033811) (LOCKED),Irv Smith Jr. (15034377) (LOCKED),Alvin Kamara (15033487),Bills (15034593) (LOCKED),,WR,Adam Thielen (15033811) (LOCKED),Adam Thielen,15033811,WR/FLEX,6700,In Progress,MIN,12.47
2169371520,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Brandon Aiyuk (15033901),DeAndre Hopkins (15033809),DK Metcalf (15033839) (LOCKED),Jordan Reed (15034387),Alvin Kamara (15033487),Bengals (15034600),,RB,Joe Mixon (15033495),Joe Mixon,15033495,RB/FLEX,6700,LAC@CIN 09/13/2020 04:05PM ET,CIN,14.84
2169371521,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Kendrick Bourne (15033869),DeAndre Hopkins (15033809),Dante Pettis (15033983),Hayden Hurst (15034325) (LOCKED),Joe Mixon (15033495),Bills (15034593) (LOCKED),,WR,DJ Moore (15033813) (LOCKED),DJ Moore,15033813,WR/FLEX,6600,In Progress,CAR,16.23
2169371522,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Todd Gurley II (15033505) (LOCKED),Josh Jacobs (15033493) (LOCKED),Marquise Brown (15033861) (LOCKED),DeAndre Hopkins (15033809),Dante Pettis (15033983),George Kittle (15034307),Boston Scott (15033541) (LOCKED),Bills (15034593) (LOCKED),,WR,Allen Robinson II (15033815) (LOCKED),Allen Robinson II,15033815,WR/FLEX,6500,In Progress,CHI,16.49
2169371523,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Austin Ekeler (15033489),Antonio Gibson (15033595) (LOCKED),N'Keal Harry (15033907) (LOCKED),DeAndre Hopkins (15033809),Trent Taylor (15033957),George Kittle (15034307),Alvin Kamara (15033487),Bills (15034593) (LOCKED),,QB,Tom Brady (15033402),Tom Brady,15033402,QB,6500,TB@NO 09/13/2020 04:25PM ET,TB,17.36
2169371524,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Justin Jefferson (15033877) (LOCKED),Allen Lazard (15033875) (LOCKED),Marquez Valdes-Scantling (15033933) (LOCKED),T.J. Hockenson (15034327) (LOCKED),Alvin Kamara (15033487),49ers (15034595),,WR,Tyler Lockett (15033817) (LOCKED),Tyler Lockett,15033817,WR/FLEX,6500,In Progress,SEA,16.06
2169371525,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Davante Adams (15033803) (LOCKED),Olabisi Johnson (15033935) (LOCKED),Allen Lazard (15033875) (LOCKED),Hayden Hurst (15034325) (LOCKED),Austin Ekeler (15033489),Jets (15034613) (LOCKED),,RB,Nick Chubb (15033497) (LOCKED),Nick Chubb,15033497,RB/FLEX,6500,In Progress,CLE,17.45
2169371526,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Philip Rivers (15033408) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Davante Adams (15033803) (LOCKED),Chris Conley (15033945) (LOCKED),Michael Pittman Jr. (15033903) (LOCKED),Jack Doyle (15034347) (LOCKED),Alvin Kamara (15033487),Lions (15034602) (LOCKED),,QB,Josh Allen (15033401) (LOCKED),Josh Allen,15033401,QB,6500,In Progress,BUF,19.35
2169371527,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Austin Ekeler (15033489),Boston Scott (15033541) (LOCKED),Davante Adams (15033803) (LOCKED),Marquise Brown (15033861) (LOCKED),Allen Lazard (15033875) (LOCKED),Kyle Rudolph (15034339) (LOCKED),Alvin Kamara (15033487),Eagles (15034594) (LOCKED),,WR,Stefon Diggs (15033821) (LOCKED),Stefon Diggs,15033821,WR/FLEX,6400,In Progress,BUF,14.62
2169371528,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Jimmy Garoppolo (15033413),Austin Ekeler (15033489),Christian McCaffrey (15033483) (LOCKED),Larry Fitzgerald (15033899),Terry McLaurin (15033847) (LOCKED),Dante Pettis (15033983),Jordan Reed (15034387),Alvin Kamara (15033487),Patriots (15034597) (LOCKED),,WR,Keenan Allen (15033819),Keenan Allen,15033819,WR/FLEX,6400,LAC@CIN 09/13/2020 04:05PM ET,LAC,16.72
2169371529,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Teddy Bridgewater (15033409) (LOCKED),Chris Carson (15033503) (LOCKED),Boston Scott (15033541) (LOCKED),Robby Anderson (15033887) (LOCKED),Marquise Brown (15033861) (LOCKED),DJ Moore (15033813) (LOCKED),Darren Waller (15034311) (LOCKED),Alvin Kamara (15033487),Eagles (15034594) (LOCKED),,QB,Kyler Murray (15033403),Kyler Murray,15033403,QB,6400,ARI@SF 09/13/2020 04:25PM ET,ARI,19.64
2169371530,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Russell Wilson (15033398) (LOCKED),Austin Ekeler (15033489),Boston Scott (15033541) (LOCKED),Tyler Lockett (15033817) (LOCKED),David Moore (15033991) (LOCKED),Calvin Ridley (15033827) (LOCKED),T.J. Hockenson (15034327) (LOCKED),Alvin Kamara (15033487),Eagles (15034594) (LOCKED),,RB,Kenyan Drake (15033499),Kenyan Drake,15033499,RB/FLEX,6400,ARI@SF 09/13/2020 04:25PM ET,ARI,16.01
2169371531,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Todd Gurley II (15033505) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Parris Campbell (15033959) (LOCKED),DJ Chark Jr. (15033823) (LOCKED),Laviska Shenault Jr. (15033909) (LOCKED),George Kittle (15034307),Antonio Gibson (15033595) (LOCKED),Falcons (15034609) (LOCKED),,QB,Carson Wentz (15033405) (LOCKED),Carson Wentz,15033405,QB,6300,In Progress,PHI,17.94
2169371532,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Le'Veon Bell (15033517) (LOCKED),Antonio Gibson (15033595) (LOCKED),Davante Adams (15033803) (LOCKED),Olabisi Johnson (15033935) (LOCKED),Adam Thielen (15033811) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Browns (15034611) (LOCKED),,RB,Miles Sanders (15033501) (LOCKED),Miles Sanders,15033501,RB/FLEX,6300,In Progress,PHI,13.73
2169371533,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Philip Rivers (15033408) (LOCKED),Dalvin Cook (15033485) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Marquise Brown (15033861) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Laviska Shenault Jr. (15033909) (LOCKED),Jack Doyle (15034347) (LOCKED),Antonio Gibson (15033595) (LOCKED),Patriots (15034597) (LOCKED),,QB,Aaron Rodgers (15033404) (LOCKED),Aaron Rodgers,15033404,QB,6300,In Progress,GB,18.81
2169371534,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Mitchell Trubisky (15033420) (LOCKED),Josh Jacobs (15033493) (LOCKED),Boston Scott (15033541) (LOCKED),Marvin Hall (15033949) (LOCKED),Anthony Miller (15033867) (LOCKED),Allen Robinson II (15033815) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Ravens (15034598) (LOCKED),,WR,DJ Chark Jr. (15033823) (LOCKED),DJ Chark Jr.,15033823,WR/FLEX,6300,In Progress,JAX,15.65
2169371535,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Lamar Jackson (15033397) (LOCKED),Antonio Gibson (15033595) (LOCKED),Todd Gurley II (15033505) (LOCKED),Odell Beckham Jr. (15033835) (LOCKED),Miles Boykin (15033931) (LOCKED),Marquise Brown (15033861) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Jaguars (15034610) (LOCKED),,QB,Matthew Stafford (15033406) (LOCKED),Matthew Stafford,15033406,QB,6200,In Progress,DET,23.32
2169371536,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Kirk Cousins (15033415) (LOCKED),Todd Gurley II (15033505) (LOCKED),Boston Scott (15033541) (LOCKED),Justin Jefferson (15033877) (LOCKED),Allen Lazard (15033875) (LOCKED),Adam Thielen (15033811) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Raiders (15034603) (LOCKED),,WR,Kenny Golladay (15033825) (LOCKED),Kenny Golladay,15033825,WR/FLEX,6200,In Progress,DET,16.5
2169371537,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Mitchell Trubisky (15033420) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Marvin Hall (15033949) (LOCKED),Darnell Mooney (15034079) (LOCKED),Allen Robinson II (15033815) (LOCKED),George Kittle (15034307),Austin Ekeler (15033489),Colts (15034599) (LOCKED),,RB,Chris Carson (15033503) (LOCKED),Chris Carson,15033503,RB/FLEX,6200,In Progress,SEA,16.97
2169371538,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Carson Wentz (15033405) (LOCKED),Josh Jacobs (15033493) (LOCKED),Boston Scott (15033541) (LOCKED),Marvin Jones Jr. (15033851) (LOCKED),Terry McLaurin (15033847) (LOCKED),Jalen Reagor (15033913) (LOCKED),George Kittle (15034307),Alvin Kamara (15033487),Falcons (15034609) (LOCKED),,QB,Cam Newton (15033407) (LOCKED),Cam Newton,15033407,QB,6100,In Progress,NE,11.34
2169371539,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Philip Rivers (15033408) (LOCKED),Antonio Gibson (15033595) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Parris Campbell (15033959) (LOCKED),Chris Conley (15033945) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Zach Ertz (15034313) (LOCKED),Joe Mixon (15033495),Bills (15034593) (LOCKED),,RB,Todd Gurley II (15033505) (LOCKED),Todd Gurley II,15033505,RB/FLEX,6100,In Progress,ATL,14.76
2169371540,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),DJ Chark Jr. (15033823) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Laviska Shenault Jr. (15033909) (LOCKED),T.J. Hockenson (15034327) (LOCKED),Le'Veon Bell (15033517) (LOCKED),Ravens (15034598) (LOCKED),,WR,Calvin Ridley (15033827) (LOCKED),Calvin Ridley,15033827,WR/FLEX,6100,In Progress,ATL,15.62
2169371541,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Aaron Rodgers (15033404) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Boston Scott (15033541) (LOCKED),Davante Adams (15033803) (LOCKED),N'Keal Harry (15033907) (LOCKED),Allen Lazard (15033875) (LOCKED),Irv Smith Jr. (15034377) (LOCKED),Kenyan Drake (15033499),Chargers (15034601),,WR,Tyler Boyd (15033829),Tyler Boyd,15033829,WR/FLEX,6100,LAC@CIN 09/13/2020 04:05PM ET,CIN,14.81
2169371542,NFL $5M Fantasy Football Millionaire [$1M to 1st],89073497,$5,Gardner Minshew II (15033412) (LOCKED),Todd Gurley II (15033505) (LOCKED),Christian McCaffrey (15033483) (LOCKED),Davante Adams (15033803) (LOCKED),Chris Conley (15033945) (LOCKED),T.Y. Hilton (15033841) (LOCKED),Tyler Eifert (15034365) (LOCKED),Boston Scott (15033541) (LOCKED),Bengals (15034600),,RB,Leonard Fournette (15033507),Leonard Fournette,15033507,RB/FLEX,6000,TB@NO 09/13/2020 04:25PM ET,TB,17.96
