Rank,WSIS,Tight Ends,Team,Opp,Best,Worst,Avg,Std Dev,Uncertainty
59,,Derek Carrier,OAK,at CIN,49,59,53.9,3,0.183673469
16,,Chris Herndon IV,NYJ,vs. HOU,11,23,16.1,1.4,0.178181818
29,,Tyler Higbee,LAR,vs. PHI,23,33,28.2,2,0.173913043
65,,Durham Smythe,MIA,at MIN,51,64,60.2,2.9,0.164901961
88,,Jordan Franks,CIN,vs. OAK,78,85,81.5,3.5,0.157051282
32,,Nick Vannett,SEA,at SF,23,41,30.1,1.9,0.156956522
26,,Jesse James,PIT,vs. NE,22,30,26,1.8,0.147272727
42,,Virgil Green,LAC,at KC,36,53,40.8,2.3,0.146944444
74,,Robert Tonyan,GB,at CHI,66,75,72,3,0.136363636
9,,C.J. Uzomah,CIN,vs. OAK,9,17,10.3,1.1,0.134444444
38,,Demetrius Harris,KC,vs. LAC,29,39,35.2,1.9,0.124482759
76,,Chris Manhertz,CAR,vs. NO,55,72,67.8,2.6,0.122909091
23,,Jordan Thomas,HOU,at NYJ,20,28,22.2,1.5,0.1125
61,,MyCole Pruitt,TEN,at NYG,49,66,57.7,2.2,0.09877551
84,,Alan Cross,TB,at BAL,71,77,74.7,2.6,0.095211268
1,,Travis Kelce,KC,vs. LAC,1,4,1.1,0.3,0.09
39,,Charles Clay,BUF,vs. DET,31,40,35.5,1.5,0.072580645
54,,Jermaine Gresham,ARI,at ATL,47,57,52.7,1.6,0.054468085
77,,Marcedes Lewis,GB,at CHI,67,77,72.3,1.9,0.053880597
69,,Jeremy Sprinkle,WAS,at JAC,61,81,65.3,1.8,0.053114754
72,,Garrett Celek,SF,vs. SEA,62,81,68.7,1.6,0.041290323
81,,Matt Lengel,CIN,vs. OAK,70,77,74.8,1.2,0.020571429
70,,Eric Tomlinson,NYJ,vs. HOU,59,70,65.5,1.1,0.020508475
