Rank,WSIS,Wide Receivers,Team,Opp,Best,Worst,Avg,Std Dev,Uncertainty
154,,Darrius Heyward-Bey,PIT,vs. NE,137,152,142.8,5.6,0.228905109
100,,Jordan Matthews,PHI,at LAR,93,126,103.6,4.6,0.227526882
78,,Rashard Higgins,CLE,at DEN,57,88,78.2,3.6,0.227368421
163,,Geremy Davis,LAC,at KC,137,148,142.5,5.5,0.22080292
102,,Cody Core,CIN,vs. OAK,85,104,96,4.3,0.217529412
152,,Brandon Powell,DET,at BUF,126,154,143,5.1,0.206428571
129,,Rashad Greene,JAC,vs. WAS,118,160,124.3,4.9,0.203474576
119,,Phillip Dorsett,NE,at PIT,109,131,122.9,4.7,0.20266055
92,,Keith Kirkwood,NO,at CAR,68,101,95.6,3.7,0.201323529
20,,Corey Davis,TEN,at NYG,18,27,20.6,1.9,0.200555556
16,,Jarvis Landry,CLE,at DEN,13,21,16.2,1.6,0.196923077
38,,Mike Williams,LAC,at KC,27,60,36.7,2.3,0.195925926
136,,Darius Jennings,TEN,at NYG,114,145,135,4.7,0.19377193
64,,Marcell Ateman,OAK,at CIN,54,68,60.4,3.2,0.18962963
156,,Khadarel Hodge,LAR,vs. PHI,134,174,147.8,5,0.186567164
22,,Allen Robinson,CHI,vs. GB,18,31,23.6,1.8,0.18
109,,J.J. Nelson,ARI,at ATL,72,127,110.9,3.6,0.18
72,,Marquez Valdes-Scantling,GB,at CHI,50,84,71.4,3,0.18
104,,TJ Jones,DET,at BUF,86,111,102.8,3.9,0.176860465
46,,Mohamed Sanu,ATL,vs. ARI,33,57,43.4,2.4,0.174545455
127,,Marvin Hall,ATL,vs. ARI,117,136,123.9,4.3,0.158034188
115,,Josh Bellamy,CHI,vs. GB,107,130,116.5,4.1,0.157102804
69,,Danny Amendola,MIA,at MIN,64,78,68.4,3,0.140625
125,,Andy Jones,DET,at BUF,104,128,119.2,3.8,0.138846154
148,,Ray-Ray McCloud,BUF,vs. DET,118,146,136.6,4,0.13559322
132,,Richie James,SF,vs. SEA,115,144,131.9,3.9,0.13226087
77,,Jermaine Kearse,NYJ,vs. HOU,60,87,75.5,2.8,0.130666667
130,,Cam Batson,TEN,at NYG,123,139,132.6,4,0.130081301
147,,Bobo Wilson,TB,at BAL,131,156,144.1,4.1,0.128320611
145,,Jalen Tolliver,ARI,at ATL,133,157,143.4,4.1,0.126390977
84,,Tajae Sharpe,TEN,at NYG,78,91,84.7,3.1,0.123205128
99,,Jarius Wright,CAR,vs. NO,87,107,99.4,3,0.103448276
118,,Michael Floyd,WAS,at JAC,113,127,119.2,3.4,0.102300885
62,,Michael Crabtree,BAL,vs. TB,55,71,59.2,2.3,0.096181818
105,,Austin Carr,NO,at CAR,93,128,104.3,2.9,0.090430108
133,,Damion Ratley,CLE,at DEN,119,140,128.9,3.2,0.08605042
146,,Andre Holmes,DEN,vs. CLE,130,141,133.2,3.3,0.083769231
165,,Kevin White,CHI,vs. GB,148,155,151.5,3.5,0.08277027
12,,Julian Edelman,NE,at PIT,10,17,12.5,0.9,0.081
122,,Alex Erickson,CIN,vs. OAK,100,130,120.5,2.8,0.0784
66,,Cole Beasley,DAL,at IND,64,74,66.9,2.1,0.06890625
17,,Tyler Boyd,CIN,vs. OAK,16,28,18.2,1,0.0625
120,,Justin Hardy,ATL,vs. ARI,106,133,114.6,2.3,0.04990566
155,,River Cracraft,DEN,vs. CLE,140,168,146.6,2.4,0.041142857
138,,Dwayne Harris,OAK,at CIN,131,142,134.1,2.3,0.040381679
164,,Marcus Kemp,KC,vs. LAC,147,151,149,2,0.027210884
166,,Keon Hatcher,OAK,at CIN,158,162,160,2,0.025316456
141,,Justin Watson,TB,at BAL,121,164,136,1.4,0.016198347
