Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2222899495,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Ezekiel Elliott (15355596),Derrick Henry (15355598),Parris Campbell (15355930),Jalen Reagor (15355956),Robert Woods (15355852),Tyler Higbee (15356194),Kenyan Drake (15355616),Colts (15356403),,1. Column A lists all of your contest entries for this draftgroup
2222899496,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Ezekiel Elliott (15355596),Derrick Henry (15355598),Mecole Hardman (15355976),T.Y. Hilton (15355876),Mike Williams (15355946),Hunter Henry (15356190),Kenyan Drake (15355616),Bills (15356387),,2. Your current lineup is listed next to each entry (blank for reservations)
2222899497,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Ezekiel Elliott (15355596),Aaron Jones (15355604),DJ Chark Jr. (15355866),Corey Davis (15355960),Mike Williams (15355946),Chris Herndon (15356226),Derrick Henry (15355598),Packers (15356393),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2222899498,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Dalvin Cook (15355600),Ezekiel Elliott (15355596),DJ Chark Jr. (15355866),Corey Davis (15355960),Diontae Johnson (15355932),Jonnu Smith (15356204),Kenyan Drake (15355616),Bears (15356389),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2222899499,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Ezekiel Elliott (15355596),Melvin Gordon III (15355634),Corey Davis (15355960),Allen Robinson II (15355850),Robert Woods (15355852),Tyler Eifert (15356248),Derrick Henry (15355598),Cardinals (15356396),,5. For faster processing only include entries you are changing in the file you upload
2222899500,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526),Ezekiel Elliott (15355596),Melvin Gordon III (15355634),Davante Adams (15355828),Marvin Jones Jr. (15355880),Marquez Valdes-Scantling (15355926),Chris Herndon (15356226),Kenyan Drake (15355616),Chargers (15356410),,
2222899501,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Ezekiel Elliott (15355596),Derrick Henry (15355598),DeSean Jackson (15355896),Van Jefferson Jr. (15356144),Diontae Johnson (15355932),Tyler Higbee (15356194),Aaron Jones (15355604),Bears (15356389),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2222899512,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Mitchell Trubisky (15355544),Ezekiel Elliott (15355596),Derrick Henry (15355598),Parris Campbell (15355930),Anthony Miller (15355894),Darius Slayton (15355900),Jimmy Graham (15356212),Kenyan Drake (15355616),49ers (15356386),,WR,Julio Jones (15355834),Julio Jones,15355834,WR/FLEX,7400,ATL@DAL 09/20/2020 01:00PM ET,ATL,27.7
2222899513,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tom Brady (15355530),Ezekiel Elliott (15355596),Derrick Henry (15355598),Parris Campbell (15355930),Scotty Miller (15355958),DJ Moore (15355856),O.J. Howard (15356210),Kenyan Drake (15355616),Cowboys (15356399),,RB,Clyde Edwards-Helaire (15355602),Clyde Edwards-Helaire,15355602,RB/FLEX,7400,KC@LAC 09/20/2020 04:25PM ET,KC,22.8
2222899514,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Kirk Cousins (15355536),Ezekiel Elliott (15355596),Derrick Henry (15355598),Parris Campbell (15355930),Diontae Johnson (15355932),Adam Thielen (15355836),Kyle Rudolph (15356222),David Johnson (15355618),Giants (15356404),,WR,Adam Thielen (15355836),Adam Thielen,15355836,WR/FLEX,7200,MIN@IND 09/20/2020 01:00PM ET,MIN,34
2222899515,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Ezekiel Elliott (15355596),Derrick Henry (15355598),Mike Evans (15355848),T.Y. Hilton (15355876),Adam Humphries (15356020),Tyler Eifert (15356248),Kenyan Drake (15355616),Ravens (15356390),,RB,Aaron Jones (15355604),Aaron Jones,15355604,RB/FLEX,7100,DET@GB 09/20/2020 01:00PM ET,GB,17.6
2222899516,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Ezekiel Elliott (15355596),Aaron Jones (15355604),Tyreek Hill (15355832),Diontae Johnson (15355932),Mike Williams (15355946),Hunter Henry (15356190),Jonathan Taylor (15355620),Giants (15356404),,WR,Chris Godwin (15355838),Chris Godwin,15355838,WR/FLEX,7000,CAR@TB 09/20/2020 01:00PM ET,TB,13.9
2222899517,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Ezekiel Elliott (15355596),Aaron Jones (15355604),Keenan Allen (15355878),Parris Campbell (15355930),Mike Williams (15355946),Travis Kelce (15356178),Kenyan Drake (15355616),Dolphins (15356409),,TE,Travis Kelce (15356178),Travis Kelce,15356178,TE/FLEX,7000,KC@LAC 09/20/2020 04:25PM ET,KC,17
2222899518,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Philip Rivers (15355537),Ezekiel Elliott (15355596),Derrick Henry (15355598),Parris Campbell (15355930),T.Y. Hilton (15355876),Mike Williams (15355946),Irv Smith Jr. (15356252),Aaron Jones (15355604),Ravens (15356390),,QB,Aaron Rodgers (15355526),Aaron Rodgers,15355526,QB,6900,DET@GB 09/20/2020 01:00PM ET,GB,33.76
2222899519,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Philip Rivers (15355537),Ezekiel Elliott (15355596),Derrick Henry (15355598),T.Y. Hilton (15355876),Michael Pittman Jr. (15355998),Robert Woods (15355852),Kyle Rudolph (15356222),Kenyan Drake (15355616),Cardinals (15356396),,RB,James Conner (15355606),James Conner,15355606,RB/FLEX,6800,DEN@PIT 09/20/2020 01:00PM ET,PIT,3.7
2222899520,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526),Ezekiel Elliott (15355596),Derrick Henry (15355598),Marvin Jones Jr. (15355880),Allen Lazard (15355890),Marquez Valdes-Scantling (15355926),Logan Thomas (15356218),David Johnson (15355618),Jets (15356411),,QB,Dak Prescott (15355527),Dak Prescott,15355527,QB,6800,ATL@DAL 09/20/2020 01:00PM ET,DAL,17.64
2222899521,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Ezekiel Elliott (15355596),Miles Sanders (15355614),Davante Adams (15355828),Corey Davis (15355960),Laviska Shenault Jr. (15355948),Jonnu Smith (15356204),Melvin Gordon III (15355634),49ers (15356386),,WR,Calvin Ridley (15355840),Calvin Ridley,15355840,WR/FLEX,6800,ATL@DAL 09/20/2020 01:00PM ET,ATL,36.9
2222899522,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Ezekiel Elliott (15355596),Derrick Henry (15355598),Davante Adams (15355828),Adam Humphries (15356020),Laviska Shenault Jr. (15355948),Chris Herndon (15356226),David Johnson (15355618),WAS Football Team (15356395),,TE,George Kittle (15356180),George Kittle,15356180,TE/FLEX,6700,SF@NYJ 09/20/2020 01:00PM ET,SF,9.3
2222899523,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Ezekiel Elliott (15355596),Christian McCaffrey (15355592),Corey Davis (15355960),Adam Humphries (15356020),Diontae Johnson (15355932),Tyler Eifert (15356248),Aaron Jones (15355604),Bills (15356387),,WR,Cooper Kupp (15355842),Cooper Kupp,15355842,WR/FLEX,6700,LAR@PHI 09/20/2020 01:00PM ET,LAR,8
2222899524,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Ezekiel Elliott (15355596),Aaron Jones (15355604),Corey Davis (15355960),Van Jefferson Jr. (15356144),Robert Woods (15355852),Zach Ertz (15356184),Kenyan Drake (15355616),49ers (15356386),,QB,Josh Allen (15355528),Josh Allen,15355528,QB,6700,BUF@MIA 09/20/2020 01:00PM ET,BUF,33.18
2222899525,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Ezekiel Elliott (15355596),Jonathan Taylor (15355620),Corey Davis (15355960),DeSean Jackson (15355896),Robert Woods (15355852),Tyler Higbee (15356194),Austin Ekeler (15355608),Ravens (15356390),,QB,Matt Ryan (15355529),Matt Ryan,15355529,QB,6600,ATL@DAL 09/20/2020 01:00PM ET,ATL,27.9
2222899526,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Carson Wentz (15355535),Ezekiel Elliott (15355596),Jonathan Taylor (15355620),DeSean Jackson (15355896),Jalen Reagor (15355956),Allen Robinson II (15355850),Tyler Higbee (15356194),Kenyan Drake (15355616),Bills (15356387),,QB,Tom Brady (15355530),Tom Brady,15355530,QB,6500,CAR@TB 09/20/2020 01:00PM ET,TB,22.46
2222899527,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Kirk Cousins (15355536),Ezekiel Elliott (15355596),Aaron Jones (15355604),Parris Campbell (15355930),Justin Jefferson (15355934),Adam Thielen (15355836),Chris Herndon (15356226),Kenyan Drake (15355616),Chiefs (15356392),,WR,JuJu Smith-Schuster (15355846),JuJu Smith-Schuster,15355846,WR/FLEX,6500,DEN@PIT 09/20/2020 01:00PM ET,PIT,24.9
2222899528,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tom Brady (15355530),Ezekiel Elliott (15355596),Derrick Henry (15355598),Robby Anderson (15355892),Diontae Johnson (15355932),Scotty Miller (15355958),Rob Gronkowski (15356206),Aaron Jones (15355604),Giants (15356404),,WR,Stefon Diggs (15355844),Stefon Diggs,15355844,WR/FLEX,6500,BUF@MIA 09/20/2020 01:00PM ET,BUF,16.6
2222899529,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Patrick Mahomes (15355525),Ezekiel Elliott (15355596),Derrick Henry (15355598),Keenan Allen (15355878),Mecole Hardman (15355976),Sammy Watkins (15355910),Chris Herndon (15356226),Kenyan Drake (15355616),Colts (15356403),,RB,Austin Ekeler (15355608),Austin Ekeler,15355608,RB/FLEX,6500,KC@LAC 09/20/2020 04:25PM ET,LAC,9.7
2222899530,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Lamar Jackson (15355524),Kenyan Drake (15355616),Ezekiel Elliott (15355596),Marquise Brown (15355862),Brandin Cooks (15355902),Diontae Johnson (15355932),Chris Herndon (15356226),J.K. Dobbins (15355640),Titans (15356391),,RB,Raheem Mostert (15355610),Raheem Mostert,15355610,RB/FLEX,6400,SF@NYJ 09/20/2020 01:00PM ET,SF,25.1
2222899531,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Josh Allen (15355528),Ezekiel Elliott (15355596),Derrick Henry (15355598),John Brown (15355870),Diontae Johnson (15355932),Preston Williams (15355916),Dawson Knox (15356214),Kenyan Drake (15355616),Panthers (15356407),,WR,Allen Robinson II (15355850),Allen Robinson II,15355850,WR/FLEX,6400,NYG@CHI 09/20/2020 01:00PM ET,CHI,12.3
2222899532,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Carson Wentz (15355535),Ezekiel Elliott (15355596),Aaron Jones (15355604),DeSean Jackson (15355896),Diontae Johnson (15355932),Robert Woods (15355852),Dallas Goedert (15356192),Jonathan Taylor (15355620),Chargers (15356410),,WR,Robert Woods (15355852),Robert Woods,15355852,WR/FLEX,6400,LAR@PHI 09/20/2020 01:00PM ET,LAR,20.9
2222899533,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Dwayne Haskins Jr. (15355549),Ezekiel Elliott (15355596),Derrick Henry (15355598),Christian Kirk (15355938),Terry McLaurin (15355874),Steven Sims Jr. (15355920),Chris Herndon (15356226),Aaron Jones (15355604),Chiefs (15356392),,WR,Mike Evans (15355848),Mike Evans,15355848,WR/FLEX,6400,CAR@TB 09/20/2020 01:00PM ET,TB,7.2
2222899534,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Carson Wentz (15355535),Kenyan Drake (15355616),Ezekiel Elliott (15355596),Diontae Johnson (15355932),Jalen Reagor (15355956),Robert Woods (15355852),Zach Ertz (15356184),David Johnson (15355618),Titans (15356391),,QB,Deshaun Watson (15355531),Deshaun Watson,15355531,QB,6400,BAL@HOU 09/20/2020 04:25PM ET,HOU,21.82
2222899535,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Aaron Rodgers (15355526),Ezekiel Elliott (15355596),Miles Sanders (15355614),Diontae Johnson (15355932),Allen Lazard (15355890),Marquez Valdes-Scantling (15355926),T.J. Hockenson (15356188),Kenyan Drake (15355616),Chiefs (15356392),,WR,DJ Moore (15355856),DJ Moore,15355856,WR/FLEX,6300,CAR@TB 09/20/2020 01:00PM ET,CAR,9.4
2222899536,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Ezekiel Elliott (15355596),Derrick Henry (15355598),Parris Campbell (15355930),DJ Chark Jr. (15355866),Adam Humphries (15356020),Logan Thomas (15356218),Austin Ekeler (15355608),49ers (15356386),,QB,Ben Roethlisberger (15355532),Ben Roethlisberger,15355532,QB,6300,DEN@PIT 09/20/2020 01:00PM ET,PIT,22.06
2222899537,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Ezekiel Elliott (15355596),Derrick Henry (15355598),T.Y. Hilton (15355876),Van Jefferson Jr. (15356144),Robert Woods (15355852),Dallas Goedert (15356192),David Johnson (15355618),Panthers (15356407),,WR,Amari Cooper (15355854),Amari Cooper,15355854,WR/FLEX,6300,ATL@DAL 09/20/2020 01:00PM ET,DAL,18.1
2222899538,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Ezekiel Elliott (15355596),Aaron Jones (15355604),Chris Conley (15355994),Corey Davis (15355960),Robert Woods (15355852),Jonnu Smith (15356204),Clyde Edwards-Helaire (15355602),Vikings (15356394),,WR,Will Fuller V (15355858),Will Fuller V,15355858,WR/FLEX,6300,BAL@HOU 09/20/2020 04:25PM ET,HOU,22.2
2222899539,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Kirk Cousins (15355536),Ezekiel Elliott (15355596),Aaron Jones (15355604),Diontae Johnson (15355932),Allen Robinson II (15355850),Adam Thielen (15355836),Irv Smith Jr. (15356252),Jonathan Taylor (15355620),Dolphins (15356409),,TE,Mark Andrews (15356182),Mark Andrews,15356182,TE/FLEX,6300,BAL@HOU 09/20/2020 04:25PM ET,BAL,22.8
2222899540,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Lamar Jackson (15355524),Ezekiel Elliott (15355596),Derrick Henry (15355598),Miles Boykin (15355952),Randall Cobb (15355936),Diontae Johnson (15355932),Mark Andrews (15356182),Antonio Gibson (15355686),Lions (15356408),,QB,Matthew Stafford (15355533),Matthew Stafford,15355533,QB,6200,DET@GB 09/20/2020 01:00PM ET,DET,17.18
2222899541,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Lamar Jackson (15355524),Kenyan Drake (15355616),Ezekiel Elliott (15355596),Miles Boykin (15355952),Parris Campbell (15355930),Corey Davis (15355960),Mark Andrews (15356182),David Johnson (15355618),Cardinals (15356396),,WR,Kenny Golladay (15355860),Kenny Golladay,15355860,WR/FLEX,6200,DET@GB 09/20/2020 01:00PM ET,DET,0
2222899542,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Saquon Barkley (15355594),Ezekiel Elliott (15355596),Adam Humphries (15356020),Laviska Shenault Jr. (15355948),Robert Woods (15355852),Jonnu Smith (15356204),Kenyan Drake (15355616),Chiefs (15356392),,WR,Marquise Brown (15355862),Marquise Brown,15355862,WR/FLEX,6200,BAL@HOU 09/20/2020 04:25PM ET,BAL,18.1
2222899543,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Ezekiel Elliott (15355596),Melvin Gordon III (15355634),Parris Campbell (15355930),DeSean Jackson (15355896),Cooper Kupp (15355842),Tyler Higbee (15356194),David Johnson (15355618),49ers (15356386),,WR,A.J. Brown (15355864),A.J. Brown,15355864,WR/FLEX,6100,JAX@TEN 09/20/2020 01:00PM ET,TEN,8.9
2222899544,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Ezekiel Elliott (15355596),Ronald Jones II (15355636),Keenan Allen (15355878),Corey Davis (15355960),Tyreek Hill (15355832),Hunter Henry (15356190),Kenyan Drake (15355616),Cardinals (15356396),,RB,Todd Gurley II (15355612),Todd Gurley II,15355612,RB/FLEX,6100,ATL@DAL 09/20/2020 01:00PM ET,ATL,13.7
2222899545,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Ryan Tannehill (15355538),Ezekiel Elliott (15355596),Aaron Jones (15355604),DJ Chark Jr. (15355866),Adam Humphries (15356020),Allen Robinson II (15355850),Jonnu Smith (15356204),Jonathan Taylor (15355620),Cardinals (15356396),,QB,Kyler Murray (15355534),Kyler Murray,15355534,QB,6100,WAS@ARI 09/20/2020 04:05PM ET,ARI,27.3
2222899546,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Patrick Mahomes (15355525),Kenyan Drake (15355616),Ezekiel Elliott (15355596),Mecole Hardman (15355976),Diontae Johnson (15355932),Mike Williams (15355946),Travis Kelce (15356178),David Johnson (15355618),Buccaneers (15356397),,QB,Carson Wentz (15355535),Carson Wentz,15355535,QB,6000,LAR@PHI 09/20/2020 01:00PM ET,PHI,16
2222899547,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Jared Goff (15355541),Ezekiel Elliott (15355596),Derrick Henry (15355598),Van Jefferson Jr. (15356144),Cooper Kupp (15355842),Jalen Reagor (15355956),Chris Herndon (15356226),Clyde Edwards-Helaire (15355602),Titans (15356391),,RB,Miles Sanders (15355614),Miles Sanders,15355614,RB/FLEX,6000,LAR@PHI 09/20/2020 01:00PM ET,PHI,0
2222899548,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tyrod Taylor (15355546),Kenyan Drake (15355616),Ezekiel Elliott (15355596),Davante Adams (15355828),Sammy Watkins (15355910),Mike Williams (15355946),Chris Herndon (15356226),Austin Ekeler (15355608),Ravens (15356390),,WR,DJ Chark Jr. (15355866),DJ Chark Jr.,15355866,WR/FLEX,6000,JAX@TEN 09/20/2020 01:00PM ET,JAX,11.5
2222899549,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Tom Brady (15355530),Ezekiel Elliott (15355596),Derrick Henry (15355598),Mike Evans (15355848),Diontae Johnson (15355932),Curtis Samuel (15355922),O.J. Howard (15356210),David Johnson (15355618),Lions (15356408),,WR,Courtland Sutton (15355868),Courtland Sutton,15355868,WR/FLEX,6000,DEN@PIT 09/20/2020 01:00PM ET,DEN,0
2222899550,NFL $4.5M Fantasy Football Millionaire [$1M to 1st + ToC Entry],91962454,$20,Patrick Mahomes (15355525),Ezekiel Elliott (15355596),Derrick Henry (15355598),Parris Campbell (15355930),Tyreek Hill (15355832),Mike Williams (15355946),Logan Thomas (15356218),Mecole Hardman (15355976),Broncos (15356402),,WR,John Brown (15355870),John Brown,15355870,WR/FLEX,6000,BUF@MIA 09/20/2020 01:00PM ET,BUF,19
